artifact_path,original_repository_path
README.md,[clean-repository-documentation]/README.md
cycle09/mini/M6_behavior.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/M6_behavior.csv
cycle09/mini/M6_geometry_r_epsilon.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/M6_geometry_r_epsilon.csv
cycle09/mini/M6_supplement_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/M6_supplement_manifest.json
cycle09/mini/d11_e5_e7_family_llama_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e5_e7_family_llama_manifest.json
cycle09/mini/d11_e5_e7_family_qwen_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e5_e7_family_qwen_manifest.json
cycle09/mini/d11_e5_e7_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e5_e7_manifest.json
cycle09/mini/d11_e5_e7_optional_handoff.md,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e5_e7_optional_handoff.md
cycle09/mini/d11_e5_layer_robustness.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e5_layer_robustness.csv
cycle09/mini/d11_e5_layer_robustness_summary.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e5_layer_robustness_summary.csv
cycle09/mini/d11_e6_alpha_sensitivity.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e6_alpha_sensitivity.csv
cycle09/mini/d11_e6_alpha_sensitivity_summary.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e6_alpha_sensitivity_summary.csv
cycle09/mini/d11_e7_spectrum_matched_null.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e7_spectrum_matched_null.csv
cycle09/mini/d11_e7_spectrum_matched_null_summary.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_e7_spectrum_matched_null_summary.csv
cycle09/mini/d11_family_llama_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_family_llama_manifest.json
cycle09/mini/d11_family_qwen_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_family_qwen_manifest.json
cycle09/mini/d11_llama_merged_pk.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_llama_merged_pk.csv
cycle09/mini/d11_modelwise_and_crossmodel_summary.md,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_modelwise_and_crossmodel_summary.md
cycle09/mini/d11_pk_tpnt_full_handoff.md,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_pk_tpnt_full_handoff.md
cycle09/mini/d11_pk_tpnt_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_pk_tpnt_manifest.json
cycle09/mini/d11_same_cell_feature_matrix.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_same_cell_feature_matrix.csv
cycle09/mini/d11_same_cell_incremental_comparison.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_same_cell_incremental_comparison.csv
cycle09/mini/d11_tpnt_angles_pabs_nss.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_tpnt_angles_pabs_nss.csv
cycle09/mini/d11_tpnt_principal_mask.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/d11_tpnt_principal_mask.csv
cycle09/mini/equal5_non_qk/EQUAL5_checkpoint_demeaned_correlations.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_checkpoint_demeaned_correlations.csv
cycle09/mini/equal5_non_qk/EQUAL5_coverage_inventory.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_coverage_inventory.csv
cycle09/mini/equal5_non_qk/EQUAL5_d11_parity_metrics.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_d11_parity_metrics.csv
cycle09/mini/equal5_non_qk/EQUAL5_dominance_cells.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_dominance_cells.csv
cycle09/mini/equal5_non_qk/EQUAL5_dominance_summary.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_dominance_summary.csv
cycle09/mini/equal5_non_qk/EQUAL5_equal7_paired_comparison.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_equal7_paired_comparison.csv
cycle09/mini/equal5_non_qk/EQUAL5_functional_cells.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_functional_cells.csv
cycle09/mini/equal5_non_qk/EQUAL5_functional_trajectories.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_functional_trajectories.csv
cycle09/mini/equal5_non_qk/EQUAL5_manifest.json,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_manifest.json
cycle09/mini/equal5_non_qk/EQUAL5_ncd.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_ncd.csv
cycle09/mini/equal5_non_qk/EQUAL5_nested_folds.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_nested_folds.csv
cycle09/mini/equal5_non_qk/EQUAL5_nested_metrics.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_nested_metrics.csv
cycle09/mini/equal5_non_qk/EQUAL5_nested_predictions.parquet,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_nested_predictions.parquet
cycle09/mini/equal5_non_qk/EQUAL5_output_link_correlations.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_output_link_correlations.csv
cycle09/mini/equal5_non_qk/EQUAL5_spectrum_robustness.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_spectrum_robustness.csv
cycle09/mini/equal5_non_qk/EQUAL5_support_controls.csv,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_support_controls.csv
cycle09/mini/equal5_non_qk/EQUAL5_theory_handoff.md,mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/equal5_non_qk/EQUAL5_theory_handoff.md
