accuracy,arm,boxed_rate,cap,checkpoint,created_utc,mean_response_tokens,model,n,schema_version,seed,status,task,truncation_rate
0.435,seqkd,0.285,12288,40,2026-07-25T11:19:03Z,11372.21,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/seqkd/step_040,200,cycle09_m6_behavior_v1,42,complete,Eval_Numina,0.92
0.58,seqkd,0.545,12288,160,2026-07-25T09:11:29Z,11625.905,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/seqkd/step_160,200,cycle09_m6_behavior_v1,42,complete,Eval_Numina,0.92
0.535,seqkd,0.595,12288,624,2026-07-25T12:20:04Z,10135.235,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu0/seqkd/step_624,200,cycle09_m6_behavior_v1,42,complete,Eval_Numina,0.76
0.3515625,base,0.96484375,16384,0,2026-07-25T13:36:01Z,3349.33203125,/root/autodl-tmp/model/Qwen/Qwen3-4B-Base,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.16015625
0.4453125,offkd,0.77734375,16384,20,2026-07-25T12:53:24Z,5193.16015625,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/offkd/step_020,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.2578125
0.4453125,offkd,0.58203125,16384,40,2026-07-25T05:55:26Z,8560.9375,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu0/offkd/step_040,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.46875
0.5546875,offkd,0.70703125,16384,160,2026-07-25T05:51:49Z,7944.77734375,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/offkd/step_160,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.390625
0.53125,offkd,0.921875,16384,624,2026-07-25T06:03:44Z,3030.05078125,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/offkd/step_624,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.10546875
0.546875,opd,0.9296875,16384,20,2026-07-25T13:08:23Z,5124.7109375,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_020,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.1015625
0.66015625,opd,0.9140625,16384,40,2026-07-25T07:01:44Z,7450.47265625,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_040,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.26171875
0.59375,opd,0.83203125,16384,160,2026-07-25T06:34:34Z,9489.14453125,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_160,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.48046875
0.69140625,opd,0.8515625,16384,624,2026-07-25T08:12:01Z,15784.25390625,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_624,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.94140625
0.41796875,seqkd,0.4140625,16384,20,2026-07-25T14:01:29Z,12714.3046875,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu0/seqkd/step_020,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.7265625
0.3359375,seqkd,0.2109375,16384,40,2026-07-25T10:17:51Z,15164.24609375,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/seqkd/step_040,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.9140625
0.53125,seqkd,0.40234375,16384,160,2026-07-25T08:40:28Z,16072.390625,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/seqkd/step_160,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.96484375
0.51171875,seqkd,0.39453125,16384,624,2026-07-25T11:53:29Z,14897.86328125,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu0/seqkd/step_624,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.859375
0.34375,sft,0.95703125,16384,20,2026-07-25T13:22:13Z,3277.23828125,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/sft/step_020,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.15625
0.37890625,sft,0.8203125,16384,40,2026-07-25T12:31:39Z,4918.48046875,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/sft/step_040,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.24609375
0.48046875,sft,0.34375,16384,160,2026-07-25T12:10:55Z,12528.11328125,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu1/sft/step_160,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.68359375
0.51953125,sft,0.46484375,16384,624,2026-07-25T13:05:25Z,11368.03515625,/root/autodl-tmp/cycle09_dual_m6/qwen_m6/runtime/gpu0/sft/step_624,256,cycle09_m6_behavior_v1,42,complete,Eval_mathCoThold,0.5546875
