arm,base_r_epsilon,checkpoint,epsilon,layer,model,module,probe_name,r_epsilon,sample_count,singular_values,track,window_protocol
base,637,0,0.01,18,qwen,self_attn.q_proj,E_mathCoThold,637,32,,per_checkpoint,v2_three_level_equal_sample
base,303,0,0.025,18,qwen,self_attn.q_proj,E_mathCoThold,303,32,,per_checkpoint,v2_three_level_equal_sample
base,129,0,0.05,18,qwen,self_attn.q_proj,E_mathCoThold,129,32,,per_checkpoint,v2_three_level_equal_sample
base,37,0,0.1,18,qwen,self_attn.q_proj,E_mathCoThold,37,32,,per_checkpoint,v2_three_level_equal_sample
base,364,0,0.01,18,qwen,self_attn.k_proj,E_mathCoThold,364,32,,per_checkpoint,v2_three_level_equal_sample
base,200,0,0.025,18,qwen,self_attn.k_proj,E_mathCoThold,200,32,,per_checkpoint,v2_three_level_equal_sample
base,101,0,0.05,18,qwen,self_attn.k_proj,E_mathCoThold,101,32,,per_checkpoint,v2_three_level_equal_sample
base,39,0,0.1,18,qwen,self_attn.k_proj,E_mathCoThold,39,32,,per_checkpoint,v2_three_level_equal_sample
base,716,0,0.01,18,qwen,self_attn.v_proj,E_mathCoThold,716,32,,per_checkpoint,v2_three_level_equal_sample
base,556,0,0.025,18,qwen,self_attn.v_proj,E_mathCoThold,556,32,,per_checkpoint,v2_three_level_equal_sample
base,416,0,0.05,18,qwen,self_attn.v_proj,E_mathCoThold,416,32,,per_checkpoint,v2_three_level_equal_sample
base,268,0,0.1,18,qwen,self_attn.v_proj,E_mathCoThold,268,32,,per_checkpoint,v2_three_level_equal_sample
base,1331,0,0.01,18,qwen,self_attn.o_proj,E_mathCoThold,1331,32,,per_checkpoint,v2_three_level_equal_sample
base,950,0,0.025,18,qwen,self_attn.o_proj,E_mathCoThold,950,32,,per_checkpoint,v2_three_level_equal_sample
base,654,0,0.05,18,qwen,self_attn.o_proj,E_mathCoThold,654,32,,per_checkpoint,v2_three_level_equal_sample
base,374,0,0.1,18,qwen,self_attn.o_proj,E_mathCoThold,374,32,,per_checkpoint,v2_three_level_equal_sample
base,1477,0,0.01,18,qwen,mlp.gate_proj,E_mathCoThold,1477,32,,per_checkpoint,v2_three_level_equal_sample
base,941,0,0.025,18,qwen,mlp.gate_proj,E_mathCoThold,941,32,,per_checkpoint,v2_three_level_equal_sample
base,527,0,0.05,18,qwen,mlp.gate_proj,E_mathCoThold,527,32,,per_checkpoint,v2_three_level_equal_sample
base,197,0,0.1,18,qwen,mlp.gate_proj,E_mathCoThold,197,32,,per_checkpoint,v2_three_level_equal_sample
base,1929,0,0.01,18,qwen,mlp.up_proj,E_mathCoThold,1929,32,,per_checkpoint,v2_three_level_equal_sample
base,1518,0,0.025,18,qwen,mlp.up_proj,E_mathCoThold,1518,32,,per_checkpoint,v2_three_level_equal_sample
base,1129,0,0.05,18,qwen,mlp.up_proj,E_mathCoThold,1129,32,,per_checkpoint,v2_three_level_equal_sample
base,707,0,0.1,18,qwen,mlp.up_proj,E_mathCoThold,707,32,,per_checkpoint,v2_three_level_equal_sample
