model,family,arm,checkpoint,step,layer,headline_layer,module,source_rank_k,mask_density_alpha,total_entries,update_count,principal_top_count,overlap_count,update_density,coverage,overlap_lift,pabs_joint_mean_cos_k32,theta_u_mean_deg_k32,theta_v_mean_deg_k32,nss_l1_top32,nss_l2_top32,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,20,20,7,14,self_attn.q_proj,16,0.01,9437184,3401262,94372,12262,0.3604106903076172,0.0036051324478972,0.3605126335690358,0.9996642137098654,2.0376675418376067,0.0,7.362430442645757e-05,1.551645988131873e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,41573ef73bfeefa99f02c8e09d2bf1590c104492fe212cf8f91f697325a34bf7
llama,llama3_2_3b,opd,20,20,7,14,self_attn.q_proj,16,0.1,9437184,3401262,943718,247643,0.3604106903076172,0.0728091514267351,0.7280918228728942,0.9996642137098654,2.0376675418376067,0.0,7.362430442645757e-05,1.551645988131873e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,41573ef73bfeefa99f02c8e09d2bf1590c104492fe212cf8f91f697325a34bf7
llama,llama3_2_3b,opd,20,20,7,14,self_attn.q_proj,32,0.01,9437184,3401262,94372,9983,0.3604106903076172,0.0029350870353415,0.2935082059141807,0.9996642137098654,2.0376675418376067,0.0,7.362430442645757e-05,1.551645988131873e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,41573ef73bfeefa99f02c8e09d2bf1590c104492fe212cf8f91f697325a34bf7
llama,llama3_2_3b,opd,20,20,7,14,self_attn.q_proj,32,0.1,9437184,3401262,943718,218908,0.3604106903076172,0.0643608166615803,0.6436084394126202,0.9996642137098654,2.0376675418376067,0.0,7.362430442645757e-05,1.551645988131873e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,41573ef73bfeefa99f02c8e09d2bf1590c104492fe212cf8f91f697325a34bf7
llama,llama3_2_3b,opd,20,20,7,14,self_attn.q_proj,50,0.01,9437184,3401262,94372,8196,0.3604106903076172,0.0024096938136491,0.2409689728210583,0.9996642137098654,2.0376675418376067,0.0,7.362430442645757e-05,1.551645988131873e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,41573ef73bfeefa99f02c8e09d2bf1590c104492fe212cf8f91f697325a34bf7
llama,llama3_2_3b,opd,20,20,7,14,self_attn.q_proj,50,0.1,9437184,3401262,943718,197870,0.3604106903076172,0.0581754654595852,0.581754901175723,0.9996642137098654,2.0376675418376067,0.0,7.362430442645757e-05,1.551645988131873e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,41573ef73bfeefa99f02c8e09d2bf1590c104492fe212cf8f91f697325a34bf7
llama,llama3_2_3b,opd,160,160,7,14,self_attn.q_proj,16,0.01,9437184,5570816,94372,30387,0.5903049045138888,0.0054546766577822,0.5454667409824558,0.9996970075431342,1.9265200611428517,0.0,7.856635903563669e-05,1.7147449484775508e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,859bd904e0182b38b8f4aaaff66ca50b816f240fdfc527bb24f3d9b7716e6443
llama,llama3_2_3b,opd,160,160,7,14,self_attn.q_proj,16,0.1,9437184,5570816,943718,461114,0.5903049045138888,0.0827731520840034,0.8277318716785357,0.9996970075431342,1.9265200611428517,0.0,7.856635903563669e-05,1.7147449484775508e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,859bd904e0182b38b8f4aaaff66ca50b816f240fdfc527bb24f3d9b7716e6443
llama,llama3_2_3b,opd,160,160,7,14,self_attn.q_proj,32,0.01,9437184,5570816,94372,26113,0.5903049045138888,0.0046874640986167,0.4687456151405164,0.9996970075431342,1.9265200611428517,0.0,7.856635903563669e-05,1.7147449484775508e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,859bd904e0182b38b8f4aaaff66ca50b816f240fdfc527bb24f3d9b7716e6443
llama,llama3_2_3b,opd,160,160,7,14,self_attn.q_proj,32,0.1,9437184,5570816,943718,426827,0.5903049045138888,0.0766183984536556,0.7661843092877995,0.9996970075431342,1.9265200611428517,0.0,7.856635903563669e-05,1.7147449484775508e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,859bd904e0182b38b8f4aaaff66ca50b816f240fdfc527bb24f3d9b7716e6443
llama,llama3_2_3b,opd,160,160,7,14,self_attn.q_proj,50,0.01,9437184,5570816,94372,22906,0.5903049045138888,0.0041117854188686,0.4111778447673062,0.9996970075431342,1.9265200611428517,0.0,7.856635903563669e-05,1.7147449484775508e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,859bd904e0182b38b8f4aaaff66ca50b816f240fdfc527bb24f3d9b7716e6443
llama,llama3_2_3b,opd,160,160,7,14,self_attn.q_proj,50,0.1,9437184,5570816,943718,401698,0.5903049045138888,0.0721075691604246,0.7210759972360944,0.9996970075431342,1.9265200611428517,0.0,7.856635903563669e-05,1.7147449484775508e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,859bd904e0182b38b8f4aaaff66ca50b816f240fdfc527bb24f3d9b7716e6443
llama,llama3_2_3b,opd,320,320,7,14,self_attn.q_proj,16,0.01,9437184,6359483,94372,39198,0.6738750669691298,0.0061637085907769,0.6163698140713646,0.9996392795515632,2.103269432921689,0.0,8.977889159889063e-05,1.827101963303469e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,b5a611149e2b00c53169f35dff873c7c61b18a6479c3f44a75755b79c5bcf247
llama,llama3_2_3b,opd,320,320,7,14,self_attn.q_proj,16,0.1,9437184,6359483,943718,547592,0.6738750669691298,0.0861063705964777,0.8610640709313059,0.9996392795515632,2.103269432921689,0.0,8.977889159889063e-05,1.827101963303469e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,b5a611149e2b00c53169f35dff873c7c61b18a6479c3f44a75755b79c5bcf247
llama,llama3_2_3b,opd,320,320,7,14,self_attn.q_proj,32,0.01,9437184,6359483,94372,34848,0.6738750669691298,0.0054796907232867,0.547968143291977,0.9996392795515632,2.103269432921689,0.0,8.977889159889063e-05,1.827101963303469e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,b5a611149e2b00c53169f35dff873c7c61b18a6479c3f44a75755b79c5bcf247
llama,llama3_2_3b,opd,320,320,7,14,self_attn.q_proj,32,0.1,9437184,6359483,943718,516697,0.6738750669691298,0.0812482712824297,0.812483057199508,0.9996392795515632,2.103269432921689,0.0,8.977889159889063e-05,1.827101963303469e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,b5a611149e2b00c53169f35dff873c7c61b18a6479c3f44a75755b79c5bcf247
llama,llama3_2_3b,opd,320,320,7,14,self_attn.q_proj,50,0.01,9437184,6359483,94372,31469,0.6738750669691298,0.0049483582234593,0.4948349833923101,0.9996392795515632,2.103269432921689,0.0,8.977889159889063e-05,1.827101963303469e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,b5a611149e2b00c53169f35dff873c7c61b18a6479c3f44a75755b79c5bcf247
llama,llama3_2_3b,opd,320,320,7,14,self_attn.q_proj,50,0.1,9437184,6359483,943718,493538,0.6738750669691298,0.0776066230541067,0.7760665594809545,0.9996392795515632,2.103269432921689,0.0,8.977889159889063e-05,1.827101963303469e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,b5a611149e2b00c53169f35dff873c7c61b18a6479c3f44a75755b79c5bcf247
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,16,0.01,9437184,3804087,94372,15467,0.4030955632527669,0.0040658901860025,0.4065883292618634,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,16,0.1,9437184,3804087,943718,289757,0.4030955632527669,0.0761699193525279,0.7616995163756197,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,32,0.01,9437184,3804087,94372,12553,0.4030955632527669,0.0032998719535068,0.3299866358844102,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,32,0.1,9437184,3804087,943718,257692,0.4030955632527669,0.0677408271682535,0.6774085588057103,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,50,0.01,9437184,3804087,94372,10419,0.4030955632527669,0.0027388963501623,0.2738891706587803,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,20,20,7,14,self_attn.q_proj,50,0.1,9437184,3804087,943718,234387,0.4030955632527669,0.0616145214344466,0.6161454755009624,0.9996954928343166,1.930051317311153,0.0,6.944756832390209e-05,1.5415465086084344e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,339bbd57f51cd41e8179c7eb8e5cb4040ed28de9345ea55301e9128c5289910b
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,16,0.01,9437184,6213139,94372,36355,0.6583678987291124,0.0058513096198234,0.5851299699406981,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,16,0.1,9437184,6213139,943718,529834,0.6583678987291124,0.0852763796206716,0.8527641576552828,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
llama,llama3_2_3b,sft,160,160,7,14,self_attn.q_proj,32,0.01,9437184,6213139,94372,32736,0.6583678987291124,0.0052688343203008,0.5268825387423655,0.9996600125719404,2.0425159384075515,0.0,7.052292951576639e-05,1.6305784802528154e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,072e9e83e755724f894879a650236b0005421aaff1c84b7b9c9fa06ac3161db0,51f43bb2e6ddce727ca532122c2eb942446eb45e54918dc987aa4c4b455d5497
