model,layer,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_pabs_joint_cos,mean_nss_l1_top32,headline_mean_overlap_lift,headline_mean_pabs_joint_cos,headline_mean_nss_l1_top32,overlap_lift_minus_headline,pabs_cos_minus_headline,nss_l1_minus_headline,overlap_rank_desc
llama,7,offkd,20,16,0.01,0.5894100645723471,0.9997605011995956,5.037361243179911e-05,0.6086286214461856,0.9997834400799507,5.310718836602987e-05,-0.019218556873838444,-2.2938880355094504e-05,-2.733575934230763e-06,3.0
llama,7,opd,20,16,0.01,0.6068465077462735,0.9997683384001325,4.879820530292664e-05,0.641318198810095,0.9997853952993921,5.2190276432220444e-05,-0.03447169106382153,-1.7056899259682012e-05,-3.3920711292938043e-06,2.0
llama,7,seqkd,20,16,0.01,0.5831343835617462,0.9997656203643877,5.254750063909815e-05,0.6031535201855657,0.999784115311627,5.170724003709431e-05,-0.02001913662381949,-1.8494947239378057e-05,8.402606020038356e-07,4.0
llama,7,sft,20,16,0.01,0.6323805820591228,0.9997659747992752,4.8635890150896194e-05,0.6447398364395097,0.9997844294957355,4.7287975121688775e-05,-0.012359254380386875,-1.845469646033493e-05,1.3479150292074193e-06,1.0
llama,7,offkd,20,16,0.1,0.8490424871313532,0.9997605011995956,5.037361243179911e-05,0.8521397775459326,0.9997834400799507,5.310718836602987e-05,-0.003097290414579401,-2.2938880355094504e-05,-2.733575934230763e-06,3.0
llama,7,opd,20,16,0.1,0.8579917557654205,0.9997683384001325,4.879820530292664e-05,0.8686043542464635,0.9997853952993921,5.2190276432220444e-05,-0.010612598481043012,-1.7056899259682012e-05,-3.3920711292938043e-06,2.0
llama,7,seqkd,20,16,0.1,0.8476330435160028,0.9997656203643877,5.254750063909815e-05,0.8494018433717843,0.999784115311627,5.170724003709431e-05,-0.0017687998557814888,-1.8494947239378057e-05,8.402606020038356e-07,4.0
llama,7,sft,20,16,0.1,0.8695628367164129,0.9997659747992752,4.8635890150896194e-05,0.8692620201183088,0.9997844294957355,4.7287975121688775e-05,0.00030081659810410333,-1.845469646033493e-05,1.3479150292074193e-06,1.0
llama,7,offkd,20,32,0.01,0.5047117901710402,0.9997605011995956,5.037361243179911e-05,0.5085435820073477,0.9997834400799507,5.310718836602987e-05,-0.003831791836307552,-2.2938880355094504e-05,-2.733575934230763e-06,3.0
llama,7,opd,20,32,0.01,0.5249002389779045,0.9997683384001325,4.879820530292664e-05,0.5432527866191216,0.9997853952993921,5.2190276432220444e-05,-0.018352547641217076,-1.7056899259682012e-05,-3.3920711292938043e-06,2.0
llama,7,seqkd,20,32,0.01,0.49740352281317296,0.9997656203643877,5.254750063909815e-05,0.5030363157102016,0.999784115311627,5.170724003709431e-05,-0.005632792897028616,-1.8494947239378057e-05,8.402606020038356e-07,4.0
llama,7,sft,20,32,0.01,0.5516552824625539,0.9997659747992752,4.8635890150896194e-05,0.5527549879767207,0.9997844294957355,4.7287975121688775e-05,-0.0010997055141668266,-1.845469646033493e-05,1.3479150292074193e-06,1.0
llama,7,offkd,20,32,0.1,0.7877923646913664,0.9997605011995956,5.037361243179911e-05,0.7981223691549012,0.9997834400799507,5.310718836602987e-05,-0.010330004463534825,-2.2938880355094504e-05,-2.733575934230763e-06,3.0
llama,7,opd,20,32,0.1,0.798751908529805,0.9997683384001325,4.879820530292664e-05,0.8166085962496863,0.9997853952993921,5.2190276432220444e-05,-0.017856687719881248,-1.7056899259682012e-05,-3.3920711292938043e-06,2.0
llama,7,seqkd,20,32,0.1,0.7856000420735544,0.9997656203643877,5.254750063909815e-05,0.7950656706954208,0.999784115311627,5.170724003709431e-05,-0.009465628621866395,-1.8494947239378057e-05,8.402606020038356e-07,4.0
llama,7,sft,20,32,0.1,0.8129828622278507,0.9997659747992752,4.8635890150896194e-05,0.8212402209257542,0.9997844294957355,4.7287975121688775e-05,-0.00825735869790356,-1.845469646033493e-05,1.3479150292074193e-06,1.0
llama,7,offkd,20,50,0.01,0.4405411556278808,0.9997605011995956,5.037361243179911e-05,0.43236229780331764,0.9997834400799507,5.310718836602987e-05,0.00817885782456318,-2.2938880355094504e-05,-2.733575934230763e-06,3.0
llama,7,opd,20,50,0.01,0.46115119329558896,0.9997683384001325,4.879820530292664e-05,0.4672953734466244,0.9997853952993921,5.2190276432220444e-05,-0.006144180151035461,-1.7056899259682012e-05,-3.3920711292938043e-06,2.0
llama,7,seqkd,20,50,0.01,0.43340371723727644,0.9997656203643877,5.254750063909815e-05,0.42665618604566663,0.999784115311627,5.170724003709431e-05,0.006747531191609812,-1.8494947239378057e-05,8.402606020038356e-07,4.0
llama,7,sft,20,50,0.01,0.4882997872214428,0.9997659747992752,4.8635890150896194e-05,0.4788028188203003,0.9997844294957355,4.7287975121688775e-05,0.009496968401142503,-1.845469646033493e-05,1.3479150292074193e-06,1.0
llama,7,offkd,20,50,0.1,0.7369116970165118,0.9997605011995956,5.037361243179911e-05,0.7502997976230701,0.9997834400799507,5.310718836602987e-05,-0.013388100606558262,-2.2938880355094504e-05,-2.733575934230763e-06,3.0
llama,7,opd,20,50,0.1,0.7501350667030053,0.9997683384001325,4.879820530292664e-05,0.7715442284091844,0.9997853952993921,5.2190276432220444e-05,-0.021409161706179014,-1.7056899259682012e-05,-3.3920711292938043e-06,2.0
llama,7,seqkd,20,50,0.1,0.7333289287857525,0.9997656203643877,5.254750063909815e-05,0.7469272052807882,0.999784115311627,5.170724003709431e-05,-0.013598276495035644,-1.8494947239378057e-05,8.402606020038356e-07,4.0
llama,7,sft,20,50,0.1,0.7664279581288529,0.9997659747992752,4.8635890150896194e-05,0.7780806750911625,0.9997844294957355,4.7287975121688775e-05,-0.011652716962309628,-1.845469646033493e-05,1.3479150292074193e-06,1.0
llama,7,offkd,160,16,0.01,0.7372079537135704,0.9997560196103824,5.654475999990541e-05,0.7459680694629628,0.9997849858274117,6.42333994136533e-05,-0.008760115749392394,-2.8966217029302577e-05,-7.688639413747886e-06,3.0
llama,7,opd,160,16,0.01,0.7480035692200352,0.9997615866807037,6.0948744930962015e-05,0.7405387510953795,0.9997736966015373,6.620528949362424e-05,0.007464818124655714,-1.210992083355844e-05,-5.256544562662228e-06,2.0
llama,7,seqkd,160,16,0.01,0.7306706001878255,0.9997640960815717,5.7764193458677475e-05,0.7439976284427325,0.9997870976611573,6.103130726453334e-05,-0.013327028254907058,-2.30015795855687e-05,-3.267113805855867e-06,4.0
llama,7,sft,160,16,0.01,0.7827846692942114,0.9997510650558324,6.750366022792343e-05,0.8075712293255063,0.9997539250646216,9.390297575982995e-05,-0.02478656003129487,-2.860008789129509e-06,-2.6399315531906514e-05,1.0
llama,7,offkd,160,16,0.1,0.9117396567093428,0.9997560196103824,5.654475999990541e-05,0.9099853335339221,0.9997849858274117,6.42333994136533e-05,0.00175432317542068,-2.8966217029302577e-05,-7.688639413747886e-06,3.0
llama,7,opd,160,16,0.1,0.9146603333800299,0.9997615866807037,6.0948744930962015e-05,0.9103671641510703,0.9997736966015373,6.620528949362424e-05,0.004293169228959615,-1.210992083355844e-05,-5.256544562662228e-06,2.0
llama,7,seqkd,160,16,0.1,0.9098945011396392,0.9997640960815717,5.7764193458677475e-05,0.9098373127045206,0.9997870976611573,6.103130726453334e-05,5.718843511859362e-05,-2.30015795855687e-05,-3.267113805855867e-06,4.0
llama,7,sft,160,16,0.1,0.9292913425135173,0.9997510650558324,6.750366022792343e-05,0.9352660673588103,0.9997539250646216,9.390297575982995e-05,-0.005974724845293045,-2.860008789129509e-06,-2.6399315531906514e-05,1.0
llama,7,offkd,160,32,0.01,0.6774049721188478,0.9997560196103824,5.654475999990541e-05,0.6684495223222459,0.9997849858274117,6.42333994136533e-05,0.0089554497966019,-2.8966217029302577e-05,-7.688639413747886e-06,3.0
llama,7,opd,160,32,0.01,0.6840626336424879,0.9997615866807037,6.0948744930962015e-05,0.6687214059735352,0.9997736966015373,6.620528949362424e-05,0.015341227668952628,-1.210992083355844e-05,-5.256544562662228e-06,2.0
llama,7,seqkd,160,32,0.01,0.6704469303304597,0.9997640960815717,5.7764193458677475e-05,0.6676862291839739,0.9997870976611573,6.103130726453334e-05,0.0027607011464857445,-2.30015795855687e-05,-3.267113805855867e-06,4.0
