model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,0.01,94372,3911327,9437184,0.414459122551812,15158,0.0038754110817121,0.3875404511269947,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.3605526244351087,0.0009634660524218,0.0269878266918859,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,0.1,943718,3911327,9437184,0.414459122551812,268808,0.0687255246109568,0.6872555374064372,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6734520552677714,0.0007188715308901,0.0138034821386657,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,0.01,94372,3911327,9437184,0.414459122551812,10990,0.0028097880847088,0.2809783320943179,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.2717440090761887,0.001552473323424,0.0092343230181292,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,0.1,943718,3911327,9437184,0.414459122551812,242574,0.0620183380218529,0.6201836430866235,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.6129808514590468,0.0011926209225966,0.0072027916275767,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,50,0.01,94372,3911327,9437184,0.414459122551812,7490,0.0019149511150563,0.1914947868413504,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.1915439451684044,0.0004688589490961,-4.915832705396084e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,50,0.1,943718,3911327,9437184,0.414459122551812,220766,0.056442736697801,0.5644276062136154,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5629097580687027,0.0008084300908341,0.0015178481449127,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,16,0.01,94372,5788353,9437184,0.6133559544881185,26935,0.0046533098447865,0.4653301955480704,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.5368071042432971,0.0037225830257156,-0.0714769086952267,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,16,0.1,943718,5788353,9437184,0.6133559544881185,435842,0.0752963753247253,0.75296407239503,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.7911444855641871,0.0016189901842703,-0.0381804131691571,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,32,0.01,94372,5788353,9437184,0.6133559544881185,22337,0.0038589560795618,0.3858949537017727,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.4346170290932602,0.0032466759556319,-0.0487220753914874,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
llama,llama3_2_3b,opd,160,160,14,self_attn.q_proj,32,0.1,943718,5788353,9437184,0.6133559544881185,411197,0.0710386875161207,0.7103871762625428,rank32_norm_matched_lowrank_bf16_mask,32.0,3.0,0.7460515610856975,0.0018570966813587,-0.0356643848231547,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,33e69b9afcd89c0997bb758339b4b8b7b01f905c099215d52ac3c541e2413eca
