model,arm,checkpoint,source_rank_k,mask_density_alpha,mean_overlap_lift,mean_coverage
llama,offkd,20,16,0.01,0.6086286214461856,0.006086272739975628
llama,offkd,20,16,0.05,0.7889156762653508,0.039445750433482925
llama,offkd,20,16,0.1,0.8521397775459326,0.0852139766650847
llama,offkd,20,16,0.2,0.9041938719915085,0.18083881473188756
llama,offkd,20,32,0.01,0.5085435820073477,0.005085425284973201
llama,offkd,20,32,0.05,0.7180040006164381,0.03590017077271945
llama,offkd,20,32,0.1,0.7981223691549012,0.07981223533101418
llama,offkd,20,32,0.2,0.8675749146228806,0.17351502083670192
llama,offkd,20,50,0.01,0.43236229780331764,0.004323614636166671
llama,offkd,20,50,0.05,0.6574435233423934,0.03287215047221755
llama,offkd,20,50,0.1,0.7502997976230701,0.07502997772980503
llama,offkd,20,50,0.2,0.8337669928701793,0.16675343426393635
llama,offkd,160,16,0.01,0.7459680694629628,0.0074596639395861425
llama,offkd,160,16,0.05,0.8688671124252415,0.043443318118221615
llama,offkd,160,16,0.1,0.9099853335339221,0.09099853213478394
llama,offkd,160,16,0.2,0.9433280044231468,0.18866564322825502
llama,offkd,160,32,0.01,0.6684495223222459,0.006684480886397428
llama,offkd,160,32,0.05,0.8210752989958607,0.041053730460091344
llama,offkd,160,32,0.1,0.875733792782904,0.08757337768374096
llama,offkd,160,32,0.2,0.9217554907170147,0.18435113896006147
llama,offkd,160,50,0.01,0.6059438001080772,0.006059425533020671
llama,offkd,160,50,0.05,0.7802538863348236,0.0390126623982594
llama,offkd,160,50,0.1,0.8456602195138524,0.08456602001685674
llama,offkd,160,50,0.2,0.9018100537216265,0.18036205020236026
llama,offkd,320,16,0.01,0.785135437099447,0.007851336529476343
llama,offkd,320,16,0.05,0.8916166985769893,0.044580796082759146
llama,offkd,320,16,0.1,0.9261473311559463,0.09261473198245787
llama,offkd,320,16,0.2,0.9538048820296019,0.19076101933536302
llama,offkd,320,32,0.01,0.7205039293200552,0.007205023415921843
llama,offkd,320,32,0.05,0.8526746237489784,0.04263369481681757
llama,offkd,320,32,0.1,0.8985910800667174,0.08985910656159546
llama,offkd,320,32,0.2,0.9364776885923366,0.18729557942304553
llama,offkd,320,50,0.01,0.664838705559552,0.006648372903445158
llama,offkd,320,50,0.05,0.8182783131467399,0.04091388149561429
llama,offkd,320,50,0.1,0.8737152849081505,0.08737152674278963
llama,offkd,320,50,0.2,0.9205479025803364,0.18410962113857834
llama,opd,20,16,0.01,0.641318198810095,0.006413167236749657
llama,opd,20,16,0.05,0.8117581896255475,0.04058787439904234
llama,opd,20,16,0.1,0.8686043542464635,0.08686043447476068
llama,opd,20,16,0.2,0.9153301710309493,0.18306607521058574
llama,opd,20,32,0.01,0.5432527866191216,0.0054325160428132
llama,opd,20,32,0.05,0.7417617486641459,0.03708805660134417
llama,opd,20,32,0.1,0.8166085962496863,0.08166085819560455
llama,opd,20,32,0.2,0.8808058581435995,0.17616121040413207
llama,opd,20,50,0.01,0.4672953734466244,0.004672944113952443
llama,opd,20,50,0.05,0.684528921505791,0.03422641860783583
llama,opd,20,50,0.1,0.7715442284091844,0.07715442099761176
llama,opd,20,50,0.2,0.8494997981003045,0.16989999634371658
llama,opd,160,16,0.01,0.7405387510953795,0.007405370264629357
llama,opd,160,16,0.05,0.8690014752112714,0.04345003574665389
llama,opd,160,16,0.1,0.9103671641510703,0.09103671555222619
llama,opd,160,16,0.2,0.943644490602335,0.1887289406609491
llama,opd,160,32,0.01,0.6687214059735352,0.006687198990508714
llama,opd,160,32,0.05,0.8240118412934748,0.04120055678387973
llama,opd,160,32,0.1,0.8784457086545198,0.08784456971954092
llama,opd,160,32,0.2,0.9230595545329437,0.18461195209432288
llama,opd,160,50,0.01,0.60852385931625,0.006085225391111629
llama,opd,160,50,0.05,0.7841869818267496,0.03920931623388408
llama,opd,160,50,0.1,0.8487964300429891,0.08487964154924853
llama,opd,160,50,0.2,0.9033008285530834,0.18066020557435922
llama,opd,320,16,0.01,0.7886817572142073,0.007886798939589086
llama,opd,320,16,0.05,0.8958707948162045,0.044793500207619574
llama,opd,320,16,0.1,0.9295240948878034,0.09295240865703928
llama,opd,320,16,0.2,0.9560736435598781,0.19121477194231376
llama,opd,320,32,0.01,0.7255876159124799,0.007255859469272729
llama,opd,320,32,0.05,0.8587201944751328,0.042935972489890215
llama,opd,320,32,0.1,0.9035498028388252,0.09035497919488733
llama,opd,320,32,0.2,0.9398313400328961,0.18796631013440526
llama,opd,320,50,0.01,0.6749802426952065,0.006749787264234015
llama,opd,320,50,0.05,0.8259158108775695,0.04129575530877217
llama,opd,320,50,0.1,0.8796905800417635,0.08796905665893613
llama,opd,320,50,0.2,0.9244932705583693,0.1848986952373553
llama,seqkd,20,16,0.01,0.6031535201855657,0.006031521942823285
llama,seqkd,20,16,0.05,0.7857930527246555,0.03928961949457434
llama,seqkd,20,16,0.1,0.8494018433717843,0.08494018321937571
llama,seqkd,20,16,0.2,0.9026230848752107,0.18052465720405395
llama,seqkd,20,32,0.01,0.5030363157102016,0.0050303528680592
llama,seqkd,20,32,0.05,0.7139169943707415,0.03569582079413401
llama,seqkd,20,32,0.1,0.7950656706954208,0.07950656545146119
llama,seqkd,20,32,0.2,0.8653996939968973,0.17307997655177682
llama,seqkd,20,50,0.01,0.42665618604566663,0.0042665538408008285
llama,seqkd,20,50,0.05,0.6529534399044763,0.03264764667294403
llama,seqkd,20,50,0.1,0.7469272052807882,0.0746927184529054
llama,seqkd,20,50,0.2,0.8312865498625779,0.16625734549483778
llama,seqkd,160,16,0.01,0.7439976284427325,0.007439959673581443
llama,seqkd,160,16,0.05,0.8684446956363411,0.043422197339150315
llama,seqkd,160,16,0.1,0.9098373127045206,0.09098373005210525
llama,seqkd,160,16,0.2,0.9431953675010495,0.18863911584173856
llama,seqkd,160,32,0.01,0.6676862291839739,0.006676847983389385
llama,seqkd,160,32,0.05,0.8204696307281216,0.041023447125775304
llama,seqkd,160,32,0.1,0.8750477962069502,0.08750477800749411
llama,seqkd,160,32,0.2,0.9208528254859164,0.18417060585422665
llama,seqkd,160,50,0.01,0.6044950545375324,0.006044938104757843
llama,seqkd,160,50,0.05,0.7784684591117802,0.03892339116218244
llama,seqkd,160,50,0.1,0.8439918977435321,0.08439918780199528
llama,seqkd,160,50,0.2,0.900523895701683,0.18010481853337978
llama,seqkd,320,16,0.01,0.7869951440314947,0.007869933718582958
llama,seqkd,320,16,0.05,0.8929407695221913,0.04464699960317087
llama,seqkd,320,16,0.1,0.9271501285313164,0.09271501167718056
llama,seqkd,320,16,0.2,0.9544797783584981,0.19089599863862466
llama,seqkd,320,32,0.01,0.7202199849959159,0.0072021841394339
llama,seqkd,320,32,0.05,0.8525599747405234,0.042627962455098874
llama,seqkd,320,32,0.1,0.8986804510043257,0.089868043597625
llama,seqkd,320,32,0.2,0.9363726028079211,0.18727456223573677
llama,seqkd,320,50,0.01,0.6635232843457184,0.0066352188517554
llama,seqkd,320,50,0.05,0.8175891121302249,0.04087942152072312
llama,seqkd,320,50,0.1,0.8732432799699392,0.08732432619865382
llama,seqkd,320,50,0.2,0.9202740182653188,0.18405484424744314
llama,sft,20,16,0.01,0.6447398364395097,0.006447384490113043
llama,sft,20,16,0.05,0.8119361456241059,0.04059677295927634
llama,sft,20,16,0.1,0.8692620201183088,0.0869262006976744
llama,sft,20,16,0.2,0.9172770231677269,0.18345544550279363
llama,sft,20,32,0.01,0.5527549879767207,0.005527538700587272
llama,sft,20,32,0.05,0.7480187628813565,0.03740090762296185
llama,sft,20,32,0.1,0.8212402209257542,0.08212402031780576
llama,sft,20,32,0.2,0.8846685347864683,0.17693374567098355
llama,sft,20,50,0.01,0.4788028188203003,0.004788019090981544
