model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,null_update_count_mean,delta_singular_values_used,z_tpnt,spectrum_null_seeds
llama,llama3_2_3b,offkd,20,20,14,mlp.down_proj,16,0.01,0.7455185413941969,0.7322062566261579,0.0064386337292267,7199795.4,3072,2.0675636055535764,10
llama,llama3_2_3b,offkd,20,20,14,mlp.down_proj,16,0.1,0.9386107464296508,0.938847447305714,0.0024085434962847,7199795.4,3072,-0.0982755247843032,10
llama,llama3_2_3b,offkd,20,20,14,mlp.down_proj,32,0.01,0.6612678462909709,0.6446908479519619,0.005054564459046,7199795.4,3072,3.2796096425956947,10
llama,llama3_2_3b,offkd,20,20,14,mlp.down_proj,32,0.1,0.9115809951855623,0.9076107017931896,0.0022317064885179,7199795.4,3072,1.7790392297553026,10
llama,llama3_2_3b,offkd,20,20,14,mlp.down_proj,50,0.01,0.6024267182381081,0.586962674452314,0.0054470530246777,7199795.4,3072,2.8389743436927346,10
llama,llama3_2_3b,offkd,20,20,14,mlp.down_proj,50,0.1,0.8791703212401044,0.8751993433933972,0.0019866803393386,7199795.4,3072,1.9988005961890576,10
llama,llama3_2_3b,offkd,20,20,14,mlp.gate_proj,16,0.01,0.568931214800795,0.5455125985042906,0.0061370497757243,10443552.7,3072,3.815940419635984,10
llama,llama3_2_3b,offkd,20,20,14,mlp.gate_proj,16,0.1,0.8816831234917343,0.8759914760817971,0.0025340508761641,10443552.7,3072,2.246066747701964,10
llama,llama3_2_3b,offkd,20,20,14,mlp.gate_proj,32,0.01,0.4920132277004573,0.4714022788158196,0.0056080122893497,10443552.7,3072,3.675268138013932,10
llama,llama3_2_3b,offkd,20,20,14,mlp.gate_proj,32,0.1,0.842666432795647,0.837712588118624,0.0024426831900186,10443552.7,3072,2.0280340476675245,10
llama,llama3_2_3b,offkd,20,20,14,mlp.gate_proj,50,0.01,0.4344362830059297,0.4154529464613302,0.0045820119358826,10443552.7,3072,4.143013333495976,10
llama,llama3_2_3b,offkd,20,20,14,mlp.gate_proj,50,0.1,0.8107750773351957,0.8070156440743699,0.0019356378724278,10443552.7,3072,1.9422193140446915,10
llama,llama3_2_3b,offkd,20,20,14,mlp.up_proj,16,0.01,0.9001197572465761,0.8927849394292566,0.004933808021411,10798218.9,3072,1.4866443496562756,10
llama,llama3_2_3b,offkd,20,20,14,mlp.up_proj,16,0.1,0.9855716741320248,0.9872973975220098,0.0015169751660129,10798218.9,3072,-1.1376082012738395,10
llama,llama3_2_3b,offkd,20,20,14,mlp.up_proj,32,0.01,0.8245657800991453,0.8233504182159151,0.0039890695999888,10798218.9,3072,0.3046730203036648,10
llama,llama3_2_3b,offkd,20,20,14,mlp.up_proj,32,0.1,0.9474978196873558,0.9523699167820608,0.0017972346500446,10798218.9,3072,-2.7108853563355804,10
llama,llama3_2_3b,offkd,20,20,14,mlp.up_proj,50,0.01,0.7639502675048511,0.7673477278038404,0.002864367702771,10798218.9,3072,-1.1861117885467736,10
llama,llama3_2_3b,offkd,20,20,14,mlp.up_proj,50,0.1,0.9156128865791616,0.9200684503099336,0.0011926074157759,10798218.9,3072,-3.735985263744869,10
