family,model,arm,step,checkpoint,layer,module,rank_fraction,k,rank_spec_kind,p_k,delta_construction,native_source,checkpoint_materialization,source_svd_dtype,projection_dtype,base_tensor_sha256,checkpoint_tensor_sha256,checkpoint_root
llama3_2_3b,llama,opd,5,5,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,1.4588561043638038e-06,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_005
llama3_2_3b,llama,opd,5,5,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,6.197406037244946e-06,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_005
llama3_2_3b,llama,opd,5,5,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,2.8374019166221842e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_005
llama3_2_3b,llama,opd,5,5,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.0001113305042963475,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_005
llama3_2_3b,llama,opd,20,20,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,8.224455814342946e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_020
llama3_2_3b,llama,opd,20,20,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,0.0001087607815861702,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_020
llama3_2_3b,llama,opd,20,20,14,self_attn.q_proj,0.005208333333333333,16,fixed_k,0.000242557842284441,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_020
llama3_2_3b,llama,opd,20,20,14,self_attn.q_proj,0.010416666666666666,32,fixed_k,0.000494419306050986,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_020
llama3_2_3b,llama,opd,40,40,14,self_attn.q_proj,0.0013020833333333333,4,fixed_k,5.6005777878453955e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_040
llama3_2_3b,llama,opd,40,40,14,self_attn.q_proj,0.0026041666666666665,8,fixed_k,7.81488124630414e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,torch.float32,torch.float32,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba,/root/autodl-tmp/cycle09_block3/llama_models/merged/opd/step_040
