analysis,model_scope,target,feature_set,features,n,heldout_r2,mae,auc,balanced_accuracy
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,W,raw_update_energy_equal7,192,-0.05422143657402212,0.04765137469682671,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,p_k,"p_k4,p_k8,p_k16,p_k32",192,0.5777585455785312,0.03027728440116111,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,C,c_epsilon,192,0.5037783243012274,0.03104939414062158,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,W_plus_C,"raw_update_energy_equal7,c_epsilon",192,0.5792255455289185,0.031759966805237815,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,p_k_plus_C,"p_k4,p_k8,p_k16,p_k32,c_epsilon",192,0.5982573973513119,0.02809543663040881,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,TPNT,"tpnt_overlap_lift,tpnt_lift_minus_null,pabs_joint_mean_cos,nss_l1_top32",192,0.22998862976710066,0.03803650600466335,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,TPNT_plus_C,"tpnt_overlap_lift,tpnt_lift_minus_null,pabs_joint_mean_cos,nss_l1_top32,c_epsilon",192,0.4601664194330507,0.03523950091935095,,
checkpoint_grouped_regression,pooled,cumulative_kl_base_to_current,p_k_TPNT_C,"p_k4,p_k8,p_k16,p_k32,tpnt_overlap_lift,tpnt_lift_minus_null,pabs_joint_mean_cos,nss_l1_top32,c_epsilon",192,0.5793579606971846,0.03062318400423048,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,W,raw_update_energy_equal7,192,-0.11359984674697676,0.09981083044158219,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,p_k,"p_k4,p_k8,p_k16,p_k32",192,0.6189750636865048,0.05670239804127388,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,C,c_epsilon,192,0.5012509576751785,0.06483455255745935,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,W_plus_C,"raw_update_energy_equal7,c_epsilon",192,0.5512569691795872,0.0644466561201434,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,p_k_plus_C,"p_k4,p_k8,p_k16,p_k32,c_epsilon",192,0.6283845704057032,0.05433189464100353,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,TPNT,"tpnt_overlap_lift,tpnt_lift_minus_null,pabs_joint_mean_cos,nss_l1_top32",192,0.31846235410395873,0.07497963589636983,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,TPNT_plus_C,"tpnt_overlap_lift,tpnt_lift_minus_null,pabs_joint_mean_cos,nss_l1_top32,c_epsilon",192,0.4554076605231042,0.06932064965018246,,
checkpoint_grouped_regression,pooled,absolute_delta_nll_cumulative,p_k_TPNT_C,"p_k4,p_k8,p_k16,p_k32,tpnt_overlap_lift,tpnt_lift_minus_null,pabs_joint_mean_cos,nss_l1_top32,c_epsilon",192,0.585431758732693,0.06042830650265448,,
checkpoint_grouped_regression,pooled,delta_nll_cumulative,W,raw_update_energy_equal7,192,-0.012027777519737715,0.034721113653482225,,
checkpoint_grouped_regression,pooled,delta_nll_cumulative,p_k,"p_k4,p_k8,p_k16,p_k32",192,0.5234502535715472,0.02560558392927671,,
checkpoint_grouped_regression,pooled,delta_nll_cumulative,C,c_epsilon,192,0.33630654394838555,0.02928932692192253,,
