model,family,arm,checkpoint,step,layer,module,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,16,0.01,94372,1841569,9437184,0.1951396730211046,5129,0.0027851250754112,0.2785120353459685,rank32_norm_matched_lowrank_bf16_mask,32,3,0.2658999332523444,0.0013696105763848,0.012612102093624,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,16,0.1,943718,1841569,9437184,0.1951396730211046,107553,0.05840291620895,0.5840294096334333,rank32_norm_matched_lowrank_bf16_mask,32,3,0.5630608914610913,0.002864533542924,0.020968518172342,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,32,0.01,94372,1841569,9437184,0.1951396730211046,3812,0.0020699740275819,0.2069970518110415,rank32_norm_matched_lowrank_bf16_mask,32,3,0.197312960413039,0.0020472446778526,0.0096840913980024,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,32,0.1,943718,1841569,9437184,0.1951396730211046,95634,0.0519307177738113,0.5193073978492814,rank32_norm_matched_lowrank_bf16_mask,32,3,0.4992434994870099,0.0029098058912043,0.0200638983622714,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,50,0.01,94372,1841569,9437184,0.1951396730211046,2621,0.0014232428977681,0.1423240484776337,rank32_norm_matched_lowrank_bf16_mask,32,3,0.1332736191879979,0.0014794247399276,0.0090504292896357,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,50,0.1,943718,1841569,9437184,0.1951396730211046,85725,0.0465499799355875,0.4654999966604936,rank32_norm_matched_lowrank_bf16_mask,32,3,0.4457762450276681,0.0012878897969524,0.0197237516328254,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,0.01,94372,3911327,9437184,0.414459122551812,15158,0.0038754110817121,0.3875404511269947,rank32_norm_matched_lowrank_bf16_mask,32,3,0.3605526244351087,0.0009634660524218,0.0269878266918859,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,0.1,943718,3911327,9437184,0.414459122551812,268808,0.0687255246109568,0.6872555374064372,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6734520552677714,0.0007188715308901,0.0138034821386657,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,0.01,94372,3911327,9437184,0.414459122551812,10990,0.0028097880847088,0.2809783320943179,rank32_norm_matched_lowrank_bf16_mask,32,3,0.2717440090761887,0.001552473323424,0.0092343230181292,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,0.1,943718,3911327,9437184,0.414459122551812,242574,0.0620183380218529,0.6201836430866235,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6129808514590468,0.0011926209225966,0.0072027916275767,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,50,0.01,94372,3911327,9437184,0.414459122551812,7490,0.0019149511150563,0.1914947868413504,rank32_norm_matched_lowrank_bf16_mask,32,3,0.1915439451684044,0.0004688589490961,-4.915832705396084e-05,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,50,0.1,943718,3911327,9437184,0.414459122551812,220766,0.056442736697801,0.5644276062136154,rank32_norm_matched_lowrank_bf16_mask,32,3,0.5629097580687027,0.0008084300908341,0.0015178481449127,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,16,0.01,94372,4506719,9437184,0.4775491290622287,17372,0.0038546889655201,0.3854682430210582,rank32_norm_matched_lowrank_bf16_mask,32,3,0.411721260075566,0.0026115904394378,-0.0262530170545077,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,16,0.1,943718,4506719,9437184,0.4775491290622287,311678,0.0691585164284704,0.6915854574168329,rank32_norm_matched_lowrank_bf16_mask,32,3,0.7093421171155079,0.0010606484846238,-0.017756659698675,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,32,0.01,94372,4506719,9437184,0.4775491290622287,13001,0.002884803778536,0.2884798887587369,rank32_norm_matched_lowrank_bf16_mask,32,3,0.3147775888708291,0.0030022065160774,-0.0262977001120922,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,32,0.1,943718,4506719,9437184,0.4775491290622287,285094,0.0632597683591987,0.632597951721952,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6529533854405719,0.0007381839749141,-0.0203554337186199,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,50,0.01,94372,4506719,9437184,0.4775491290622287,9383,0.0020820024501194,0.2081998920254771,rank32_norm_matched_lowrank_bf16_mask,32,3,0.230195722892062,0.0014195298151611,-0.0219958308665849,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,50,0.1,943718,4506719,9437184,0.4775491290622287,262774,0.0583071631490669,0.5830718786287478,rank32_norm_matched_lowrank_bf16_mask,32,3,0.6057025636079892,0.0004375569672691,-0.0226306849792414,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,80,80,14,self_attn.q_proj,16,0.01,94372,5053093,9437184,0.5354450013902452,21197,0.004194856496803,0.4194849384767279,rank32_norm_matched_lowrank_bf16_mask,32,3,0.4647875049929825,0.0036637547823382,-0.0453025665162545,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,595f8a771d86e1c193ef0bad4c5088372fb5ad59d7650b3f959061d4aaf32ff2
