association_type,aggregation,model,epsilon,feature,target,n_cells,pearson,spearman
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.01,c_equal5,cumulative_kl_base_to_current,96,0.8554109622299357,0.7206142180393378
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.01,c_equal5,absolute_delta_nll_cumulative,96,0.8638508808114361,0.7376245850035122
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.01,c_equal5,delta_nll_cumulative,96,0.7520224022038815,0.6498190783375616
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.025,c_equal5,cumulative_kl_base_to_current,96,0.8478280589240623,0.7064660420077317
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.025,c_equal5,absolute_delta_nll_cumulative,96,0.8584061661530021,0.7264064243341564
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.025,c_equal5,delta_nll_cumulative,96,0.7659221097133404,0.6533052540232019
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.05,c_equal5,cumulative_kl_base_to_current,96,0.8348846414695309,0.7074742268041238
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.05,c_equal5,absolute_delta_nll_cumulative,96,0.8516401043073561,0.735594139989148
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.05,c_equal5,delta_nll_cumulative,96,0.7642188630243213,0.6589799240368964
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.1,c_equal5,cumulative_kl_base_to_current,96,0.8204148172805273,0.7097080497465178
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.1,c_equal5,absolute_delta_nll_cumulative,96,0.8375380189585866,0.7354677681396338
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,llama,0.1,c_equal5,delta_nll_cumulative,96,0.7464212390505031,0.6441082613583611
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.01,c_equal5,cumulative_kl_base_to_current,288,0.29092188759555104,0.22521639967793242
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.01,c_equal5,absolute_delta_nll_cumulative,288,0.4468734620678651,0.35304567129348124
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.01,c_equal5,delta_nll_cumulative,288,-0.006234910035032532,0.09804022045493611
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.025,c_equal5,cumulative_kl_base_to_current,288,0.3043044968461323,0.23838541755640355
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.025,c_equal5,absolute_delta_nll_cumulative,288,0.45646196421380647,0.3695546675858585
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.025,c_equal5,delta_nll_cumulative,288,0.015043741359696411,0.11010982850040574
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.05,c_equal5,cumulative_kl_base_to_current,288,0.3004401276072414,0.2357793500916063
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.05,c_equal5,absolute_delta_nll_cumulative,288,0.4551695510840644,0.37116463942812544
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.05,c_equal5,delta_nll_cumulative,288,0.01576542085454106,0.11161705573741636
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.1,c_equal5,cumulative_kl_base_to_current,288,0.2872298399922099,0.23299724196705088
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.1,c_equal5,absolute_delta_nll_cumulative,288,0.4502764466450007,0.37624954162211016
checkpoint_demeaned_descriptive_not_oof_prediction,equal5_non_qk,qwen,0.1,c_equal5,delta_nll_cumulative,288,0.011950322800431581,0.10922116221543593
