inventory_type,status,source_key,source_path,row_count,sha256,model,arm,checkpoint,artifact_probe_name,probe_name,epsilon,layer,module,task,reason
source_file,READY_REUSE_MODULE_ROWS,qwen_state_module,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,4144.0,e9617a23ac8b92a4f23353db7c6d3f52d4d5ceca54bddb89cb94853d851294e8,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,llama_state_module,/root/LLM-output-density/mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/llama_matched_state_module_ranks.csv,2800.0,591d022e964d028c4a42117da404caf970490507a6b7f62eb0fa1e54d4957fa6,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,llama_rr2s_spectrum_module,/root/LLM-output-density/mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/reviewer_robustness/RR2S_llama_state_spectrum_module.csv,1456.0,38b26845bc4b48fbc72985b16510fe918420e9f84cfbd11639181729d3fbd8f2,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,llama_rr3_centered_module,/root/LLM-output-density/mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/reviewer_robustness/RR3_llama_centered_module.csv,1456.0,3171d9e1ad1a5c68c7f3ca4f8a34d5c0520853ba69b15ffa98f20ad951912ff0,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,qwen_alpha05_module,/root/LLM-output-density/mypaper/local_experiment_results/cycle_09_aaai_competitiveness_completion/run_01/mini/qwen_alpha05_r_epsilon.csv,1176.0,468953f387c948b8bb0394aec1ca1276de91db330e9584595c2b36bd4ffd9b7e,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,llama_frozen_self_module,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/llama_frozen_self_r_epsilon.csv,2856.0,9b5a5db093b77c5629745a8383d4a0aaca4613c9bc0fa9a2e5c1db612f9f3aab,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,d5_fairness_update_module,/root/autodl-tmp/cycle09_relative_functional_contraction/final/d5_fairness_update_module.csv,6720.0,1bea4d566461d8bcc73615c3639495f175c4eb620c0bf4ab9f1b4a1e22b6c39b,,,,,,,,,,
source_file,NOT_APPLICABLE_NO_MODULE_AXIS,d5_fairness_update_equal7,/root/autodl-tmp/cycle09_relative_functional_contraction/final/d5_fairness_update_equal7.csv,960.0,41c63d2bc182d5286d9691bcf526e748ca243d6233dd8316080b12cbc8fd75f6,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,d11_llama_merged_pk,/root/autodl-tmp/cycle09_relative_functional_contraction/d11_pk_tpnt/formal/final/d11_llama_merged_pk.csv,672.0,0c3aea57656a45eed28a32f0f4d041b273d7b4de7087dfe510ecfadbc60c4b6d,,,,,,,,,,
source_file,READY_REUSE_MODULE_ROWS,d11_tpnt_principal_mask,/root/autodl-tmp/cycle09_relative_functional_contraction/d11_pk_tpnt/formal/final/d11_tpnt_principal_mask.csv,2016.0,2f01150f49f82ce2ee0851319864b6b6860e278261481ffd184d707030b97a0b,,,,,,,,,,
