analysis,model_scope,target,feature_set,features,n,status,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof,reason
D11_broad_parity_equal5,pooled_available_complete_rows,cumulative_kl_base_to_current,C5,c_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.4909544518942246,0.030423281123157703,0.7294030929237014,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,cumulative_kl_base_to_current,W5,raw_update_energy_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.032107862381447694,0.04270368789221999,0.23641819613345189,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,cumulative_kl_base_to_current,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.5846310866291187,0.03449371429892161,0.7866415859740625,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,cumulative_kl_base_to_current,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",288.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.21365038262332114,0.034715773008238915,0.6786382862490675,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,cumulative_kl_base_to_current,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.7989924577746484,0.025784707992203938,0.8614215952251764,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,absolute_delta_nll_cumulative,C5,c_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.537279078363339,0.062361543936085305,0.7190883338216373,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,absolute_delta_nll_cumulative,W5,raw_update_energy_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.032692240261214534,0.0876314421293954,0.2147398723800894,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,absolute_delta_nll_cumulative,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.6732775083812697,0.0601438713413921,0.8007062118726737,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,absolute_delta_nll_cumulative,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",288.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.32701131659350136,0.06846986165453746,0.6674425534812232,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,absolute_delta_nll_cumulative,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.8331548237599703,0.04528368035417082,0.8623711340206185,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,delta_nll_cumulative,C5,c_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.36048676407819724,0.023772776756488822,0.6283154866672283,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,delta_nll_cumulative,W5,raw_update_energy_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.03805840745582334,0.02830924702983831,0.3565383917338168,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,delta_nll_cumulative,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.3302049346450233,0.04038589674641584,0.5445562490782755,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,delta_nll_cumulative,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",288.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.12648955905223902,0.02611532316346348,0.47583271267456767,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,delta_nll_cumulative,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.44519053886232063,0.04000915522253895,0.4861096039066739,,,,
D11_broad_parity_equal5,pooled_available_complete_rows,is_opd,C5,c_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.7002676504629629,0.5137655817094261,0.5902777777777778,
D11_broad_parity_equal5,pooled_available_complete_rows,is_opd,W5,raw_update_energy_equal5,384.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.5098379629629629,0.5615665648930902,0.5,
D11_broad_parity_equal5,pooled_available_complete_rows,is_opd,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.6666666666666666,1.0264483527914063,0.8333333333333333,
D11_broad_parity_equal5,pooled_available_complete_rows,is_opd,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",288.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.5771604938271605,0.588581016767133,0.5,
D11_broad_parity_equal5,pooled_available_complete_rows,is_opd,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.7505787037037037,0.8344040099468941,0.7777777777777777,
D11_broad_parity_equal5,llama_only_complete_rows,cumulative_kl_base_to_current,C5,c_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.7469402923417412,0.02752357120062293,0.7886869234943029,,,,
D11_broad_parity_equal5,llama_only_complete_rows,cumulative_kl_base_to_current,W5,raw_update_energy_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,-0.07997711991730982,0.05712135944766927,-0.14792293802245934,,,,
D11_broad_parity_equal5,llama_only_complete_rows,cumulative_kl_base_to_current,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.5846310866291187,0.03449371429892161,0.7866415859740625,,,,
D11_broad_parity_equal5,llama_only_complete_rows,cumulative_kl_base_to_current,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.11863317314823729,0.05313197519012253,0.671355096465369,,,,
D11_broad_parity_equal5,llama_only_complete_rows,cumulative_kl_base_to_current,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.7989924577746484,0.025784707992203938,0.8614215952251764,,,,
D11_broad_parity_equal5,llama_only_complete_rows,absolute_delta_nll_cumulative,C5,c_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.7356528860204129,0.056571948949657676,0.73962289744981,,,,
D11_broad_parity_equal5,llama_only_complete_rows,absolute_delta_nll_cumulative,W5,raw_update_energy_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,-0.14529270404030914,0.11211688981997792,-0.029649751894369608,,,,
D11_broad_parity_equal5,llama_only_complete_rows,absolute_delta_nll_cumulative,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.6732775083812697,0.0601438713413921,0.8007062118726737,,,,
D11_broad_parity_equal5,llama_only_complete_rows,absolute_delta_nll_cumulative,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.1436215269475516,0.1020888997208083,0.6218845397331881,,,,
D11_broad_parity_equal5,llama_only_complete_rows,absolute_delta_nll_cumulative,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.8331548237599703,0.04528368035417082,0.8623711340206185,,,,
D11_broad_parity_equal5,llama_only_complete_rows,delta_nll_cumulative,C5,c_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.5823748686645618,0.03524630725912436,0.5076370048833424,,,,
D11_broad_parity_equal5,llama_only_complete_rows,delta_nll_cumulative,W5,raw_update_energy_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,-0.01863822143970495,0.04815664757685171,0.05435787847301095,,,,
D11_broad_parity_equal5,llama_only_complete_rows,delta_nll_cumulative,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.3302049346450233,0.04038589674641584,0.5445562490782755,,,,
D11_broad_parity_equal5,llama_only_complete_rows,delta_nll_cumulative,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,-0.11558077230362729,0.05523293244898439,0.30285103720677525,,,,
D11_broad_parity_equal5,llama_only_complete_rows,delta_nll_cumulative,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,0.44519053886232063,0.04000915522253895,0.4861096039066739,,,,
D11_broad_parity_equal5,llama_only_complete_rows,is_opd,C5,c_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.8003472222222222,0.45788979944299757,0.7569444444444444,
D11_broad_parity_equal5,llama_only_complete_rows,is_opd,W5,raw_update_energy_equal5,96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.5185185185185185,0.5649223494379442,0.5,
D11_broad_parity_equal5,llama_only_complete_rows,is_opd,Pk5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.6666666666666666,1.0264483527914063,0.8333333333333333,
D11_broad_parity_equal5,llama_only_complete_rows,is_opd,TPNT5,"tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.6481481481481481,0.6045644925092833,0.6666666666666667,
D11_broad_parity_equal5,llama_only_complete_rows,is_opd,Pk5_TPNT5_C5,"p_k4_equal5,p_k8_equal5,p_k16_equal5,p_k32_equal5,tpnt_overlap_lift_equal5,tpnt_lift_minus_null_equal5,pabs_joint_mean_cos_equal5,nss_l1_top32_equal5,c_equal5",96.0,DESCRIPTIVE_PARITY_ONLY_NOT_RR5_FORMAL,,,,0.7505787037037037,0.8344040099468941,0.7777777777777777,
D11_broad_parity_equal5,dual_model_all_features,,,,,BLOCKED_NO_MODULE_SOURCE,,,,,,,Qwen per-module p_k source unavailable; full D11 same-cell matrix cannot be exactly rebuilt for both models.
