model,checkpoint,probe_name,epsilon,layer,opd_delta_r_equal5,nearest_offline_delta_r_equal5,continuous_margin,nearest_offline_arm,OPD_strict_deepest,OPD_tied_deepest,offline_strictly_deeper
llama,20,E_general,0.01,14,-12.0,-3.8,8.2,sft,True,False,False
llama,20,E_general,0.025,14,-12.8,-4.4,8.4,sft,True,False,False
llama,20,E_general,0.05,14,-12.0,-4.2,7.8,sft,True,False,False
llama,20,E_general,0.1,14,-10.6,-4.0,6.6,sft,True,False,False
llama,20,E_ifeval,0.01,14,-22.4,-8.2,14.2,sft,True,False,False
llama,20,E_ifeval,0.025,14,-23.0,-9.2,13.8,offkd,True,False,False
llama,20,E_ifeval,0.05,14,-21.4,-9.0,12.399999999999999,sft,True,False,False
llama,20,E_ifeval,0.1,14,-17.6,-8.2,9.400000000000002,offkd,True,False,False
llama,20,E_mathHeld,0.01,14,-18.2,-7.2,11.0,sft,True,False,False
llama,20,E_mathHeld,0.025,14,-17.0,-6.6,10.4,sft,True,False,False
llama,20,E_mathHeld,0.05,14,-14.6,-5.8,8.8,sft,True,False,False
llama,20,E_mathHeld,0.1,14,-11.4,-4.6,6.800000000000001,sft,True,False,False
llama,20,E_mmluPro,0.01,14,-21.4,-8.0,13.399999999999999,sft,True,False,False
llama,20,E_mmluPro,0.025,14,-23.2,-9.0,14.2,sft,True,False,False
llama,20,E_mmluPro,0.05,14,-21.0,-8.2,12.8,sft,True,False,False
llama,20,E_mmluPro,0.1,14,-17.2,-6.8,10.399999999999999,sft,True,False,False
llama,40,E_general,0.01,14,-15.0,-4.8,10.2,sft,True,False,False
llama,40,E_general,0.025,14,-15.8,-5.2,10.600000000000001,sft,True,False,False
llama,40,E_general,0.05,14,-15.2,-5.2,10.0,sft,True,False,False
llama,40,E_general,0.1,14,-13.0,-4.8,8.2,sft,True,False,False
llama,40,E_ifeval,0.01,14,-29.0,-9.6,19.4,sft,True,False,False
llama,40,E_ifeval,0.025,14,-30.6,-10.6,20.0,sft,True,False,False
llama,40,E_ifeval,0.05,14,-28.4,-10.6,17.799999999999997,sft,True,False,False
llama,40,E_ifeval,0.1,14,-23.4,-9.2,14.2,sft,True,False,False
llama,40,E_mathHeld,0.01,14,-22.2,-8.0,14.2,sft,True,False,False
llama,40,E_mathHeld,0.025,14,-20.4,-7.6,12.799999999999999,sft,True,False,False
llama,40,E_mathHeld,0.05,14,-17.2,-6.2,11.0,sft,True,False,False
llama,40,E_mathHeld,0.1,14,-13.0,-5.0,8.0,sft,True,False,False
llama,40,E_mmluPro,0.01,14,-28.0,-8.2,19.8,sft,True,False,False
llama,40,E_mmluPro,0.025,14,-30.0,-9.0,21.0,sft,True,False,False
llama,40,E_mmluPro,0.05,14,-27.2,-8.4,18.799999999999997,sft,True,False,False
llama,40,E_mmluPro,0.1,14,-22.2,-7.0,15.2,sft,True,False,False
