scope,model,epsilon,n_cells,OPD_strict_deepest,OPD_tied_deepest,offline_strictly_deeper,mean_continuous_margin,min_continuous_margin
by_model_epsilon,llama,0.01,12,12,0,0,14.016666666666667,8.2
by_model_epsilon,llama,0.025,12,12,0,0,14.116666666666667,8.4
by_model_epsilon,llama,0.05,12,12,0,0,12.600000000000001,7.8
by_model_epsilon,llama,0.1,12,12,0,0,9.966666666666667,5.6000000000000005
by_model_epsilon,qwen,0.01,12,12,0,0,5.183333333333334,1.0
by_model_epsilon,qwen,0.025,12,12,0,0,6.233333333333333,0.4
by_model_epsilon,qwen,0.05,12,12,0,0,6.333333333333333,0.2
by_model_epsilon,qwen,0.1,12,11,0,1,5.283333333333333,-0.8
pooled_models_epsilon,pooled_qwen_llama,0.01,24,24,0,0,9.6,1.0
pooled_models_epsilon,pooled_qwen_llama,0.025,24,24,0,0,10.174999999999999,0.4
pooled_models_epsilon,pooled_qwen_llama,0.05,24,24,0,0,9.466666666666667,0.2
pooled_models_epsilon,pooled_qwen_llama,0.1,24,23,0,1,7.625,-0.8
