comparison_type,model,arm,checkpoint,probe_name,artifact_probe_name,epsilon,layer,equal7_value,equal5_value,equal5_minus_equal7,sign_changed,ordering_changed,deepest_arm_changed,rank_or_score_changed,source_rows_complete,excluded_modules_exactly_qk,n_cells,OPD_strict_deepest,offline_strictly_deeper,mechanical_readback,mean_equal5_minus_equal7
functional_cell,llama,base,0.0,E_general,E_general,0.01,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_general,E_general,0.025,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_general,E_general,0.05,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_general,E_general,0.1,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_ifeval,E_if,0.01,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_ifeval,E_if,0.025,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_ifeval,E_if,0.05,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_ifeval,E_if,0.1,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_mathHeld,E_math,0.01,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_mathHeld,E_math,0.025,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_mathHeld,E_math,0.05,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_mathHeld,E_math,0.1,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_mmluPro,E_ood,0.01,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
functional_cell,llama,base,0.0,E_mmluPro,E_ood,0.025,14.0,0.0,0.0,0.0,False,,,False,True,True,,,,,
