absolute_contraction,arm,checkpoint,epsilon,layer,model,module,probe_name,relative_functional_contraction_module,source_name,source_protocol,state_rank_base,state_rank_current,state_rank_delta,source_key,artifact_probe_name,sample_count,sample_ids_sha256,source_path,module_set
0.0,base,0,0.01,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,731.0,731.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,573.0,573.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,431.0,431.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.v_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,277.0,277.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,self_attn.o_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1546.0,1546.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,self_attn.o_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1186.0,1186.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.05,18,qwen,self_attn.o_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,890.0,890.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.1,18,qwen,self_attn.o_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,589.0,589.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.01,18,qwen,mlp.gate_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1641.0,1641.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
0.0,base,0,0.025,18,qwen,mlp.gate_proj,E_general,0.0,qwen_d4_merged_state,D4.1_current_merged_state,1133.0,1133.0,0.0,qwen_state_module,E_general,,,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_module_audit.csv,equal5_non_qk
