model,arm,checkpoint,artifact_probe_name,probe_name,epsilon,layer,module_count,module_set,source_rows_complete,included_modules,excluded_modules,r_epsilon_equal5,state_rank_base_equal5_non_qk,state_rank_current_equal5_non_qk,delta_r_equal5,c_equal5,ratio_of_means_sensitivity_equal5,base_rank_modules_json_equal5_non_qk,current_rank_modules_json_equal5_non_qk,delta_r_modules_json_equal5_non_qk,c_modules_json_equal5_non_qk,c_equal5_E_general,G_equal5,module_count_eq7src,module_set_eq7src,source_rows_complete_eq7src,included_modules_eq7src,excluded_modules_eq7src,r_epsilon_equal7,state_rank_base_equal7,state_rank_current_equal7,delta_r_equal7,c_equal7,ratio_of_means_sensitivity_equal7,base_rank_modules_json_equal7,current_rank_modules_json_equal7,delta_r_modules_json_equal7,c_modules_json_equal7,equal5_minus_equal7_c,equal5_minus_equal7_delta_r,equal5_minus_equal7_r,sign_changed_c,excluded_modules_exactly_qk
llama,base,0,E_general,E_general,0.01,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",1737.8,1737.8,1737.8,0.0,0.0,0.0,"{""mlp.down_proj"": 2529.0, ""mlp.gate_proj"": 1399.0, ""mlp.up_proj"": 2314.0, ""self_attn.o_proj"": 1584.0, ""self_attn.v_proj"": 863.0}","{""mlp.down_proj"": 2529.0, ""mlp.gate_proj"": 1399.0, ""mlp.up_proj"": 2314.0, ""self_attn.o_proj"": 1584.0, ""self_attn.v_proj"": 863.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,1393.7142857142858,1393.7142857142858,1393.7142857142858,0.0,0.0,0.0,"{""mlp.down_proj"": 2529.0, ""mlp.gate_proj"": 1399.0, ""mlp.up_proj"": 2314.0, ""self_attn.k_proj"": 375.0, ""self_attn.o_proj"": 1584.0, ""self_attn.q_proj"": 692.0, ""self_attn.v_proj"": 863.0}","{""mlp.down_proj"": 2529.0, ""mlp.gate_proj"": 1399.0, ""mlp.up_proj"": 2314.0, ""self_attn.k_proj"": 375.0, ""self_attn.o_proj"": 1584.0, ""self_attn.q_proj"": 692.0, ""self_attn.v_proj"": 863.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,344.0857142857142,False,True
llama,base,0,E_general,E_general,0.025,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",1358.4,1358.4,1358.4,0.0,0.0,0.0,"{""mlp.down_proj"": 2167.0, ""mlp.gate_proj"": 784.0, ""mlp.up_proj"": 1852.0, ""self_attn.o_proj"": 1238.0, ""self_attn.v_proj"": 751.0}","{""mlp.down_proj"": 2167.0, ""mlp.gate_proj"": 784.0, ""mlp.up_proj"": 1852.0, ""self_attn.o_proj"": 1238.0, ""self_attn.v_proj"": 751.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,1050.7142857142858,1050.7142857142858,1050.7142857142858,0.0,0.0,0.0,"{""mlp.down_proj"": 2167.0, ""mlp.gate_proj"": 784.0, ""mlp.up_proj"": 1852.0, ""self_attn.k_proj"": 212.0, ""self_attn.o_proj"": 1238.0, ""self_attn.q_proj"": 351.0, ""self_attn.v_proj"": 751.0}","{""mlp.down_proj"": 2167.0, ""mlp.gate_proj"": 784.0, ""mlp.up_proj"": 1852.0, ""self_attn.k_proj"": 212.0, ""self_attn.o_proj"": 1238.0, ""self_attn.q_proj"": 351.0, ""self_attn.v_proj"": 751.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,307.6857142857143,False,True
llama,base,0,E_general,E_general,0.05,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",1033.4,1033.4,1033.4,0.0,0.0,0.0,"{""mlp.down_proj"": 1802.0, ""mlp.gate_proj"": 368.0, ""mlp.up_proj"": 1412.0, ""self_attn.o_proj"": 954.0, ""self_attn.v_proj"": 631.0}","{""mlp.down_proj"": 1802.0, ""mlp.gate_proj"": 368.0, ""mlp.up_proj"": 1412.0, ""self_attn.o_proj"": 954.0, ""self_attn.v_proj"": 631.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,776.2857142857143,776.2857142857143,776.2857142857143,0.0,0.0,0.0,"{""mlp.down_proj"": 1802.0, ""mlp.gate_proj"": 368.0, ""mlp.up_proj"": 1412.0, ""self_attn.k_proj"": 111.0, ""self_attn.o_proj"": 954.0, ""self_attn.q_proj"": 156.0, ""self_attn.v_proj"": 631.0}","{""mlp.down_proj"": 1802.0, ""mlp.gate_proj"": 368.0, ""mlp.up_proj"": 1412.0, ""self_attn.k_proj"": 111.0, ""self_attn.o_proj"": 954.0, ""self_attn.q_proj"": 156.0, ""self_attn.v_proj"": 631.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,257.11428571428576,False,True
llama,base,0,E_general,E_general,0.1,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",704.6,704.6,704.6,0.0,0.0,0.0,"{""mlp.down_proj"": 1362.0, ""mlp.gate_proj"": 100.0, ""mlp.up_proj"": 923.0, ""self_attn.o_proj"": 659.0, ""self_attn.v_proj"": 479.0}","{""mlp.down_proj"": 1362.0, ""mlp.gate_proj"": 100.0, ""mlp.up_proj"": 923.0, ""self_attn.o_proj"": 659.0, ""self_attn.v_proj"": 479.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,517.2857142857143,517.2857142857143,517.2857142857143,0.0,0.0,0.0,"{""mlp.down_proj"": 1362.0, ""mlp.gate_proj"": 100.0, ""mlp.up_proj"": 923.0, ""self_attn.k_proj"": 48.0, ""self_attn.o_proj"": 659.0, ""self_attn.q_proj"": 50.0, ""self_attn.v_proj"": 479.0}","{""mlp.down_proj"": 1362.0, ""mlp.gate_proj"": 100.0, ""mlp.up_proj"": 923.0, ""self_attn.k_proj"": 48.0, ""self_attn.o_proj"": 659.0, ""self_attn.q_proj"": 50.0, ""self_attn.v_proj"": 479.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,187.3142857142857,False,True
llama,base,0,E_if,E_ifeval,0.01,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",1652.8,1652.8,1652.8,0.0,0.0,0.0,"{""mlp.down_proj"": 2435.0, ""mlp.gate_proj"": 1309.0, ""mlp.up_proj"": 2178.0, ""self_attn.o_proj"": 1511.0, ""self_attn.v_proj"": 831.0}","{""mlp.down_proj"": 2435.0, ""mlp.gate_proj"": 1309.0, ""mlp.up_proj"": 2178.0, ""self_attn.o_proj"": 1511.0, ""self_attn.v_proj"": 831.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,1319.857142857143,1319.857142857143,1319.857142857143,0.0,0.0,0.0,"{""mlp.down_proj"": 2435.0, ""mlp.gate_proj"": 1309.0, ""mlp.up_proj"": 2178.0, ""self_attn.k_proj"": 345.0, ""self_attn.o_proj"": 1511.0, ""self_attn.q_proj"": 630.0, ""self_attn.v_proj"": 831.0}","{""mlp.down_proj"": 2435.0, ""mlp.gate_proj"": 1309.0, ""mlp.up_proj"": 2178.0, ""self_attn.k_proj"": 345.0, ""self_attn.o_proj"": 1511.0, ""self_attn.q_proj"": 630.0, ""self_attn.v_proj"": 831.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,332.94285714285706,False,True
llama,base,0,E_if,E_ifeval,0.025,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",1254.0,1254.0,1254.0,0.0,0.0,0.0,"{""mlp.down_proj"": 2031.0, ""mlp.gate_proj"": 709.0, ""mlp.up_proj"": 1670.0, ""self_attn.o_proj"": 1157.0, ""self_attn.v_proj"": 703.0}","{""mlp.down_proj"": 2031.0, ""mlp.gate_proj"": 709.0, ""mlp.up_proj"": 1670.0, ""self_attn.o_proj"": 1157.0, ""self_attn.v_proj"": 703.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,966.7142857142857,966.7142857142857,966.7142857142857,0.0,0.0,0.0,"{""mlp.down_proj"": 2031.0, ""mlp.gate_proj"": 709.0, ""mlp.up_proj"": 1670.0, ""self_attn.k_proj"": 188.0, ""self_attn.o_proj"": 1157.0, ""self_attn.q_proj"": 309.0, ""self_attn.v_proj"": 703.0}","{""mlp.down_proj"": 2031.0, ""mlp.gate_proj"": 709.0, ""mlp.up_proj"": 1670.0, ""self_attn.k_proj"": 188.0, ""self_attn.o_proj"": 1157.0, ""self_attn.q_proj"": 309.0, ""self_attn.v_proj"": 703.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,287.28571428571433,False,True
llama,base,0,E_if,E_ifeval,0.05,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",921.2,921.2,921.2,0.0,0.0,0.0,"{""mlp.down_proj"": 1632.0, ""mlp.gate_proj"": 328.0, ""mlp.up_proj"": 1207.0, ""self_attn.o_proj"": 868.0, ""self_attn.v_proj"": 571.0}","{""mlp.down_proj"": 1632.0, ""mlp.gate_proj"": 328.0, ""mlp.up_proj"": 1207.0, ""self_attn.o_proj"": 868.0, ""self_attn.v_proj"": 571.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,691.2857142857143,691.2857142857143,691.2857142857143,0.0,0.0,0.0,"{""mlp.down_proj"": 1632.0, ""mlp.gate_proj"": 328.0, ""mlp.up_proj"": 1207.0, ""self_attn.k_proj"": 98.0, ""self_attn.o_proj"": 868.0, ""self_attn.q_proj"": 135.0, ""self_attn.v_proj"": 571.0}","{""mlp.down_proj"": 1632.0, ""mlp.gate_proj"": 328.0, ""mlp.up_proj"": 1207.0, ""self_attn.k_proj"": 98.0, ""self_attn.o_proj"": 868.0, ""self_attn.q_proj"": 135.0, ""self_attn.v_proj"": 571.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,229.9142857142857,False,True
llama,base,0,E_if,E_ifeval,0.1,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",592.8,592.8,592.8,0.0,0.0,0.0,"{""mlp.down_proj"": 1166.0, ""mlp.gate_proj"": 96.0, ""mlp.up_proj"": 722.0, ""self_attn.o_proj"": 572.0, ""self_attn.v_proj"": 408.0}","{""mlp.down_proj"": 1166.0, ""mlp.gate_proj"": 96.0, ""mlp.up_proj"": 722.0, ""self_attn.o_proj"": 572.0, ""self_attn.v_proj"": 408.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,435.7142857142857,435.7142857142857,435.7142857142857,0.0,0.0,0.0,"{""mlp.down_proj"": 1166.0, ""mlp.gate_proj"": 96.0, ""mlp.up_proj"": 722.0, ""self_attn.k_proj"": 42.0, ""self_attn.o_proj"": 572.0, ""self_attn.q_proj"": 44.0, ""self_attn.v_proj"": 408.0}","{""mlp.down_proj"": 1166.0, ""mlp.gate_proj"": 96.0, ""mlp.up_proj"": 722.0, ""self_attn.k_proj"": 42.0, ""self_attn.o_proj"": 572.0, ""self_attn.q_proj"": 44.0, ""self_attn.v_proj"": 408.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,157.08571428571423,False,True
llama,base,0,E_math,E_mathHeld,0.01,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",851.6,851.6,851.6,0.0,0.0,0.0,"{""mlp.down_proj"": 1162.0, ""mlp.gate_proj"": 587.0, ""mlp.up_proj"": 1022.0, ""self_attn.o_proj"": 828.0, ""self_attn.v_proj"": 659.0}","{""mlp.down_proj"": 1162.0, ""mlp.gate_proj"": 587.0, ""mlp.up_proj"": 1022.0, ""self_attn.o_proj"": 828.0, ""self_attn.v_proj"": 659.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,701.7142857142857,701.7142857142857,701.7142857142857,0.0,0.0,0.0,"{""mlp.down_proj"": 1162.0, ""mlp.gate_proj"": 587.0, ""mlp.up_proj"": 1022.0, ""self_attn.k_proj"": 263.0, ""self_attn.o_proj"": 828.0, ""self_attn.q_proj"": 391.0, ""self_attn.v_proj"": 659.0}","{""mlp.down_proj"": 1162.0, ""mlp.gate_proj"": 587.0, ""mlp.up_proj"": 1022.0, ""self_attn.k_proj"": 263.0, ""self_attn.o_proj"": 828.0, ""self_attn.q_proj"": 391.0, ""self_attn.v_proj"": 659.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,149.88571428571436,False,True
llama,base,0,E_math,E_mathHeld,0.025,14,5,equal5_non_qk,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",621.6,621.6,621.6,0.0,0.0,0.0,"{""mlp.down_proj"": 912.0, ""mlp.gate_proj"": 322.0, ""mlp.up_proj"": 751.0, ""self_attn.o_proj"": 607.0, ""self_attn.v_proj"": 516.0}","{""mlp.down_proj"": 912.0, ""mlp.gate_proj"": 322.0, ""mlp.up_proj"": 751.0, ""self_attn.o_proj"": 607.0, ""self_attn.v_proj"": 516.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,7,equal7,True,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj",,495.14285714285717,495.14285714285717,495.14285714285717,0.0,0.0,0.0,"{""mlp.down_proj"": 912.0, ""mlp.gate_proj"": 322.0, ""mlp.up_proj"": 751.0, ""self_attn.k_proj"": 150.0, ""self_attn.o_proj"": 607.0, ""self_attn.q_proj"": 208.0, ""self_attn.v_proj"": 516.0}","{""mlp.down_proj"": 912.0, ""mlp.gate_proj"": 322.0, ""mlp.up_proj"": 751.0, ""self_attn.k_proj"": 150.0, ""self_attn.o_proj"": 607.0, ""self_attn.q_proj"": 208.0, ""self_attn.v_proj"": 516.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}","{""mlp.down_proj"": 0.0, ""mlp.gate_proj"": 0.0, ""mlp.up_proj"": 0.0, ""self_attn.k_proj"": 0.0, ""self_attn.o_proj"": 0.0, ""self_attn.q_proj"": 0.0, ""self_attn.v_proj"": 0.0}",0.0,0.0,126.45714285714286,False,True
