model,arm,epsilon,layer,equal5_non_qk,equal7,equal5_minus_equal7_ncd
llama,offkd,0.01,14,16.93107630565904,18.386168604504654,-1.4550922988456136
llama,offkd,0.025,14,18.717177543798414,17.85768120627305,0.8594963375253641
llama,offkd,0.05,14,17.518180050330045,15.110828500279199,2.407351550050846
llama,offkd,0.1,14,14.380929636600115,10.826034604877309,3.554895031722806
llama,opd,0.01,14,82.83920130695242,67.63944782200733,15.199753484945091
llama,opd,0.025,14,85.22433311054064,66.71532012586667,18.509012984673973
llama,opd,0.05,14,77.59400690080858,58.99948889750409,18.594518003304493
llama,opd,0.1,14,63.137271718710196,46.2425308603748,16.894740858335396
llama,seqkd,0.01,14,9.507224703888438,11.848595779631044,-2.3413710757426056
llama,seqkd,0.025,14,11.27358502136908,11.560967953200057,-0.28738293183097774
llama,seqkd,0.05,14,11.093363723449654,9.81316896264534,1.2801947608043136
llama,seqkd,0.1,14,9.811896115832937,7.3073556884797615,2.5045404273531755
llama,sft,0.01,14,39.992888859087245,33.01652915231354,6.976359706773707
llama,sft,0.025,14,42.438136547990986,33.01896196469116,9.419174583299828
llama,sft,0.05,14,39.68312811223838,29.630813524131472,10.052314588106906
llama,sft,0.1,14,33.39208042407891,24.056401000288787,9.335679423790125
qwen,offkd,0.01,18,23.18173113992043,26.348839928584358,-3.1671087886639278
qwen,offkd,0.025,18,28.73293574807879,27.716996585300564,1.0159391627782277
qwen,offkd,0.05,18,31.016733093198944,26.2477930383543,4.768940054844645
qwen,offkd,0.1,18,28.61467995702551,21.79114242477936,6.823537532246149
qwen,opd,0.01,18,39.36047083194974,43.803410760250856,-4.442939928301115
qwen,opd,0.025,18,48.27550985770273,45.8008729010568,2.4746369566459308
qwen,opd,0.05,18,50.42314627881962,42.27775148573161,8.145394793088009
qwen,opd,0.1,18,44.30612275644804,33.60162596995545,10.70449678649259
qwen,seqkd,0.01,18,28.302471916678126,31.608690850753984,-3.306218934075858
qwen,seqkd,0.025,18,35.155473255704386,33.43604524499637,1.7194280107080147
qwen,seqkd,0.05,18,37.79334126104947,31.742698526006656,6.050642735042814
qwen,seqkd,0.1,18,35.18997797516689,26.6786141016129,8.51136387355399
qwen,sft,0.01,18,7.591956224820713,8.217279961169186,-0.6253237363484736
qwen,sft,0.025,18,8.945250550743882,8.295083953854878,0.6501665968890045
qwen,sft,0.05,18,9.554034047077241,7.893631689618923,1.6604023574583184
qwen,sft,0.1,18,8.881472906880573,6.767172228233941,2.1143006786466323
