model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,inner_grid,test_n,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof
llama,cumulative_kl_base_to_current,regression,A,5,0.0001,"[{""inner_mean_mae"": 0.060673313449113205, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03784535853882894, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.039153514109788956, ""regularization"": 0.001}, {""inner_mean_mae"": 0.041651627331537926, ""regularization"": 0.01}, {""inner_mean_mae"": 0.042337778449893566, ""regularization"": 0.1}, {""inner_mean_mae"": 0.04232320816024002, ""regularization"": 1.0}, {""inner_mean_mae"": 0.0450221171890837, ""regularization"": 10.0}, {""inner_mean_mae"": 0.05065495540348955, ""regularization"": 100.0}]",16,-2706.491605152494,0.05056996188474226,0.44117647058823534,,,
llama,cumulative_kl_base_to_current,regression,A,20,1.0,"[{""inner_mean_mae"": 0.09396929933871778, ""regularization"": 0.0}, {""inner_mean_mae"": 0.04976125653901511, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.05070627618807011, ""regularization"": 0.001}, {""inner_mean_mae"": 0.05113038338374748, ""regularization"": 0.01}, {""inner_mean_mae"": 0.048503822850779366, ""regularization"": 0.1}, {""inner_mean_mae"": 0.04602449113398264, ""regularization"": 1.0}, {""inner_mean_mae"": 0.05039752373246309, ""regularization"": 10.0}, {""inner_mean_mae"": 0.05699647237537875, ""regularization"": 100.0}]",16,0.1818562413939404,0.023173688775235964,0.6676470588235294,,,
llama,cumulative_kl_base_to_current,regression,A,40,1.0,"[{""inner_mean_mae"": 0.06242116115999589, ""regularization"": 0.0}, {""inner_mean_mae"": 0.045629753190452926, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.04544298540381695, ""regularization"": 0.001}, {""inner_mean_mae"": 0.044747366667119794, ""regularization"": 0.01}, {""inner_mean_mae"": 0.043006922916376734, ""regularization"": 0.1}, {""inner_mean_mae"": 0.040778342123331784, ""regularization"": 1.0}, {""inner_mean_mae"": 0.044390279910048076, ""regularization"": 10.0}, {""inner_mean_mae"": 0.05305256725866867, ""regularization"": 100.0}]",16,0.1863265285884228,0.0336537293348895,0.5147058823529412,,,
llama,cumulative_kl_base_to_current,regression,A,160,1.0,"[{""inner_mean_mae"": 0.03844392884695049, ""regularization"": 0.0}, {""inner_mean_mae"": 0.031143185601489935, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.03137774742792095, ""regularization"": 0.001}, {""inner_mean_mae"": 0.03148773653648182, ""regularization"": 0.01}, {""inner_mean_mae"": 0.030288120329126967, ""regularization"": 0.1}, {""inner_mean_mae"": 0.02839160228232802, ""regularization"": 1.0}, {""inner_mean_mae"": 0.02975790389949769, ""regularization"": 10.0}, {""inner_mean_mae"": 0.03400848612762435, ""regularization"": 100.0}]",16,-0.14507439417163526,0.059684630621537976,0.27058823529411763,,,
llama,cumulative_kl_base_to_current,regression,C5,5,0.1,"[{""inner_mean_mae"": 0.029320084030696983, ""regularization"": 0.0}, {""inner_mean_mae"": 0.029320079629505433, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.02932004002001931, ""regularization"": 0.001}, {""inner_mean_mae"": 0.029319644047661592, ""regularization"": 0.01}, {""inner_mean_mae"": 0.029319353832580136, ""regularization"": 0.1}, {""inner_mean_mae"": 0.029355697813365746, ""regularization"": 1.0}, {""inner_mean_mae"": 0.03113136027428023, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04473320154675652, ""regularization"": 100.0}]",16,-60.26511161978861,0.006762992339715948,0.31176470588235294,,,
llama,cumulative_kl_base_to_current,regression,C5,20,0.0,"[{""inner_mean_mae"": 0.023578064192138887, ""regularization"": 0.0}, {""inner_mean_mae"": 0.02357813007728665, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.023578723025086904, ""regularization"": 0.001}, {""inner_mean_mae"": 0.023584650669230284, ""regularization"": 0.01}, {""inner_mean_mae"": 0.023643744295470948, ""regularization"": 0.1}, {""inner_mean_mae"": 0.024232850521003612, ""regularization"": 1.0}, {""inner_mean_mae"": 0.029795279626933197, ""regularization"": 10.0}, {""inner_mean_mae"": 0.048592544905792734, ""regularization"": 100.0}]",16,0.2410866717339054,0.02384905111589597,0.8147058823529412,,,
llama,cumulative_kl_base_to_current,regression,C5,40,0.0,"[{""inner_mean_mae"": 0.027551228859249637, ""regularization"": 0.0}, {""inner_mean_mae"": 0.02755123418670533, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.027551282132308216, ""regularization"": 0.001}, {""inner_mean_mae"": 0.02755176144005175, ""regularization"": 0.01}, {""inner_mean_mae"": 0.027556539735098678, ""regularization"": 0.1}, {""inner_mean_mae"": 0.027645689103547033, ""regularization"": 1.0}, {""inner_mean_mae"": 0.030871622841108236, ""regularization"": 10.0}, {""inner_mean_mae"": 0.04925825939758207, ""regularization"": 100.0}]",16,0.8636743514150027,0.017577786965041767,0.8588235294117647,,,
llama,cumulative_kl_base_to_current,regression,C5,160,1.0,"[{""inner_mean_mae"": 0.01683529067164722, ""regularization"": 0.0}, {""inner_mean_mae"": 0.0168352742791239, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.016835126751024228, ""regularization"": 0.001}, {""inner_mean_mae"": 0.01683365192630002, ""regularization"": 0.01}, {""inner_mean_mae"": 0.016818949164306433, ""regularization"": 0.1}, {""inner_mean_mae"": 0.01667633237296863, ""regularization"": 1.0}, {""inner_mean_mae"": 0.017532500912585156, ""regularization"": 10.0}, {""inner_mean_mae"": 0.029354543754701073, ""regularization"": 100.0}]",16,0.5230476218890647,0.045965658862495054,0.6147058823529412,,,
llama,cumulative_kl_base_to_current,regression,Pk5,5,0.1,"[{""inner_mean_mae"": 0.03470780342418989, ""regularization"": 0.0}, {""inner_mean_mae"": 0.03469153343732758, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.03454705552482254, ""regularization"": 0.001}, {""inner_mean_mae"": 0.03347176579756393, ""regularization"": 0.01}, {""inner_mean_mae"": 0.031329645222105316, ""regularization"": 0.1}, {""inner_mean_mae"": 0.038315418356381775, ""regularization"": 1.0}, {""inner_mean_mae"": 0.0429501959705785, ""regularization"": 10.0}, {""inner_mean_mae"": 0.044205934388889895, ""regularization"": 100.0}]",16,-6916.410283652191,0.07669653101819765,0.7276068751089989,,,
llama,cumulative_kl_base_to_current,regression,Pk5,20,1.0,"[{""inner_mean_mae"": 0.043602857972631366, ""regularization"": 0.0}, {""inner_mean_mae"": 0.04359733261682438, ""regularization"": 0.0001}, {""inner_mean_mae"": 0.043547693795091526, ""regularization"": 0.001}, {""inner_mean_mae"": 0.04305999241888455, ""regularization"": 0.01}, {""inner_mean_mae"": 0.038947963279076264, ""regularization"": 0.1}, {""inner_mean_mae"": 0.027046404056862428, ""regularization"": 1.0}, {""inner_mean_mae"": 0.03127028036592341, ""regularization"": 10.0}, {""inner_mean_mae"": 0.041409255346452296, ""regularization"": 100.0}]",16,-3.236268924893066,0.049121392382155564,0.5214515938281159,,,
