association_type,aggregation,model,arm,epsilon,feature,target,n_cells,pearson,spearman
within_model_arm,equal5_non_qk,llama,offkd,0.01,c_equal5,cumulative_kl_base_to_current,24,0.835443284257745,0.8810611210672619
within_model_arm,equal5_non_qk,llama,offkd,0.01,c_equal5,absolute_delta_nll_cumulative,24,0.7939444323138182,0.8084366357670483
within_model_arm,equal5_non_qk,llama,offkd,0.01,c_equal5,delta_nll_cumulative,24,-0.3717766346151141,-0.3744292325957119
within_model_arm,equal5_non_qk,llama,offkd,0.025,c_equal5,cumulative_kl_base_to_current,24,0.816781974517102,0.8539130434782608
within_model_arm,equal5_non_qk,llama,offkd,0.025,c_equal5,absolute_delta_nll_cumulative,24,0.7721849278484169,0.7608695652173912
within_model_arm,equal5_non_qk,llama,offkd,0.025,c_equal5,delta_nll_cumulative,24,-0.24593427447918093,-0.34956521739130436
within_model_arm,equal5_non_qk,llama,offkd,0.05,c_equal5,cumulative_kl_base_to_current,24,0.8098030057997293,0.8906284185319606
within_model_arm,equal5_non_qk,llama,offkd,0.05,c_equal5,absolute_delta_nll_cumulative,24,0.7693209033770525,0.8075668814520758
within_model_arm,equal5_non_qk,llama,offkd,0.05,c_equal5,delta_nll_cumulative,24,-0.18300746756405442,-0.2500543655546276
within_model_arm,equal5_non_qk,llama,offkd,0.1,c_equal5,cumulative_kl_base_to_current,24,0.8147255790048047,0.8723635779175358
within_model_arm,equal5_non_qk,llama,offkd,0.1,c_equal5,absolute_delta_nll_cumulative,24,0.7741253736097106,0.7919113037825687
within_model_arm,equal5_non_qk,llama,offkd,0.1,c_equal5,delta_nll_cumulative,24,-0.21192593196697243,-0.2648401889091621
within_model_arm,equal5_non_qk,llama,opd,0.01,c_equal5,cumulative_kl_base_to_current,24,0.9452154825357206,0.9417391304347826
within_model_arm,equal5_non_qk,llama,opd,0.01,c_equal5,absolute_delta_nll_cumulative,24,0.9502238176292882,0.9452173913043478
within_model_arm,equal5_non_qk,llama,opd,0.01,c_equal5,delta_nll_cumulative,24,0.8073428951578063,0.8104347826086956
within_model_arm,equal5_non_qk,llama,opd,0.025,c_equal5,cumulative_kl_base_to_current,24,0.9412386338486292,0.9417391304347826
within_model_arm,equal5_non_qk,llama,opd,0.025,c_equal5,absolute_delta_nll_cumulative,24,0.9555576993991503,0.9399999999999998
within_model_arm,equal5_non_qk,llama,opd,0.025,c_equal5,delta_nll_cumulative,24,0.8260161060630966,0.8313043478260868
within_model_arm,equal5_non_qk,llama,opd,0.05,c_equal5,cumulative_kl_base_to_current,24,0.92642818648431,0.946086956521739
within_model_arm,equal5_non_qk,llama,opd,0.05,c_equal5,absolute_delta_nll_cumulative,24,0.9516856165079537,0.9539130434782607
within_model_arm,equal5_non_qk,llama,opd,0.05,c_equal5,delta_nll_cumulative,24,0.8213351569280383,0.8443478260869565
within_model_arm,equal5_non_qk,llama,opd,0.1,c_equal5,cumulative_kl_base_to_current,24,0.9151656715711839,0.9217391304347825
within_model_arm,equal5_non_qk,llama,opd,0.1,c_equal5,absolute_delta_nll_cumulative,24,0.9439906756506327,0.9269565217391305
within_model_arm,equal5_non_qk,llama,opd,0.1,c_equal5,delta_nll_cumulative,24,0.8147093948082308,0.826086956521739
within_model_arm,equal5_non_qk,llama,seqkd,0.01,c_equal5,cumulative_kl_base_to_current,24,0.5812364847418766,0.5834782608695652
within_model_arm,equal5_non_qk,llama,seqkd,0.01,c_equal5,absolute_delta_nll_cumulative,24,0.5683566233413494,0.5208695652173913
within_model_arm,equal5_non_qk,llama,seqkd,0.01,c_equal5,delta_nll_cumulative,24,-0.039241834969251384,-0.10782608695652172
within_model_arm,equal5_non_qk,llama,seqkd,0.025,c_equal5,cumulative_kl_base_to_current,24,0.5783389058877078,0.5895652173913043
within_model_arm,equal5_non_qk,llama,seqkd,0.025,c_equal5,absolute_delta_nll_cumulative,24,0.5761322835145999,0.5295652173913042
within_model_arm,equal5_non_qk,llama,seqkd,0.025,c_equal5,delta_nll_cumulative,24,0.023945275928915145,-0.07913043478260869
within_model_arm,equal5_non_qk,llama,seqkd,0.05,c_equal5,cumulative_kl_base_to_current,24,0.6074340956525124,0.6799999999999999
within_model_arm,equal5_non_qk,llama,seqkd,0.05,c_equal5,absolute_delta_nll_cumulative,24,0.6113603687591994,0.6191304347826087
within_model_arm,equal5_non_qk,llama,seqkd,0.05,c_equal5,delta_nll_cumulative,24,0.07516671307480824,-0.03304347826086956
within_model_arm,equal5_non_qk,llama,seqkd,0.1,c_equal5,cumulative_kl_base_to_current,24,0.6220000864309667,0.7026086956521739
within_model_arm,equal5_non_qk,llama,seqkd,0.1,c_equal5,absolute_delta_nll_cumulative,24,0.6186989196931519,0.6278260869565216
within_model_arm,equal5_non_qk,llama,seqkd,0.1,c_equal5,delta_nll_cumulative,24,0.025912535028829,-0.04608695652173912
within_model_arm,equal5_non_qk,llama,sft,0.01,c_equal5,cumulative_kl_base_to_current,24,0.9599751568794899,0.9504347826086955
within_model_arm,equal5_non_qk,llama,sft,0.01,c_equal5,absolute_delta_nll_cumulative,24,0.8832150520624235,0.9086956521739129
within_model_arm,equal5_non_qk,llama,sft,0.01,c_equal5,delta_nll_cumulative,24,0.16103402128981115,0.09304347826086956
within_model_arm,equal5_non_qk,llama,sft,0.025,c_equal5,cumulative_kl_base_to_current,24,0.9696540034217395,0.9521739130434782
within_model_arm,equal5_non_qk,llama,sft,0.025,c_equal5,absolute_delta_nll_cumulative,24,0.8951459827461081,0.9008695652173913
within_model_arm,equal5_non_qk,llama,sft,0.025,c_equal5,delta_nll_cumulative,24,0.22150612075941228,0.09478260869565217
within_model_arm,equal5_non_qk,llama,sft,0.05,c_equal5,cumulative_kl_base_to_current,24,0.9682744989331237,0.957391304347826
within_model_arm,equal5_non_qk,llama,sft,0.05,c_equal5,absolute_delta_nll_cumulative,24,0.8993154986277185,0.9069565217391303
within_model_arm,equal5_non_qk,llama,sft,0.05,c_equal5,delta_nll_cumulative,24,0.270816353316241,0.14782608695652172
within_model_arm,equal5_non_qk,llama,sft,0.1,c_equal5,cumulative_kl_base_to_current,24,0.9593378095157464,0.9530434782608694
within_model_arm,equal5_non_qk,llama,sft,0.1,c_equal5,absolute_delta_nll_cumulative,24,0.8838887497987674,0.9008695652173913
within_model_arm,equal5_non_qk,llama,sft,0.1,c_equal5,delta_nll_cumulative,24,0.2673714560837136,0.15826086956521737
within_model_arm,equal5_non_qk,qwen,offkd,0.01,c_equal5,cumulative_kl_base_to_current,72,0.8228307171851121,0.8187902187902186
within_model_arm,equal5_non_qk,qwen,offkd,0.01,c_equal5,absolute_delta_nll_cumulative,72,0.8001196722628269,0.7637065637065636
within_model_arm,equal5_non_qk,qwen,offkd,0.01,c_equal5,delta_nll_cumulative,72,0.7360523919691014,0.8015444015444013
within_model_arm,equal5_non_qk,qwen,offkd,0.025,c_equal5,cumulative_kl_base_to_current,72,0.831523196630873,0.8138996138996138
within_model_arm,equal5_non_qk,qwen,offkd,0.025,c_equal5,absolute_delta_nll_cumulative,72,0.8091781495775402,0.7585585585585585
within_model_arm,equal5_non_qk,qwen,offkd,0.025,c_equal5,delta_nll_cumulative,72,0.7452961727292899,0.8149292149292148
within_model_arm,equal5_non_qk,qwen,offkd,0.05,c_equal5,cumulative_kl_base_to_current,72,0.829209256992613,0.8198198198198198
