analysis,model,arm,checkpoint,probe_name,artifact_probe_name,layer,module_count,stable_rank_contraction_equal5,entropy_effective_rank_contraction_equal5,source_status,epsilon,uncentered_r_epsilon_contraction_equal5,centered_r_epsilon_contraction_equal5,centered_minus_uncentered_equal5,centered_opd_contraction_equal5,centered_nearest_offline_contraction_equal5,centered_opd_minus_nearest_offline_margin,OPD_strict_deepest,nearest_offline_arm,reason
RR2S_uncentered_continuous_spectrum,llama,base,0.0,E_general,E_general,14.0,5.0,,,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,base,0.0,E_ifeval,E_if,14.0,5.0,,,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,base,0.0,E_mathHeld,E_math,14.0,5.0,,,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,base,0.0,E_mmluPro,E_ood,14.0,5.0,,,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,20.0,E_general,E_general,14.0,5.0,0.06101937134171929,0.3563094863369251,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,20.0,E_ifeval,E_if,14.0,5.0,0.057364838836665544,5.765452346892144,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,20.0,E_mathHeld,E_math,14.0,5.0,0.0272152610261988,0.5434731065188785,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,20.0,E_mmluPro,E_ood,14.0,5.0,0.05507105938474295,1.8757322810974884,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,40.0,E_general,E_general,14.0,5.0,0.07247678271414341,0.1561112369133152,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,40.0,E_ifeval,E_if,14.0,5.0,0.03163801535791132,4.858919579324531,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,40.0,E_mathHeld,E_math,14.0,5.0,0.04750163016239034,0.6106160255634123,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,40.0,E_mmluPro,E_ood,14.0,5.0,0.10514657631986686,3.338689315212568,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,80.0,E_general,E_general,14.0,5.0,0.13150389590006673,1.113507534966022,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,80.0,E_ifeval,E_if,14.0,5.0,0.09163049178856544,7.058860653851025,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,80.0,E_mathHeld,E_math,14.0,5.0,0.15542564580694354,2.7588263053048436,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,offkd,80.0,E_mmluPro,E_ood,14.0,5.0,0.20706493255516917,6.981280589286875,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,opd,20.0,E_general,E_general,14.0,5.0,0.6987680784751813,15.787263582706725,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,opd,20.0,E_ifeval,E_if,14.0,5.0,0.4201980427468386,18.348986907967593,READY_REUSE_MODULE_ROWS,,,,,,,,,,
RR2S_uncentered_continuous_spectrum,llama,opd,20.0,E_mathHeld,E_math,14.0,5.0,0.5963245745035739,12.506011749058132,READY_REUSE_MODULE_ROWS,,,,,,,,,,
