model,arm,checkpoint,layer,probe_name,epsilon,raw_weight_energy,whitened_update_energy_current,whitened_update_energy_fixed,activation_exposure_ratio,module_count,metric_family,source_key,aggregation,included_modules,excluded_modules,family,step,k,rank_spec_kind,p_k,source_rank_k,mask_density_alpha,random_null_rank,coverage,overlap_lift,overlap_lift_minus_random_null,update_density,angle_k,theta_u_mean_deg,theta_u_max_deg,theta_v_mean_deg,theta_v_max_deg,pabs_mean_cos_u,pabs_mean_cos_v,pabs_joint_mean_cos,nss_l1_top32,nss_l2_top32,headline_layer,pabs_joint_mean_cos_k32,theta_u_mean_deg_k32,theta_v_mean_deg_k32,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,z_tpnt,source_status,reason
llama,offkd,5.0,14.0,E_general,0.01,0.0031994838267564198,0.0003271150138970892,0.0003267223662987516,1.0019344675856439,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_general,0.025,0.0031994838267564198,0.0003271150138970892,0.0003267223662987516,1.0019344675856439,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_general,0.05,0.0031994838267564198,0.0003271150138970892,0.0003267223662987516,1.0019344675856439,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_general,0.1,0.0031994838267564198,0.0003271150138970892,0.0003267223662987516,1.0019344675856439,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_if,0.01,0.0031994838267564198,0.0003616500263888056,0.0003596838410885123,1.0062546273139052,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_if,0.025,0.0031994838267564198,0.0003616500263888056,0.0003596838410885123,1.0062546273139052,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_if,0.05,0.0031994838267564198,0.0003616500263888056,0.0003596838410885123,1.0062546273139052,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_if,0.1,0.0031994838267564198,0.0003616500263888056,0.0003596838410885123,1.0062546273139052,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_math,0.01,0.0031994838267564198,0.0004943920284858524,0.0004952356977809991,1.0001401116366808,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llama,offkd,5.0,14.0,E_math,0.025,0.0031994838267564198,0.0004943920284858524,0.0004952356977809991,1.0001401116366808,5.0,update_energy_activation_exposure,d5_fairness_update_module,equal5_non_qk,"self_attn.v_proj,self_attn.o_proj,mlp.gate_proj,mlp.up_proj,mlp.down_proj","self_attn.q_proj,self_attn.k_proj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
