WS_matmul_dtype,activation_exposure_ratio,arm,checkpoint,checkpoint_storage_dtype,epsilon,gram_and_whitening_dtype,layer,model,module,probe_name,raw_weight_energy,sample_count,sample_ids_sha256,subtraction_dtype,weight_object,whitened_update_energy_current,whitened_update_energy_fixed,window_protocol,metric_family,source_key,aggregation,family,step,rank_fraction,k,rank_spec_kind,p_k,delta_construction,native_source,checkpoint_materialization,source_svd_dtype,projection_dtype,base_tensor_sha256,checkpoint_tensor_sha256,checkpoint_root,source_rank_k,mask_density_alpha,principal_top_count,update_count,total_entries,update_density,overlap_count,coverage,overlap_lift,random_null_type,random_null_rank,random_null_seeds,random_null_overlap_lift_mean,random_null_overlap_lift_std,overlap_lift_minus_random_null,angle_k,theta_u_mean_deg,theta_u_max_deg,theta_v_mean_deg,theta_v_max_deg,pabs_mean_cos_u,pabs_mean_cos_v,pabs_joint_mean_cos,theta_u_all_deg_json,theta_v_all_deg_json,nss_l1_top32,nss_l2_top32,source_normalized_spectrum_top32_json,checkpoint_normalized_spectrum_top32_json,nss_formula,headline_layer,pabs_joint_mean_cos_k32,theta_u_mean_deg_k32,theta_v_mean_deg_k32,real_overlap_lift,null_overlap_lift_mean,null_overlap_lift_std,null_update_count_mean,delta_singular_values_used,z_tpnt,spectrum_null_seeds
fp32,0.9991173920383356,offkd,5,bf16_safetensors_on_disk,0.01,fp64_eigh_clamp_nonnegative,14,llama,self_attn.v_proj,E_general,0.0009411313803866,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,0.0003593058791011,0.0003596232854761,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,0.9991173920383356,offkd,5,bf16_safetensors_on_disk,0.025,fp64_eigh_clamp_nonnegative,14,llama,self_attn.v_proj,E_general,0.0009411313803866,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,0.0003593058791011,0.0003596232854761,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,0.9991173920383356,offkd,5,bf16_safetensors_on_disk,0.05,fp64_eigh_clamp_nonnegative,14,llama,self_attn.v_proj,E_general,0.0009411313803866,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,0.0003593058791011,0.0003596232854761,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,0.9991173920383356,offkd,5,bf16_safetensors_on_disk,0.1,fp64_eigh_clamp_nonnegative,14,llama,self_attn.v_proj,E_general,0.0009411313803866,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,0.0003593058791011,0.0003596232854761,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,1.0045853560780769,offkd,5,bf16_safetensors_on_disk,0.01,fp64_eigh_clamp_nonnegative,14,llama,self_attn.o_proj,E_general,0.0026198639534413,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,3.2972278859233484e-05,3.2821779313962907e-05,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,1.0045853560780769,offkd,5,bf16_safetensors_on_disk,0.025,fp64_eigh_clamp_nonnegative,14,llama,self_attn.o_proj,E_general,0.0026198639534413,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,3.2972278859233484e-05,3.2821779313962907e-05,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,1.0045853560780769,offkd,5,bf16_safetensors_on_disk,0.05,fp64_eigh_clamp_nonnegative,14,llama,self_attn.o_proj,E_general,0.0026198639534413,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,3.2972278859233484e-05,3.2821779313962907e-05,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,1.0045853560780769,offkd,5,bf16_safetensors_on_disk,0.1,fp64_eigh_clamp_nonnegative,14,llama,self_attn.o_proj,E_general,0.0026198639534413,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,3.2972278859233484e-05,3.2821779313962907e-05,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,0.9980051753524972,offkd,5,bf16_safetensors_on_disk,0.01,fp64_eigh_clamp_nonnegative,14,llama,mlp.gate_proj,E_general,0.0049201282672584,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,0.0005377507768571,0.0005388256395235,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp32,0.9980051753524972,offkd,5,bf16_safetensors_on_disk,0.025,fp64_eigh_clamp_nonnegative,14,llama,mlp.gate_proj,E_general,0.0049201282672584,128.0,8c16d7454dcb8d00841b2156becf5b72118a5ea01eaca8ee1722f451b5e1c08e,fp32,serialized_merged_bf16_effective_difference,0.0005377507768571,0.0005388256395235,v2_three_level_equal_sample,update_energy_activation_exposure,d5_fairness_update_module,module_rows_non_qk_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
