model,domain,feature,target,n,pearson,spearman,demean_unit
llama,math,c_equal5,abs_delta_nll_b,24,0.5216079968066999,0.6895652173913043,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,abs_delta_nll_c,24,0.9094657748173302,0.8869565217391304,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,abs_delta_nll_t,24,0.9425756210386302,0.9330434782608694,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,delta_nll_b,24,0.16336701522178507,0.1443478260869565,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,delta_nll_b_minus_c,24,-0.37292452578712043,-0.29565217391304344,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,delta_nll_b_minus_p,24,-0.26052557866362197,-0.2782608695652174,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,delta_nll_c,24,0.9169600407498268,0.8878260869565217,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,delta_nll_p,24,0.900509006522544,0.8678260869565216,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,delta_nll_t,24,0.9285499364500275,0.9269565217391305,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,kl_b,24,0.938998295937857,0.9017391304347826,model_domain_checkpoint_four_arm_mean
llama,math,c_equal5,kl_t,24,0.948465687738752,0.9382608695652173,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,abs_delta_nll_b,24,0.24562217282496998,0.47478260869565214,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,abs_delta_nll_c,24,0.900930823882152,0.7852173913043478,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,abs_delta_nll_t,24,0.7133424826302839,0.6913043478260869,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,delta_nll_b,24,-0.14227987707663461,-0.08782608695652173,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,delta_nll_b_minus_c,24,-0.6012359148688591,-0.47043478260869553,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,delta_nll_b_minus_p,24,-0.49891402558747544,-0.44695652173913036,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,delta_nll_c,24,0.8992245095929281,0.7843478260869564,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,delta_nll_p,24,0.8698905414128063,0.76,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,delta_nll_t,24,0.6966018346588114,0.6921739130434782,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,kl_b,24,0.9073748366814779,0.8313043478260868,model_domain_checkpoint_four_arm_mean
llama,math,p16_equal5,kl_t,24,0.7338577790215598,0.786086956521739,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,abs_delta_nll_b,24,0.29028901397998313,0.6443478260869565,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,abs_delta_nll_c,24,0.9521309005694704,0.8660869565217391,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,abs_delta_nll_t,24,0.7979477167865385,0.7782608695652173,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,delta_nll_b,24,-0.09414088423134408,0.11739130434782606,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,delta_nll_b_minus_c,24,-0.5920597449246546,-0.308695652173913,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,delta_nll_b_minus_p,24,-0.48929769172584964,-0.28521739130434776,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,delta_nll_c,24,0.9511225357956085,0.8582608695652173,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,delta_nll_p,24,0.9383658402349648,0.8573913043478261,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,delta_nll_t,24,0.7822221822669075,0.7721739130434783,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,kl_b,24,0.9256767087796102,0.9208695652173912,model_domain_checkpoint_four_arm_mean
llama,math,p32_equal5,kl_t,24,0.8107712736853427,0.8347826086956521,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,abs_delta_nll_b,24,0.42250943272210967,0.5704347826086955,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,abs_delta_nll_c,24,0.4850196483587923,0.537391304347826,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,abs_delta_nll_t,24,0.5822518085595434,0.528695652173913,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,delta_nll_b,24,0.22237190533297338,0.2826086956521739,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,delta_nll_b_minus_c,24,-0.09708544016757707,0.019130434782608695,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,delta_nll_b_minus_p,24,-0.02799858966139731,0.03304347826086956,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,delta_nll_c,24,0.4954550550420141,0.5313043478260869,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,delta_nll_p,24,0.4813619777458193,0.5191304347826087,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,delta_nll_t,24,0.5704817599196128,0.5278260869565217,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,kl_b,24,0.5722411655811087,0.706086956521739,model_domain_checkpoint_four_arm_mean
llama,math,p4_equal5,kl_t,24,0.6094850093407457,0.5869565217391304,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,abs_delta_nll_b,24,0.5706866949362057,0.7139130434782608,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,abs_delta_nll_c,24,0.7071488800268526,0.7904347826086956,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,abs_delta_nll_t,24,0.7759911486091263,0.7695652173913042,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,delta_nll_b,24,0.2521529253743457,0.2478260869565217,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,delta_nll_b_minus_c,24,-0.1949565079899531,-0.1434782608695652,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,delta_nll_b_minus_p,24,-0.08586735396281872,-0.11913043478260868,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,delta_nll_c,24,0.7174121346342143,0.7869565217391304,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,delta_nll_p,24,0.6691683662757953,0.7539130434782607,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,delta_nll_t,24,0.7620138640614492,0.7704347826086956,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,kl_b,24,0.870160482692965,0.9130434782608695,model_domain_checkpoint_four_arm_mean
llama,math,p8_equal5,kl_t,24,0.8000468609655145,0.8382608695652173,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,abs_delta_nll_a,24,0.9474427505591384,0.8460869565217389,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,abs_delta_nll_f,24,0.8825830741216092,0.6295652173913043,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,abs_delta_nll_t,24,0.5798501711905356,0.7965217391304347,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,delta_nll_a,24,0.9205960905578929,0.8217391304347826,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,delta_nll_f,24,0.7995656225376087,0.49999999999999994,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,delta_nll_f_minus_a,24,0.6815756348192425,0.3678260869565217,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,delta_nll_f_minus_p,24,0.7538562678889725,0.47130434782608693,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,delta_nll_p,24,0.8683798267212416,0.5756521739130435,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,delta_nll_t,24,0.6192886945786764,0.7878260869565217,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,kl_a,24,0.9267824336753254,0.826086956521739,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,kl_f,24,0.9794598031521186,0.96,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,kl_f_minus_a,24,0.8906941448139731,0.9295652173913044,model_domain_checkpoint_four_arm_mean
llama,mmlu,c_equal5,kl_t,24,0.5887385148539467,0.8234782608695651,model_domain_checkpoint_four_arm_mean
