model,domain,arm,feature,target,epsilon,n,pearson,spearman
llama,math,offkd,c_equal5,delta_nll_p,0.01,6,0.33151161055788336,0.028571428571428574
llama,math,offkd,c_equal5,delta_nll_p,0.025,6,0.41056183837734467,0.028571428571428574
llama,math,offkd,c_equal5,delta_nll_p,0.05,6,0.3476667367267267,0.028571428571428574
llama,math,offkd,c_equal5,delta_nll_p,0.1,6,0.3872275218597507,0.028571428571428574
llama,math,offkd,c_equal5,delta_nll_c,0.01,6,0.6880275558283387,0.8285714285714287
llama,math,offkd,c_equal5,delta_nll_c,0.025,6,0.7028126432720982,0.8285714285714287
llama,math,offkd,c_equal5,delta_nll_c,0.05,6,0.7012392796058324,0.8285714285714287
llama,math,offkd,c_equal5,delta_nll_c,0.1,6,0.7601681245168161,0.8285714285714287
llama,math,offkd,c_equal5,delta_nll_b,0.01,6,-0.0416463594229976,-0.2571428571428572
llama,math,offkd,c_equal5,delta_nll_b,0.025,6,-0.11952566421606214,-0.2571428571428572
llama,math,offkd,c_equal5,delta_nll_b,0.05,6,-0.07730167391924185,-0.2571428571428572
llama,math,offkd,c_equal5,delta_nll_b,0.1,6,-0.13924606904355943,-0.2571428571428572
llama,math,offkd,c_equal5,delta_nll_t,0.01,6,0.6674293992504639,0.7142857142857143
llama,math,offkd,c_equal5,delta_nll_t,0.025,6,0.7286622821673704,0.7142857142857143
llama,math,offkd,c_equal5,delta_nll_t,0.05,6,0.7016384039338174,0.7142857142857143
llama,math,offkd,c_equal5,delta_nll_t,0.1,6,0.7518025162033708,0.7142857142857143
llama,math,offkd,c_equal5,kl_b,0.01,6,0.8370881467720038,0.942857142857143
llama,math,offkd,c_equal5,kl_b,0.025,6,0.8735275115597483,0.942857142857143
llama,math,offkd,c_equal5,kl_b,0.05,6,0.8328770336196318,0.942857142857143
llama,math,offkd,c_equal5,kl_b,0.1,6,0.9144073196074777,0.942857142857143
llama,math,offkd,c_equal5,kl_t,0.01,6,0.7940655773259138,0.942857142857143
llama,math,offkd,c_equal5,kl_t,0.025,6,0.8338814861174575,0.942857142857143
llama,math,offkd,c_equal5,kl_t,0.05,6,0.788630184640696,0.942857142857143
llama,math,offkd,c_equal5,kl_t,0.1,6,0.876699354430867,0.942857142857143
llama,math,offkd,c_equal5,abs_delta_nll_c,0.01,6,0.8469684471723795,0.942857142857143
