model,domain,target,feature_block,heldout_checkpoint,fold_r2,fold_mae,fold_spearman,selected_alpha,n_test_rows,feature_columns,candidate,baseline,foldwise_wins_by_MAE,n_common_folds
llama,math,delta_nll_p,C-only,5.0,-22.475353295963238,0.02711140600066584,0.19999999999999998,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only,20.0,0.8970332982888897,0.016247290179756034,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only,40.0,0.8993990240327588,0.024472974821028226,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only,80.0,0.7248939528722209,0.05028500567928089,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only,160.0,0.7420276820691989,0.04487878166242227,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only,320.0,0.7244923577386162,0.042854188678582567,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only-matched,5.0,-22.475353295963238,0.02711140600066584,0.19999999999999998,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only-matched,20.0,0.8970332982888897,0.016247290179756034,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only-matched,40.0,0.8993990240327588,0.024472974821028226,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only-matched,80.0,0.7248939528722209,0.05028500567928089,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only-matched,160.0,0.7420276820691989,0.04487878166242227,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,C-only-matched,320.0,0.7244923577386162,0.042854188678582567,0.7999999999999999,1.0,4.0,intercept|c_equal5,,,,
llama,math,delta_nll_p,Pk4-only,5.0,-13.917093119578725,0.02135043222293733,0.39999999999999997,0.0,4.0,intercept|p4_equal5,,,,
llama,math,delta_nll_p,Pk4-only,20.0,0.311936908718765,0.04245699735264796,0.39999999999999997,1.0,4.0,intercept|p4_equal5,,,,
llama,math,delta_nll_p,Pk4-only,40.0,0.1992764250714144,0.06252982616733672,0.7999999999999999,1.0,4.0,intercept|p4_equal5,,,,
llama,math,delta_nll_p,Pk4-only,80.0,-0.026658338409832893,0.08257124492316806,0.7999999999999999,1.0,4.0,intercept|p4_equal5,,,,
llama,math,delta_nll_p,Pk4-only,160.0,-0.07529404294387798,0.09682880322247932,0.39999999999999997,10.0,4.0,intercept|p4_equal5,,,,
llama,math,delta_nll_p,Pk4-only,320.0,0.5768127516262714,0.0643826194229286,0.7999999999999999,1.0,4.0,intercept|p4_equal5,,,,
llama,math,delta_nll_p,Pk8-only,5.0,-13.23494852289124,0.020739522504602294,0.19999999999999998,0.0,4.0,intercept|p8_equal5,,,,
llama,math,delta_nll_p,Pk8-only,20.0,0.6253018419065884,0.03633022639139392,0.39999999999999997,0.0,4.0,intercept|p8_equal5,,,,
llama,math,delta_nll_p,Pk8-only,40.0,0.5945865273380356,0.04190628009912939,0.7999999999999999,1.0,4.0,intercept|p8_equal5,,,,
llama,math,delta_nll_p,Pk8-only,80.0,0.2628667746124369,0.06607406748891546,1.0,1.0,4.0,intercept|p8_equal5,,,,
llama,math,delta_nll_p,Pk8-only,160.0,0.0413706874326456,0.09125932413865862,0.7999999999999999,10.0,4.0,intercept|p8_equal5,,,,
llama,math,delta_nll_p,Pk8-only,320.0,0.5109111573033494,0.06879700195443018,0.7999999999999999,10.0,4.0,intercept|p8_equal5,,,,
llama,math,delta_nll_p,Pk16-only,5.0,-35.154565340973804,0.030309888143843597,-0.39999999999999997,1.0,4.0,intercept|p16_equal5,,,,
llama,math,delta_nll_p,Pk16-only,20.0,0.4495344925669795,0.04000610933799887,0.19999999999999998,10.0,4.0,intercept|p16_equal5,,,,
llama,math,delta_nll_p,Pk16-only,40.0,0.7103046174403345,0.04152184888435627,0.39999999999999997,10.0,4.0,intercept|p16_equal5,,,,
llama,math,delta_nll_p,Pk16-only,80.0,0.5163085570296508,0.05294558984609145,1.0,10.0,4.0,intercept|p16_equal5,,,,
llama,math,delta_nll_p,Pk16-only,160.0,0.4481470925384107,0.06649036487063345,0.7999999999999999,10.0,4.0,intercept|p16_equal5,,,,
llama,math,delta_nll_p,Pk16-only,320.0,0.5709796368220956,0.06196991821879433,0.7999999999999999,10.0,4.0,intercept|p16_equal5,,,,
llama,math,delta_nll_p,Pk32-only,5.0,-138.76867651344904,0.060483300592546,1.0,1.0,4.0,intercept|p32_equal5,,,,
llama,math,delta_nll_p,Pk32-only,20.0,0.4988582971527279,0.03550168176437191,0.19999999999999998,1.0,4.0,intercept|p32_equal5,,,,
llama,math,delta_nll_p,Pk32-only,40.0,0.7894207387486742,0.033162377660229427,1.0,10.0,4.0,intercept|p32_equal5,,,,
llama,math,delta_nll_p,Pk32-only,80.0,0.6138447305454084,0.05419102502081302,1.0,10.0,4.0,intercept|p32_equal5,,,,
llama,math,delta_nll_p,Pk32-only,160.0,0.5814844463214013,0.05831080736037566,1.0,10.0,4.0,intercept|p32_equal5,,,,
llama,math,delta_nll_p,Pk32-only,320.0,0.7360445815974203,0.048349166616758574,0.7999999999999999,10.0,4.0,intercept|p32_equal5,,,,
llama,math,delta_nll_p,PkAll-only,5.0,-349.29384880520576,0.08779099493944391,1.0,0.0,4.0,intercept|p4_equal5|p8_equal5|p16_equal5|p32_equal5,,,,
llama,math,delta_nll_p,PkAll-only,20.0,-0.6784799299066075,0.05350043469421198,0.19999999999999998,1.0,4.0,intercept|p4_equal5|p8_equal5|p16_equal5|p32_equal5,,,,
llama,math,delta_nll_p,PkAll-only,40.0,0.8455224676102222,0.028889097188898306,1.0,10.0,4.0,intercept|p4_equal5|p8_equal5|p16_equal5|p32_equal5,,,,
llama,math,delta_nll_p,PkAll-only,80.0,0.6402773782680797,0.04778951520427737,1.0,10.0,4.0,intercept|p4_equal5|p8_equal5|p16_equal5|p32_equal5,,,,
llama,math,delta_nll_p,PkAll-only,160.0,0.5501637082761575,0.06435653372333791,1.0,10.0,4.0,intercept|p4_equal5|p8_equal5|p16_equal5|p32_equal5,,,,
