model,domain,target,feature_block,OOF_R2,OOF_MAE,OOF_prediction_spearman,n_checkpoint_groups,n_state_rows,analysis_role,outer_split,standardization,alpha_selection
llama,math,delta_nll_p,M0,0.7116844152895153,0.03566929609451112,0.7399999999999999,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,M0+C5,0.8180245051677616,0.027635743727453133,0.7043478260869565,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,M0+PkAll5,0.7245707416660779,0.03364366964098169,0.7321739130434782,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,M0+PkAll5+C5,0.8376790684690298,0.026031480897384163,0.6765217391304347,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,M0,0.7114201910636637,0.0430091779990751,0.7521739130434782,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,M0+C5,0.8392986195224763,0.03307456910572226,0.7921739130434783,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,M0+PkAll5,0.665740196349348,0.046394433218183685,0.7765217391304347,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,M0+PkAll5+C5,0.8307325499005694,0.03548081720239196,0.7869565217391304,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,M0,0.5318383340032866,0.08269759567810335,0.6913043478260869,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,M0+C5,0.28391566453643313,0.10342742013904072,0.7095652173913043,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,M0+PkAll5,0.24579932665740667,0.11021044910145213,0.5521739130434782,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,M0+PkAll5+C5,0.4235407434060908,0.1045630382139897,0.6191304347826087,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,M0,0.711130617053377,0.3336886173232725,0.8252173913043478,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,M0+C5,0.905420078538,0.21795580316499588,0.8834782608695652,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,M0+PkAll5,0.7488331612445538,0.33846395963225717,0.8356521739130435,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_t,M0+PkAll5+C5,0.826808178070121,0.28246427652893275,0.868695652173913,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,M0,0.8705378623916398,0.048902295638364596,0.9495652173913043,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,M0+C5,0.9444063781152466,0.03241152936059389,0.9799999999999999,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,M0+PkAll5,0.8561504351754115,0.050906078896291396,0.9591304347826086,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_b,M0+PkAll5+C5,0.8833324580981254,0.04610400901731149,0.9643478260869565,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,M0,0.7460152663004549,0.21116469489331627,0.9199999999999999,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,M0+C5,0.8869402078439179,0.12493870162363702,0.9608695652173912,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,M0+PkAll5,0.6106189216016975,0.20048693117525665,0.9295652173913044,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,kl_t,M0+PkAll5+C5,0.7588760581908833,0.16681860081181563,0.9382608695652173,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,M0,0.6971616830779002,0.04094754300170605,0.7530434782608695,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,M0+C5,0.825693317856036,0.03186511045990991,0.7982608695652172,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,M0+PkAll5,0.6717717017267549,0.043336518343896124,0.7591304347826088,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_c,M0+PkAll5+C5,0.8336035576500193,0.03342712059579881,0.7756521739130434,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,M0,0.5257931804790815,0.07436179396164751,0.7165217391304347,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,M0+C5,0.6368290991150567,0.06390823485765372,0.8478260869565216,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,M0+PkAll5,0.4280963717687837,0.0792539321029104,0.8234782608695651,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_b,M0+PkAll5+C5,0.6115558787294978,0.06995652711777689,0.8208695652173912,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,M0,0.7239172476347544,0.30695261815340197,0.8695652173913043,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,M0+C5,0.9271284772884937,0.18384332581630444,0.9504347826086955,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,M0+PkAll5,0.7793992136153053,0.29330354374753115,0.8878260869565217,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,abs_delta_nll_t,M0+PkAll5+C5,0.8641279102580686,0.22694752780290672,0.8913043478260868,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,M0,0.6244228801523017,0.09811621011592907,0.8147826086956521,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,M0+C5,0.2682178590481197,0.11998038755559622,0.8278260869565216,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,M0+PkAll5,0.5285490767531,0.10420610504258083,0.7365217391304346,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_c,M0+PkAll5+C5,0.5260847224976062,0.11315021378298683,0.8356521739130435,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,M0,0.46900446910867377,0.114379752253635,0.7904347826086956,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,M0+C5,0.21734737558235284,0.12563559915986705,0.8226086956521739,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,M0+PkAll5,0.4883516082826507,0.10926979720012663,0.6765217391304347,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b_minus_p,M0+PkAll5+C5,0.46385700965006893,0.1210469944556465,0.6756521739130433,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,M0,0.5729533793329289,0.023196529433506075,0.868695652173913,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,M0+C5,0.7788653011271139,0.01830919235773194,0.7608695652173912,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,M0+PkAll5,0.6431395457897755,0.021129319271004535,0.8139130434782607,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_p,M0+PkAll5+C5,0.7122126951665197,0.019305678725508636,0.646086956521739,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,M0,0.4928343766467025,0.08592817905423755,0.6330434782608695,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,M0+C5,0.6887831955266596,0.06840174633480291,0.6382608695652173,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,M0+PkAll5,0.4338141291731683,0.09535158396421271,0.6078260869565217,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f,M0+PkAll5+C5,0.7658419178691125,0.06137418893460275,0.677391304347826,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,M0,0.5746059556424985,0.028832631488626814,0.7304347826086957,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,M0+C5,0.8941799087050595,0.01620001997156548,0.8608695652173911,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,M0+PkAll5,0.7888138165295948,0.02333103987343262,0.7008695652173912,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_a,M0+PkAll5+C5,0.9520257038608608,0.010128624154512027,0.9095652173913044,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,M0,0.5502860679272474,0.457552211329815,0.7443478260869565,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,M0+C5,0.671422662923586,0.38846403599052054,0.7991304347826085,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,M0+PkAll5,0.5369434791778639,0.49365526289952877,0.7356521739130434,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_t,M0+PkAll5+C5,0.5854027443811386,0.46379072201851357,0.7539130434782607,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,M0,0.8070658149241703,0.04055093829587411,0.8921739130434782,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,M0+C5,0.9646419109110356,0.017986480688843284,0.9765217391304346,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,M0+PkAll5,0.7713666873410705,0.0452006052404653,0.9391304347826085,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f,M0+PkAll5+C5,0.9064057982669065,0.02857011267003955,0.9704347826086955,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,M0,0.6294727542916063,0.028946970508002805,0.84,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,M0+C5,0.8931003256844011,0.017126588425285045,0.8460869565217389,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,M0+PkAll5,0.7678976997691724,0.023783907920284206,0.76,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_a,M0+PkAll5+C5,0.9447689349063524,0.012195940733207419,0.9191304347826086,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,M0,0.6690377349973977,0.10761939154025944,0.9017391304347826,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,M0+C5,0.5706835067283396,0.09379437370746968,0.9469565217391304,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,M0+PkAll5,0.24394954910181976,0.14003889500175104,0.9052173913043478,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_t,M0+PkAll5+C5,0.5747288709939765,0.10841159189679782,0.9278260869565217,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,M0,0.664277169764474,0.05336009039072611,0.8121739130434782,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,M0+C5,0.7496731513038242,0.050905041351094193,0.8052173913043478,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,M0+PkAll5,0.6417999942092701,0.05835925326115055,0.7782608695652173,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_f,M0+PkAll5+C5,0.8530766598457293,0.03865582984004611,0.7982608695652172,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,M0,0.7557964368087651,0.027442510649397827,0.88,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,M0+C5,0.8410569512650898,0.02500371286425244,0.9469565217391304,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,M0+PkAll5,0.8027426061682897,0.024375800789411137,0.8782608695652172,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_a,M0+PkAll5+C5,0.8757210101077422,0.022262627165697338,0.9391304347826085,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,M0,0.669064940356608,0.2976716195201224,0.8365217391304347,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,M0+C5,0.7430761139948042,0.26438449609673936,0.8573913043478261,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,M0+PkAll5,0.5935798989622696,0.3378864463307601,0.8217391304347826,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,abs_delta_nll_t,M0+PkAll5+C5,0.5889614313989274,0.3370847338723819,0.84,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_a,M0,0.46071603141564765,0.05776804607432127,0.6304347826086956,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_a,M0+C5,0.5190571652784809,0.059409271000713824,0.62,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_a,M0+PkAll5,0.31883128449727716,0.06907254942522202,0.48956521739130426,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_a,M0+PkAll5+C5,0.5072859514298891,0.058636331937512644,0.5704347826086955,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_p,M0,0.4667448316827204,0.06424921960539225,0.6339130434782608,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_p,M0+C5,0.5770293977750405,0.06218208645536222,0.5939130434782608,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_p,M0+PkAll5,0.3778460788021718,0.07437461869222885,0.5330434782608695,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,delta_nll_f_minus_p,M0+PkAll5+C5,0.7042828346275134,0.04929567600700072,0.6530434782608695,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f_minus_a,M0,0.7817407421141397,0.027141465946801484,0.9286956521739129,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,mmlu,kl_f_minus_a,M0+C5,0.8885044140911474,0.01574346475853496,0.9791304347826085,6,24,nuisance_or_incremental_secondary,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
