model,domain,arm,feature,target,n,pearson,spearman,diagnostic_only,residual_model
llama,math,offkd,c_equal5,delta_nll_p,6,0.19518707419413156,0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,delta_nll_p,6,0.9521042184964316,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,delta_nll_p,6,0.9464848569257195,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,delta_nll_p,6,0.8637595256533237,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,delta_nll_p,6,0.6436725322435323,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,delta_nll_c,6,-0.34169610825869046,-0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,delta_nll_c,6,-0.5996569521746246,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,delta_nll_c,6,-0.574663006055489,-0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,delta_nll_c,6,-0.6221924524461857,-0.7142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,delta_nll_c,6,-0.6656486981039799,-0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,delta_nll_b,6,0.4387183196447327,0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,delta_nll_b,6,-0.640812886977488,-0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,delta_nll_b,6,-0.6652574551621581,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,delta_nll_b,6,-0.6816096612047331,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,delta_nll_b,6,-0.558606771793727,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,delta_nll_t,6,-0.031684098832615575,0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,delta_nll_t,6,0.6962690351777748,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,delta_nll_t,6,0.7444091182509858,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,delta_nll_t,6,0.6340095137826436,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,delta_nll_t,6,0.40287022067971867,0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,kl_b,6,-0.34813230476789275,-0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,kl_b,6,0.7845555063241012,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,kl_b,6,0.746956059009126,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,kl_b,6,0.6467671983597169,0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,kl_b,6,0.28906360196296826,0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,kl_t,6,-0.6590756641813211,-0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,kl_t,6,0.6773812561493074,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,kl_t,6,0.6558935952672253,0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,kl_t,6,0.6959408344446296,0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,kl_t,6,0.5253025155175819,0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,abs_delta_nll_c,6,0.010018355043084385,-0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,abs_delta_nll_c,6,-0.804022615580032,-0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,abs_delta_nll_c,6,-0.7757011758087539,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,abs_delta_nll_c,6,-0.6263418725492814,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,abs_delta_nll_c,6,-0.2621546597498836,-0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,abs_delta_nll_b,6,0.17047339015982038,-0.2,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,abs_delta_nll_b,6,-0.9526779513531639,-0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,abs_delta_nll_b,6,-0.9521532988187529,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,abs_delta_nll_b,6,-0.9037746843315104,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,abs_delta_nll_b,6,-0.6705239169330138,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,abs_delta_nll_t,6,-0.17931363913109022,0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,abs_delta_nll_t,6,0.7979476310560968,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,abs_delta_nll_t,6,0.8137545249917769,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,abs_delta_nll_t,6,0.7136605928069347,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,abs_delta_nll_t,6,0.43057626773797764,0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,delta_nll_b_minus_c,6,0.455827205494255,0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,delta_nll_b_minus_c,6,-0.5945914837170644,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,delta_nll_b_minus_c,6,-0.6203752949072012,-0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,delta_nll_b_minus_c,6,-0.6334593316071934,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,delta_nll_b_minus_c,6,-0.5090521587043667,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,c_equal5,delta_nll_b_minus_p,6,0.2900074270558182,-0.2,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p4_equal5,delta_nll_b_minus_p,6,-0.8367045782301461,-0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p8_equal5,delta_nll_b_minus_p,6,-0.8546182788758375,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p16_equal5,delta_nll_b_minus_p,6,-0.8402345967468761,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,offkd,p32_equal5,delta_nll_b_minus_p,6,-0.6671652879706402,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,delta_nll_p,6,0.7058570098175305,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,delta_nll_p,6,-0.4256976418515545,-0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,delta_nll_p,6,0.10760167387914671,0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,delta_nll_p,6,0.45066210299759185,0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,delta_nll_p,6,0.6341351150997586,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,delta_nll_c,6,0.7490884381140089,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,delta_nll_c,6,-0.4358656240281578,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,delta_nll_c,6,0.16722675331020836,0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,delta_nll_c,6,0.5498067083583076,0.3142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,delta_nll_c,6,0.708483944763748,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,delta_nll_b,6,0.3184742324060986,0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,delta_nll_b,6,-0.6677276048069816,-0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,delta_nll_b,6,-0.18652924435998125,-0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,delta_nll_b,6,0.22574783348213961,0.2,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,delta_nll_b,6,0.33640874733919157,0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,delta_nll_t,6,0.8780582689126867,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,delta_nll_t,6,0.14765230778005134,0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,delta_nll_t,6,0.5459355971101729,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,delta_nll_t,6,0.6594076018008216,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,delta_nll_t,6,0.7887709321038132,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,kl_b,6,0.9125516767408035,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,kl_b,6,-0.16550496552242058,0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,kl_b,6,0.46756854040908247,0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,kl_b,6,0.7893153934037208,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,kl_b,6,0.8970298617128445,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,kl_t,6,0.794205713937274,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,kl_t,6,-0.06786948633933808,0.2,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,kl_t,6,0.3501078755019294,0.48571428571428577,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,kl_t,6,0.5350946192753117,0.7142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,kl_t,6,0.6981859252147844,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,abs_delta_nll_c,6,0.7455356692613175,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,abs_delta_nll_c,6,-0.4397409589946521,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,abs_delta_nll_c,6,0.16212799007768916,0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,abs_delta_nll_c,6,0.5452582381479288,0.3142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,abs_delta_nll_c,6,0.704590443424997,0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,abs_delta_nll_b,6,0.9285938065233105,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,abs_delta_nll_b,6,-0.11417537062170426,0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,abs_delta_nll_b,6,0.5385904433492419,0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,abs_delta_nll_b,6,0.8567438894541387,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,abs_delta_nll_b,6,0.9349933330050308,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,abs_delta_nll_t,6,0.8750082522913282,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,abs_delta_nll_t,6,0.1487404452425838,0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,abs_delta_nll_t,6,0.5435634807997662,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,abs_delta_nll_t,6,0.6550780947722307,0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,abs_delta_nll_t,6,0.7848916878312895,0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,delta_nll_b_minus_c,6,-0.7985814497303163,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,delta_nll_b_minus_c,6,0.3623161806649614,0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,delta_nll_b_minus_c,6,-0.2329320036370255,-0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,delta_nll_b_minus_c,6,-0.5878306318219506,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,delta_nll_b_minus_c,6,-0.747826874931988,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,c_equal5,delta_nll_b_minus_p,6,-0.7487292022426861,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p4_equal5,delta_nll_b_minus_p,6,0.26624100292607306,0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p8_equal5,delta_nll_b_minus_p,6,-0.20572162812667866,-0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p16_equal5,delta_nll_b_minus_p,6,-0.46930181416186245,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,opd,p32_equal5,delta_nll_b_minus_p,6,-0.6530567090673813,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,delta_nll_p,6,0.34624960086831263,0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,delta_nll_p,6,0.7405505502135429,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,delta_nll_p,6,0.7335616782968697,0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,delta_nll_p,6,0.9113331780168761,0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,delta_nll_p,6,0.6893876467709943,0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,delta_nll_c,6,0.2287160964885778,-0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,delta_nll_c,6,-0.99781167705681,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,delta_nll_c,6,-0.9955715986904367,-1.0,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,delta_nll_c,6,-0.9538830236859491,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,delta_nll_c,6,-0.715974656613055,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,delta_nll_b,6,-0.06264994558679478,0.3142857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,delta_nll_b,6,-0.6488504529072665,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,delta_nll_b,6,-0.7001825844539448,-0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,delta_nll_b,6,-0.5565815599654357,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,delta_nll_b,6,-0.7736242056461103,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,delta_nll_t,6,0.501118791287804,0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,delta_nll_t,6,-0.6747937284107535,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,delta_nll_t,6,-0.5917024409412184,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,delta_nll_t,6,-0.507415323531737,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,delta_nll_t,6,-0.030932067618071466,0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,kl_b,6,-0.2480293153327862,-0.14285714285714288,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,kl_b,6,0.2375244147049191,0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,kl_b,6,0.16941282118435352,0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,kl_b,6,0.06431429598745507,0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,kl_b,6,-0.16140105015822193,-0.2571428571428572,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,kl_t,6,-0.46039810169491946,-0.6571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,kl_t,6,-0.565137373487148,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,kl_t,6,-0.544270465499364,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,kl_t,6,-0.729070262359243,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,kl_t,6,-0.53674455967056,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,abs_delta_nll_c,6,0.03120535451561631,0.028571428571428574,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,abs_delta_nll_c,6,-0.8953197600148408,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,abs_delta_nll_c,6,-0.8638509313501758,-0.8285714285714287,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,abs_delta_nll_c,6,-0.9013463588261009,-0.942857142857143,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,abs_delta_nll_c,6,-0.5858980358606227,-0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,abs_delta_nll_b,6,-0.00557796459187037,-0.2,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,abs_delta_nll_b,6,-0.8971347046079129,-0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,abs_delta_nll_b,6,-0.9027303522046045,-0.7714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,abs_delta_nll_b,6,-0.8611527195312861,-0.8857142857142858,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,abs_delta_nll_b,6,-0.7587054792556107,-0.5428571428571429,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,abs_delta_nll_t,6,0.43959942286758863,0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,abs_delta_nll_t,6,-0.7050835839952219,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p8_equal5,abs_delta_nll_t,6,-0.620391577550072,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p16_equal5,abs_delta_nll_t,6,-0.5764949234247047,-0.6,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p32_equal5,abs_delta_nll_t,6,-0.06855483021702384,0.08571428571428573,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,c_equal5,delta_nll_b_minus_c,6,-0.10049133179103094,0.4285714285714286,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
llama,math,seqkd,p4_equal5,delta_nll_b_minus_c,6,-0.5626005499145889,-0.3714285714285715,True,within_model_domain_arm_intercept_plus_log1p_checkpoint
