row_type,model,arm,checkpoint,module_count,included_modules,excluded_modules,aggregation,delta_source,k_values,source_status
pk5_rebuilt_from_raw_modules,llama,offkd,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,offkd,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,offkd,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,offkd,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,offkd,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,offkd,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,opd,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,opd,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,opd,40,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,opd,80,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,opd,160,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,opd,320,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,seqkd,5,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
pk5_rebuilt_from_raw_modules,llama,seqkd,20,5,"mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.o_proj,self_attn.v_proj","self_attn.q_proj,self_attn.k_proj",equal_mean_of_per_module_scores,deployed_BF16_merged_minus_base,"4,8,16,32",formal_available
