model,domain,arm,feature,target,epsilon,n,pearson,spearman,analysis_role
llama,math,offkd,c_equal5,delta_nll_p,0.05,6,0.3476667367267267,0.028571428571428574,standalone_c_equal5_primary
llama,math,offkd,p4_equal5,delta_nll_p,0.05,6,0.8436662780693707,0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,p8_equal5,delta_nll_p,0.05,6,0.9181379478773978,0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,p16_equal5,delta_nll_p,0.05,6,0.761234577087466,0.3714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,p32_equal5,delta_nll_p,0.05,6,0.60248348252884,0.3714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,c_equal5,delta_nll_c,0.05,6,0.7012392796058324,0.8285714285714287,standalone_c_equal5_primary
llama,math,offkd,p4_equal5,delta_nll_c,0.05,6,0.4707752216423763,0.48571428571428577,pk_equal5_standalone_matched_112
llama,math,offkd,p8_equal5,delta_nll_c,0.05,6,0.28737576579857105,0.48571428571428577,pk_equal5_standalone_matched_112
llama,math,offkd,p16_equal5,delta_nll_c,0.05,6,0.5104791855353656,0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,p32_equal5,delta_nll_c,0.05,6,0.5551927948389297,0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,c_equal5,delta_nll_b,0.05,6,-0.07730167391924185,-0.2571428571428572,standalone_c_equal5_primary
llama,math,offkd,p4_equal5,delta_nll_b,0.05,6,-0.6611060931777957,-0.942857142857143,pk_equal5_standalone_matched_112
llama,math,offkd,p8_equal5,delta_nll_b,0.05,6,-0.7083736781225708,-0.942857142857143,pk_equal5_standalone_matched_112
llama,math,offkd,p16_equal5,delta_nll_b,0.05,6,-0.6735509076024678,-0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,p32_equal5,delta_nll_b,0.05,6,-0.5834428609877562,-0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,c_equal5,delta_nll_t,0.05,6,0.7016384039338174,0.7142857142857143,standalone_c_equal5_primary
llama,math,offkd,p4_equal5,delta_nll_t,0.05,6,0.8666421673848066,0.7714285714285715,pk_equal5_standalone_matched_112
llama,math,offkd,p8_equal5,delta_nll_t,0.05,6,0.80235727314384,0.7714285714285715,pk_equal5_standalone_matched_112
