model,domain,target,feature_block,OOF_R2,OOF_MAE,OOF_prediction_spearman,n_checkpoint_groups,n_state_rows,analysis_role,outer_split,standardization,alpha_selection
llama,math,delta_nll_p,C-only,0.7850773552309053,0.03430827450362264,0.7608695652173912,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,C-only-matched,0.7850773552309053,0.03430827450362264,0.7608695652173912,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,Pk4-only,0.24510098373645706,0.061686653885249666,0.5817391304347826,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,Pk8-only,0.4149143819865104,0.05418440376285497,0.6939130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,Pk16-only,0.5711957015453883,0.048873953216953,0.6504347826086957,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,Pk32-only,0.610241359552025,0.0483330598358491,0.7382608695652173,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_p,PkAll-only,0.40712241598220456,0.05589987314108558,0.7243478260869565,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,C-only,0.8076400161750422,0.04197792807124328,0.8339130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,C-only-matched,0.8076400161750422,0.04197792807124328,0.8339130434782607,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,Pk4-only,0.19024582180808947,0.08266358461728772,0.6321739130434781,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,Pk8-only,0.4173820898637237,0.06558765495084579,0.6956521739130433,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,Pk16-only,0.6549465138103008,0.05348487732681181,0.7852173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,Pk32-only,0.7762144864298901,0.044653140868064156,0.8608695652173911,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_c,PkAll-only,0.6241722871344038,0.05466014713485834,0.8486956521739129,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
llama,math,delta_nll_b,C-only,-0.06583444531014115,0.13922054082319268,-0.2652173913043478,6,24,standalone,leave_one_checkpoint_group_out,train_fold_only,inner_checkpoint_cv_train_only
