arm,base_r_epsilon,delta_from_base,epsilon,layer,module,n_samples,probe,r_epsilon,step,track
base,203,0,0.01,7,self_attn.q_proj,32,S_math,203,0,per_checkpoint
base,83,0,0.025,7,self_attn.q_proj,32,S_math,83,0,per_checkpoint
base,32,0,0.05,7,self_attn.q_proj,32,S_math,32,0,per_checkpoint
base,8,0,0.1,7,self_attn.q_proj,32,S_math,8,0,per_checkpoint
base,151,0,0.01,7,self_attn.k_proj,32,S_math,151,0,per_checkpoint
base,68,0,0.025,7,self_attn.k_proj,32,S_math,68,0,per_checkpoint
base,29,0,0.05,7,self_attn.k_proj,32,S_math,29,0,per_checkpoint
base,8,0,0.1,7,self_attn.k_proj,32,S_math,8,0,per_checkpoint
base,492,0,0.01,7,self_attn.v_proj,32,S_math,492,0,per_checkpoint
base,346,0,0.025,7,self_attn.v_proj,32,S_math,346,0,per_checkpoint
base,240,0,0.05,7,self_attn.v_proj,32,S_math,240,0,per_checkpoint
base,146,0,0.1,7,self_attn.v_proj,32,S_math,146,0,per_checkpoint
base,623,0,0.01,7,self_attn.o_proj,32,S_math,623,0,per_checkpoint
base,395,0,0.025,7,self_attn.o_proj,32,S_math,395,0,per_checkpoint
base,250,0,0.05,7,self_attn.o_proj,32,S_math,250,0,per_checkpoint
base,134,0,0.1,7,self_attn.o_proj,32,S_math,134,0,per_checkpoint
base,580,0,0.01,7,mlp.gate_proj,32,S_math,580,0,per_checkpoint
base,313,0,0.025,7,mlp.gate_proj,32,S_math,313,0,per_checkpoint
base,157,0,0.05,7,mlp.gate_proj,32,S_math,157,0,per_checkpoint
base,54,0,0.1,7,mlp.gate_proj,32,S_math,54,0,per_checkpoint
base,978,0,0.01,7,mlp.up_proj,32,S_math,978,0,per_checkpoint
base,649,0,0.025,7,mlp.up_proj,32,S_math,649,0,per_checkpoint
base,425,0,0.05,7,mlp.up_proj,32,S_math,425,0,per_checkpoint
base,238,0,0.1,7,mlp.up_proj,32,S_math,238,0,per_checkpoint
base,1221,0,0.01,7,mlp.down_proj,32,S_math,1221,0,per_checkpoint
base,866,0,0.025,7,mlp.down_proj,32,S_math,866,0,per_checkpoint
base,610,0,0.05,7,mlp.down_proj,32,S_math,610,0,per_checkpoint
base,377,0,0.1,7,mlp.down_proj,32,S_math,377,0,per_checkpoint
base,295,0,0.01,14,self_attn.q_proj,32,S_math,295,0,per_checkpoint
base,138,0,0.025,14,self_attn.q_proj,32,S_math,138,0,per_checkpoint
base,65,0,0.05,14,self_attn.q_proj,32,S_math,65,0,per_checkpoint
base,26,0,0.1,14,self_attn.q_proj,32,S_math,26,0,per_checkpoint
base,186,0,0.01,14,self_attn.k_proj,32,S_math,186,0,per_checkpoint
base,94,0,0.025,14,self_attn.k_proj,32,S_math,94,0,per_checkpoint
base,49,0,0.05,14,self_attn.k_proj,32,S_math,49,0,per_checkpoint
base,19,0,0.1,14,self_attn.k_proj,32,S_math,19,0,per_checkpoint
base,659,0,0.01,14,self_attn.v_proj,32,S_math,659,0,per_checkpoint
base,498,0,0.025,14,self_attn.v_proj,32,S_math,498,0,per_checkpoint
base,365,0,0.05,14,self_attn.v_proj,32,S_math,365,0,per_checkpoint
base,237,0,0.1,14,self_attn.v_proj,32,S_math,237,0,per_checkpoint
base,743,0,0.01,14,self_attn.o_proj,32,S_math,743,0,per_checkpoint
base,477,0,0.025,14,self_attn.o_proj,32,S_math,477,0,per_checkpoint
base,307,0,0.05,14,self_attn.o_proj,32,S_math,307,0,per_checkpoint
base,172,0,0.1,14,self_attn.o_proj,32,S_math,172,0,per_checkpoint
base,604,0,0.01,14,mlp.gate_proj,32,S_math,604,0,per_checkpoint
base,295,0,0.025,14,mlp.gate_proj,32,S_math,295,0,per_checkpoint
base,132,0,0.05,14,mlp.gate_proj,32,S_math,132,0,per_checkpoint
base,37,0,0.1,14,mlp.gate_proj,32,S_math,37,0,per_checkpoint
base,1193,0,0.01,14,mlp.up_proj,32,S_math,1193,0,per_checkpoint
base,783,0,0.025,14,mlp.up_proj,32,S_math,783,0,per_checkpoint
base,505,0,0.05,14,mlp.up_proj,32,S_math,505,0,per_checkpoint
base,275,0,0.1,14,mlp.up_proj,32,S_math,275,0,per_checkpoint
base,1423,0,0.01,14,mlp.down_proj,32,S_math,1423,0,per_checkpoint
base,1011,0,0.025,14,mlp.down_proj,32,S_math,1011,0,per_checkpoint
base,711,0,0.05,14,mlp.down_proj,32,S_math,711,0,per_checkpoint
base,440,0,0.1,14,mlp.down_proj,32,S_math,440,0,per_checkpoint
base,261,0,0.01,21,self_attn.q_proj,32,S_math,261,0,per_checkpoint
base,119,0,0.025,21,self_attn.q_proj,32,S_math,119,0,per_checkpoint
base,53,0,0.05,21,self_attn.q_proj,32,S_math,53,0,per_checkpoint
base,17,0,0.1,21,self_attn.q_proj,32,S_math,17,0,per_checkpoint
base,166,0,0.01,21,self_attn.k_proj,32,S_math,166,0,per_checkpoint
base,75,0,0.025,21,self_attn.k_proj,32,S_math,75,0,per_checkpoint
base,35,0,0.05,21,self_attn.k_proj,32,S_math,35,0,per_checkpoint
base,12,0,0.1,21,self_attn.k_proj,32,S_math,12,0,per_checkpoint
base,554,0,0.01,21,self_attn.v_proj,32,S_math,554,0,per_checkpoint
base,400,0,0.025,21,self_attn.v_proj,32,S_math,400,0,per_checkpoint
base,285,0,0.05,21,self_attn.v_proj,32,S_math,285,0,per_checkpoint
base,180,0,0.1,21,self_attn.v_proj,32,S_math,180,0,per_checkpoint
base,588,0,0.01,21,self_attn.o_proj,32,S_math,588,0,per_checkpoint
base,379,0,0.025,21,self_attn.o_proj,32,S_math,379,0,per_checkpoint
base,247,0,0.05,21,self_attn.o_proj,32,S_math,247,0,per_checkpoint
base,143,0,0.1,21,self_attn.o_proj,32,S_math,143,0,per_checkpoint
base,796,0,0.01,21,mlp.gate_proj,32,S_math,796,0,per_checkpoint
base,458,0,0.025,21,mlp.gate_proj,32,S_math,458,0,per_checkpoint
base,254,0,0.05,21,mlp.gate_proj,32,S_math,254,0,per_checkpoint
base,110,0,0.1,21,mlp.gate_proj,32,S_math,110,0,per_checkpoint
base,1118,0,0.01,21,mlp.up_proj,32,S_math,1118,0,per_checkpoint
base,730,0,0.025,21,mlp.up_proj,32,S_math,730,0,per_checkpoint
base,473,0,0.05,21,mlp.up_proj,32,S_math,473,0,per_checkpoint
base,263,0,0.1,21,mlp.up_proj,32,S_math,263,0,per_checkpoint
base,1278,0,0.01,21,mlp.down_proj,32,S_math,1278,0,per_checkpoint
base,883,0,0.025,21,mlp.down_proj,32,S_math,883,0,per_checkpoint
base,607,0,0.05,21,mlp.down_proj,32,S_math,607,0,per_checkpoint
base,367,0,0.1,21,mlp.down_proj,32,S_math,367,0,per_checkpoint
base,321,0,0.01,7,self_attn.q_proj,32,E_math,321,0,per_checkpoint
base,153,0,0.025,7,self_attn.q_proj,32,E_math,153,0,per_checkpoint
base,65,0,0.05,7,self_attn.q_proj,32,E_math,65,0,per_checkpoint
base,17,0,0.1,7,self_attn.q_proj,32,E_math,17,0,per_checkpoint
base,233,0,0.01,7,self_attn.k_proj,32,E_math,233,0,per_checkpoint
base,120,0,0.025,7,self_attn.k_proj,32,E_math,120,0,per_checkpoint
base,58,0,0.05,7,self_attn.k_proj,32,E_math,58,0,per_checkpoint
base,20,0,0.1,7,self_attn.k_proj,32,E_math,20,0,per_checkpoint
base,554,0,0.01,7,self_attn.v_proj,32,E_math,554,0,per_checkpoint
base,410,0,0.025,7,self_attn.v_proj,32,E_math,410,0,per_checkpoint
base,296,0,0.05,7,self_attn.v_proj,32,E_math,296,0,per_checkpoint
base,187,0,0.1,7,self_attn.v_proj,32,E_math,187,0,per_checkpoint
base,715,0,0.01,7,self_attn.o_proj,32,E_math,715,0,per_checkpoint
base,495,0,0.025,7,self_attn.o_proj,32,E_math,495,0,per_checkpoint
base,341,0,0.05,7,self_attn.o_proj,32,E_math,341,0,per_checkpoint
base,205,0,0.1,7,self_attn.o_proj,32,E_math,205,0,per_checkpoint
base,707,0,0.01,7,mlp.gate_proj,32,E_math,707,0,per_checkpoint
base,437,0,0.025,7,mlp.gate_proj,32,E_math,437,0,per_checkpoint
base,249,0,0.05,7,mlp.gate_proj,32,E_math,249,0,per_checkpoint
base,103,0,0.1,7,mlp.gate_proj,32,E_math,103,0,per_checkpoint
base,1010,0,0.01,7,mlp.up_proj,32,E_math,1010,0,per_checkpoint
base,747,0,0.025,7,mlp.up_proj,32,E_math,747,0,per_checkpoint
base,536,0,0.05,7,mlp.up_proj,32,E_math,536,0,per_checkpoint
base,331,0,0.1,7,mlp.up_proj,32,E_math,331,0,per_checkpoint
base,1232,0,0.01,7,mlp.down_proj,32,E_math,1232,0,per_checkpoint
base,969,0,0.025,7,mlp.down_proj,32,E_math,969,0,per_checkpoint
base,752,0,0.05,7,mlp.down_proj,32,E_math,752,0,per_checkpoint
base,526,0,0.1,7,mlp.down_proj,32,E_math,526,0,per_checkpoint
base,391,0,0.01,14,self_attn.q_proj,32,E_math,391,0,per_checkpoint
base,208,0,0.025,14,self_attn.q_proj,32,E_math,208,0,per_checkpoint
base,103,0,0.05,14,self_attn.q_proj,32,E_math,103,0,per_checkpoint
base,38,0,0.1,14,self_attn.q_proj,32,E_math,38,0,per_checkpoint
base,263,0,0.01,14,self_attn.k_proj,32,E_math,263,0,per_checkpoint
base,150,0,0.025,14,self_attn.k_proj,32,E_math,150,0,per_checkpoint
base,84,0,0.05,14,self_attn.k_proj,32,E_math,84,0,per_checkpoint
base,38,0,0.1,14,self_attn.k_proj,32,E_math,38,0,per_checkpoint
base,659,0,0.01,14,self_attn.v_proj,32,E_math,659,0,per_checkpoint
base,517,0,0.025,14,self_attn.v_proj,32,E_math,517,0,per_checkpoint
base,397,0,0.05,14,self_attn.v_proj,32,E_math,397,0,per_checkpoint
base,273,0,0.1,14,self_attn.v_proj,32,E_math,273,0,per_checkpoint
base,848,0,0.01,14,self_attn.o_proj,32,E_math,848,0,per_checkpoint
base,618,0,0.025,14,self_attn.o_proj,32,E_math,618,0,per_checkpoint
base,447,0,0.05,14,self_attn.o_proj,32,E_math,447,0,per_checkpoint
base,289,0,0.1,14,self_attn.o_proj,32,E_math,289,0,per_checkpoint
base,588,0,0.01,14,mlp.gate_proj,32,E_math,588,0,per_checkpoint
base,322,0,0.025,14,mlp.gate_proj,32,E_math,322,0,per_checkpoint
base,158,0,0.05,14,mlp.gate_proj,32,E_math,158,0,per_checkpoint
base,49,0,0.1,14,mlp.gate_proj,32,E_math,49,0,per_checkpoint
base,1024,0,0.01,14,mlp.up_proj,32,E_math,1024,0,per_checkpoint
base,752,0,0.025,14,mlp.up_proj,32,E_math,752,0,per_checkpoint
base,535,0,0.05,14,mlp.up_proj,32,E_math,535,0,per_checkpoint
base,326,0,0.1,14,mlp.up_proj,32,E_math,326,0,per_checkpoint
base,1191,0,0.01,14,mlp.down_proj,32,E_math,1191,0,per_checkpoint
base,928,0,0.025,14,mlp.down_proj,32,E_math,928,0,per_checkpoint
base,711,0,0.05,14,mlp.down_proj,32,E_math,711,0,per_checkpoint
base,489,0,0.1,14,mlp.down_proj,32,E_math,489,0,per_checkpoint
base,396,0,0.01,21,self_attn.q_proj,32,E_math,396,0,per_checkpoint
base,207,0,0.025,21,self_attn.q_proj,32,E_math,207,0,per_checkpoint
base,97,0,0.05,21,self_attn.q_proj,32,E_math,97,0,per_checkpoint
base,29,0,0.1,21,self_attn.q_proj,32,E_math,29,0,per_checkpoint
base,274,0,0.01,21,self_attn.k_proj,32,E_math,274,0,per_checkpoint
base,151,0,0.025,21,self_attn.k_proj,32,E_math,151,0,per_checkpoint
base,77,0,0.05,21,self_attn.k_proj,32,E_math,77,0,per_checkpoint
base,29,0,0.1,21,self_attn.k_proj,32,E_math,29,0,per_checkpoint
base,578,0,0.01,21,self_attn.v_proj,32,E_math,578,0,per_checkpoint
base,438,0,0.025,21,self_attn.v_proj,32,E_math,438,0,per_checkpoint
base,327,0,0.05,21,self_attn.v_proj,32,E_math,327,0,per_checkpoint
base,218,0,0.1,21,self_attn.v_proj,32,E_math,218,0,per_checkpoint
base,702,0,0.01,21,self_attn.o_proj,32,E_math,702,0,per_checkpoint
base,493,0,0.025,21,self_attn.o_proj,32,E_math,493,0,per_checkpoint
base,346,0,0.05,21,self_attn.o_proj,32,E_math,346,0,per_checkpoint
base,215,0,0.1,21,self_attn.o_proj,32,E_math,215,0,per_checkpoint
base,771,0,0.01,21,mlp.gate_proj,32,E_math,771,0,per_checkpoint
base,497,0,0.025,21,mlp.gate_proj,32,E_math,497,0,per_checkpoint
base,302,0,0.05,21,mlp.gate_proj,32,E_math,302,0,per_checkpoint
base,139,0,0.1,21,mlp.gate_proj,32,E_math,139,0,per_checkpoint
base,974,0,0.01,21,mlp.up_proj,32,E_math,974,0,per_checkpoint
base,703,0,0.025,21,mlp.up_proj,32,E_math,703,0,per_checkpoint
base,494,0,0.05,21,mlp.up_proj,32,E_math,494,0,per_checkpoint
base,296,0,0.1,21,mlp.up_proj,32,E_math,296,0,per_checkpoint
base,1106,0,0.01,21,mlp.down_proj,32,E_math,1106,0,per_checkpoint
base,839,0,0.025,21,mlp.down_proj,32,E_math,839,0,per_checkpoint
base,625,0,0.05,21,mlp.down_proj,32,E_math,625,0,per_checkpoint
base,412,0,0.1,21,mlp.down_proj,32,E_math,412,0,per_checkpoint
base,363,0,0.01,7,self_attn.q_proj,30,E_math_hard_v2,363,0,per_checkpoint
base,159,0,0.025,7,self_attn.q_proj,30,E_math_hard_v2,159,0,per_checkpoint
base,61,0,0.05,7,self_attn.q_proj,30,E_math_hard_v2,61,0,per_checkpoint
base,16,0,0.1,7,self_attn.q_proj,30,E_math_hard_v2,16,0,per_checkpoint
base,247,0,0.01,7,self_attn.k_proj,30,E_math_hard_v2,247,0,per_checkpoint
base,121,0,0.025,7,self_attn.k_proj,30,E_math_hard_v2,121,0,per_checkpoint
base,55,0,0.05,7,self_attn.k_proj,30,E_math_hard_v2,55,0,per_checkpoint
base,18,0,0.1,7,self_attn.k_proj,30,E_math_hard_v2,18,0,per_checkpoint
base,629,0,0.01,7,self_attn.v_proj,30,E_math_hard_v2,629,0,per_checkpoint
base,469,0,0.025,7,self_attn.v_proj,30,E_math_hard_v2,469,0,per_checkpoint
base,338,0,0.05,7,self_attn.v_proj,30,E_math_hard_v2,338,0,per_checkpoint
base,212,0,0.1,7,self_attn.v_proj,30,E_math_hard_v2,212,0,per_checkpoint
base,948,0,0.01,7,self_attn.o_proj,30,E_math_hard_v2,948,0,per_checkpoint
