arm,centered_anisotropy,layer,linear_cka_vs_step0,n_samples,native_object,normalized_entropy_effective_rank,participation_ratio,probe,raw_anisotropy,step,top1_explained_share,top32_explained_share,top8_explained_share
base,-0.011084132827818394,7,0.9999999403953552,32,raw residual-stream sample means and centered covariance,181.69892179740708,39.69952757299928,S_math,0.4900432527065277,0,0.125044037601427,0.5368370258149718,0.33071508988947856
base,-0.013757807202637196,14,1.0,32,raw residual-stream sample means and centered covariance,177.27249896660854,32.76280071023975,S_math,0.5118405222892761,0,0.14982608615467785,0.5310650768389881,0.32951435864908446
base,-0.014547343365848064,21,1.0,32,raw residual-stream sample means and centered covariance,181.09591987086648,44.92004670561639,S_math,0.6730884313583374,0,0.1112168160691722,0.5285486547425066,0.3097526339509269
base,0.08449757099151611,7,1.0,32,raw residual-stream sample means and centered covariance,1.0217648914123783,1.0032780277812654,E_math,0.9597986340522766,0,0.9983649932298698,0.9990170300100405,0.9986608958964143
base,0.06657566130161285,14,1.0,32,raw residual-stream sample means and centered covariance,1.045645928598591,1.007307045981978,E_math,0.923697292804718,0,0.9963663154076664,0.9978931847501004,0.9970730475921531
base,0.03396190330386162,21,1.0,32,raw residual-stream sample means and centered covariance,1.176001539017133,1.0308709689382596,E_math,0.8744961619377136,0,0.9849115864212813,0.991767062764607,0.9883032200505014
base,-0.012214228510856628,7,1.0,30,raw residual-stream sample means and centered covariance,1.0556412791689715,1.0087519927628035,E_math_hard_v2,0.8159049153327942,0,0.9956524495741843,0.997268205573717,0.996387594383117
base,-0.011831601150333881,14,0.9999999403953552,30,raw residual-stream sample means and centered covariance,1.118504971514889,1.019659284706989,E_math_hard_v2,0.789614200592041,0,0.9903125325650227,0.9941198461535317,0.9921972555544251
base,-0.018352389335632324,21,1.0,30,raw residual-stream sample means and centered covariance,1.4773350828919949,1.082185610595229,E_math_hard_v2,0.8080184459686279,0,0.961270187350719,0.9774848524473152,0.9695701046109371
base,0.0013912380672991276,7,1.0,128,raw residual-stream sample means and centered covariance,1.0870784908396438,1.013537354854519,E_ood,0.8420976996421814,0,0.9932990946279616,0.9955311768812608,0.9945229873142272
base,-0.002729179337620735,14,0.9999999403953552,128,raw residual-stream sample means and centered covariance,1.2069632774287606,1.0337140649582046,E_ood,0.788500189781189,0,0.9835563635639976,0.9893689650961899,0.9867282206412215
base,-0.004514270927757025,21,0.9999999403953552,128,raw residual-stream sample means and centered covariance,1.9474169851046992,1.1469037397337762,E_ood,0.7787326574325562,0,0.9337446436211685,0.9566543457944457,0.9459728482301597
base,0.01435901876538992,7,1.0,541,raw residual-stream sample means and centered covariance,1.0245385391580653,1.003537887840344,E_if,0.9854077696800232,0,0.9982357249894458,0.9988271666012102,0.9985399647811086
base,0.012247753329575062,14,1.0,541,raw residual-stream sample means and centered covariance,1.0582717048440904,1.0089505191037043,E_if,0.9651966691017151,0,0.9955544911572822,0.9970772914733074,0.9963126855779767
base,0.00639426289126277,21,1.0,541,raw residual-stream sample means and centered covariance,1.2347133220436277,1.0385165102304763,E_if,0.9303333759307861,0,0.9812793677624434,0.9880714174272899,0.9848234826708265
base,0.002423877827823162,7,1.0000001192092896,128,raw residual-stream sample means and centered covariance,1.0910095176125414,1.0137608463053738,E_general,0.8784966468811035,0,0.9931896965818028,0.9949294706176575,0.9939730168953596
base,-0.0024553968105465174,14,1.0,128,raw residual-stream sample means and centered covariance,1.2182112142142092,1.0345523849835216,E_general,0.7961520552635193,0,0.9831583656930585,0.9880116198932194,0.985310305713241
base,-0.006764254532754421,21,1.0000001192092896,128,raw residual-stream sample means and centered covariance,2.1079136008730135,1.1658900426075423,E_general,0.7408034801483154,0,0.9261103480941784,0.9498508793039541,0.9380321276388894
opd,0.21585239470005035,7,0.2230393886566162,32,raw residual-stream sample means and centered covariance,5.281330518022166,1.6273413737405196,S_math,0.4712226390838623,5,0.7831632298485279,0.8947052064134399,0.8469006560884786
opd,0.08429703861474991,14,0.2420583814382553,32,raw residual-stream sample means and centered covariance,16.111758199844687,2.768221666875551,S_math,0.48774638772010803,5,0.597137202781011,0.8042698384874588,0.7199695775256979
opd,0.02194298431277275,21,0.40947771072387695,32,raw residual-stream sample means and centered covariance,67.67601560719288,9.173391697315141,S_math,0.651298999786377,5,0.31490239123163216,0.6657693359396348,0.510043213180681
opd,0.08476415276527405,7,0.9999973773956299,32,raw residual-stream sample means and centered covariance,1.021662868790195,1.0032615241410576,E_math,0.9599878787994385,5,0.9983732048475358,0.999022641489968,0.9986678953875917
opd,0.06675419956445694,14,0.9999971985816956,32,raw residual-stream sample means and centered covariance,1.0454404578644005,1.0072725614114284,E_math,0.9239678978919983,5,0.9963833713704764,0.9979053482166016,0.9970875608334206
opd,0.03405853733420372,21,0.9999960660934448,32,raw residual-stream sample means and centered covariance,1.1754388548399743,1.0307854954596605,E_math,0.8746861815452576,5,0.9849524183621974,0.9918081848492579,0.9883482989729312
opd,-0.012356920167803764,7,0.9999980926513672,30,raw residual-stream sample means and centered covariance,1.0553866959742653,1.0087091847771068,E_math_hard_v2,0.8161416053771973,5,0.9956735769687237,0.9972813987346025,0.9964052127308721
opd,-0.011979606933891773,14,0.9999978542327881,30,raw residual-stream sample means and centered covariance,1.117889897955584,1.0195528501969973,E_math_hard_v2,0.7902018427848816,5,0.99036422688796,0.9941539260301645,0.9922398365642023
opd,-0.01851518079638481,21,0.9999933242797852,30,raw residual-stream sample means and centered covariance,1.4752475597605612,1.0818739015443342,E_math_hard_v2,0.8082537651062012,5,0.9614086810148682,0.9776041366623476,0.9697038068981692
