arm,step,task,n,accuracy,standard_error,cap_hit_rate,eos_rate,boxed_rate,trunc_but_correct_rate,strict_accuracy,flexible_accuracy,extract_failure_rate,prompt_strict_accuracy,instruction_strict_accuracy,response_length_mean,response_length_median,response_length_p90,max_new_tokens,sample_source
base,0,math500,500,0.04,0.0087635609200826,0.692,0.308,0.346,0.032,nan,nan,nan,nan,nan,2926.58,4096.0,4096.0,4096.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/math500/step_000_samples.jsonl
base,0,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.1414285714285714,0.1621428571428571,0.4392857142857143,nan,nan,1028.2528571428572,338.5,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_biology_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_business_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_chemistry_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_computer_science_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_economics_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_engineering_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_health_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_history_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_law_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_math_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_other_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_philosophy_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_physics_2026-07-24T17-59-30.551189.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/mmlu_pro/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_mmlu_pro_psychology_2026-07-24T17-59-30.551189.jsonl
base,0,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1959334565619223,0.3225419664268585,1174.4103512014788,1280.0,1281.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/base/step_000/ifeval/__root__autodl-tmp__cycle09_block3__llama_opd__model__student_runtime/samples_ifeval_2026-07-24T18-00-50.674675.jsonl
frozen_self,5,math500,500,0.07,0.0114105214604767,0.586,0.414,0.582,0.036,nan,nan,nan,nan,nan,2508.418,4096.0,4096.0,4096.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/math500/step_005_samples.jsonl
frozen_self,5,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.1442857142857143,0.1607142857142857,0.4485714285714285,nan,nan,1035.035,331.0,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_biology_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_business_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_chemistry_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_computer_science_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_economics_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_engineering_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_health_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_history_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_law_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_math_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_other_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_philosophy_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_physics_2026-07-24T15-05-27.708546.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_mmlu_pro_psychology_2026-07-24T15-05-27.708546.jsonl
frozen_self,5,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1866913123844732,0.2973621103117506,841.0055452865065,1280.0,1280.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_005/ifeval/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_005/samples_ifeval_2026-07-24T18-07-41.053604.jsonl
frozen_self,20,math500,500,0.066,0.0111035129576184,0.288,0.712,0.648,0.012,nan,nan,nan,nan,nan,1676.822,812.0,4096.0,4096.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/math500/step_020_samples.jsonl
frozen_self,20,mmlu_pro,1400,nan,nan,nan,nan,nan,nan,0.1157142857142857,0.1321428571428571,0.5371428571428571,nan,nan,1196.5242857142855,2048.0,2048.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_biology_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_business_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_chemistry_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_computer_science_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_economics_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_engineering_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_health_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_history_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_law_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_math_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_other_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_philosophy_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_physics_2026-07-24T18-18-03.791391.jsonl;/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/mmlu_pro/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_mmlu_pro_psychology_2026-07-24T18-18-03.791391.jsonl
frozen_self,20,ifeval,541,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1312384473197781,0.2637889688249401,1157.5101663585951,1280.0,1280.0,nan,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_020/ifeval/__root__autodl-tmp__cycle09_stage3_followup__H5_frozen_self__merged__frozen_self__step_020/samples_ifeval_2026-07-24T17-48-40.662267.jsonl
frozen_self,40,math500,500,0.036,0.0083311463797006,0.614,0.386,0.434,0.022,nan,nan,nan,nan,nan,10590.302,16384.0,16384.0,16384.0,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/behavior/formal/frozen_self/step_040/math500/step_040_samples.jsonl
