arm,probe,sha256,spectra_path,step,track
base,S_math,6555f787ca3875248829ce8b73828133cc341aadea79be3f4e53d197f62adf3c,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/scratch/references/S_math_spectra.json,0,per_checkpoint
base,E_math,8b8d70bc775e69cf5776f37789d784402042b8247f1931bade6bba4c11b1cf7c,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/scratch/references/E_math_spectra.json,0,per_checkpoint
base,E_math_hard_v2,9729564fe8ab7c88e500a3515550f79fbea5d6dc7006f2cd65b3e4d655849224,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/scratch/references/E_math_hard_v2_spectra.json,0,per_checkpoint
base,E_ood,eee0ce0ac42ee669ed5bf560fe7fca80ca34cbea236e26a43de02c82a35a1f4f,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/scratch/references/E_ood_spectra.json,0,per_checkpoint
base,E_if,200a07ca5fcbb709c25ad967baa923170bdc6aa2965ab5f5d94873ad57159625,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/scratch/references/E_if_spectra.json,0,per_checkpoint
base,E_general,f49d4a91d76f87f24671bd94f3cffdb2d8bb1f191d457043c030531603ad2713,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/scratch/references/E_general_spectra.json,0,per_checkpoint
frozen_self,S_math,7ce828bbe2ee6ab1d4ddd302369b858e0211102542022e0d4979b5ac6ca68124,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_005/S_math.json,5,per_checkpoint
frozen_self,E_math,67e5a1d5507716a0df928327467e39bdb946a313121a471b16cbec8ce356466c,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_005/E_math.json,5,per_checkpoint
frozen_self,E_math_hard_v2,2db7f9859a19fbd364f49bec953f2afa8407336b7896ffc5d6058093fb047d56,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_005/E_math_hard_v2.json,5,per_checkpoint
frozen_self,E_ood,1ddeae274cd09ed595e07c696c0b272a875cb5075e90974428281790b757dc87,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_005/E_ood.json,5,per_checkpoint
frozen_self,E_if,2016bab80ed656245b5ff3d42fbd1954b16164e5a70ff27f90d47d89ed8aab3c,/root/autodl-tmp/cycle09_stage3_followup/H5_frozen_self/geometry/spectra/formal/frozen_self/step_005/E_if.json,5,per_checkpoint
