arm,centered_anisotropy,layer,linear_cka_vs_step0,n_samples,native_object,normalized_entropy_effective_rank,participation_ratio,probe,raw_anisotropy,step,top1_explained_share,top32_explained_share,top8_explained_share
base,-0.011084375903010368,7,0.9999999403953552,32,raw residual-stream sample means and centered covariance,181.700552788214,39.700796919395664,S_math,0.4900408089160919,0,0.12503898976897412,0.5368380590357893,0.33071612033059006
base,-0.013756790198385715,14,1.0,32,raw residual-stream sample means and centered covariance,177.27622433431011,32.76431342716931,S_math,0.5118321776390076,0,0.14982134349886544,0.531066911181285,0.3295115514664275
base,-0.014544825069606304,21,0.9999999403953552,32,raw residual-stream sample means and centered covariance,181.10194686181447,44.92322285416329,S_math,0.6730750203132629,0,0.11121246616718188,0.5285517041871748,0.30974730790249805
base,0.08449646085500717,7,1.0,32,raw residual-stream sample means and centered covariance,1.021776591452643,1.0032798587853766,E_math,0.9597989916801453,0,0.9983640821998913,0.9990169355175211,0.9986600603077139
base,0.06657492369413376,14,1.0,32,raw residual-stream sample means and centered covariance,1.0456471780083778,1.0073070681263245,E_math,0.9236970543861389,0,0.9963663044346869,0.9978932526507164,0.9970733182356347
base,0.03395877406001091,21,1.0000001192092896,32,raw residual-stream sample means and centered covariance,1.1760087124802414,1.0308724286075905,E_math,0.8744993805885315,0,0.9849108889765674,0.991766624768538,0.9883027330269764
base,-0.012212704867124557,7,1.0,30,raw residual-stream sample means and centered covariance,1.0556504557420388,1.0087535883878016,E_math_hard_v2,0.815902054309845,0,0.9956516621045636,0.9972675212521044,0.9963869025530556
base,-0.011833134107291698,14,0.9999999403953552,30,raw residual-stream sample means and centered covariance,1.1185093358399318,1.019659608706239,E_math_hard_v2,0.7896057963371277,0,0.9903123752425638,0.9941194629338349,0.992197036584481
base,-0.01835642009973526,21,1.0000001192092896,30,raw residual-stream sample means and centered covariance,1.477347604155858,1.0821867010877315,E_math_hard_v2,0.8080107569694519,0,0.9612697031393401,0.97748402116184,0.9695695553266973
base,0.0013908757828176022,7,1.0,128,raw residual-stream sample means and centered covariance,1.0870957631964715,1.0135394970207827,E_ood,0.8420972228050232,0,0.9932980450019893,0.995529810226214,0.9945216768924724
base,-0.0027297227643430233,14,1.0000001192092896,128,raw residual-stream sample means and centered covariance,1.2069546873016663,1.0337129996145553,E_ood,0.7885007858276367,0,0.9835568703587787,0.989369485998227,0.9867287416026276
base,-0.004514928441494703,21,0.9999999403953552,128,raw residual-stream sample means and centered covariance,1.9474073598801425,1.1469026074177662,E_ood,0.7787378430366516,0,0.9337451046789206,0.956654688448483,0.9459732891964628
base,0.014358981512486935,7,1.0000001192092896,541,raw residual-stream sample means and centered covariance,1.024534532475362,1.0035371696066135,E_if,0.9854078888893127,0,0.9982360822262272,0.998826869174361,0.998540051353449
base,0.012247269973158836,14,0.9999999403953552,541,raw residual-stream sample means and centered covariance,1.0582794523157113,1.0089517150460754,E_if,0.9651969075202942,0,0.9955539010834359,0.9970769294489146,0.9963123941754043
base,0.006394092459231615,21,1.0000001192092896,541,raw residual-stream sample means and centered covariance,1.2347124830350589,1.0385163220008609,E_if,0.9303340315818787,0,0.9812794566337887,0.9880716815783545,0.9848237033872026
base,0.002424543257802725,7,1.0,128,raw residual-stream sample means and centered covariance,1.0910035122940094,1.013759567301437,E_general,0.8784970641136169,0,0.9931903231371845,0.9949297310815303,0.9939735326848732
base,-0.0024557234719395638,14,0.9999998807907104,128,raw residual-stream sample means and centered covariance,1.2182038740493273,1.0345515157148368,E_general,0.7961504459381104,0,0.9831587786913145,0.988012177773233,0.9853108153140484
base,-0.006764273624867201,21,1.0,128,raw residual-stream sample means and centered covariance,2.1078880408483256,1.1658880169354036,E_general,0.7408021688461304,0,0.9261111522422901,0.9498519410705677,0.9380330689936447
frozen_self,-0.010824657045304775,7,0.9998112916946411,32,raw residual-stream sample means and centered covariance,182.43786833025388,40.19405942869416,S_math,0.49078139662742615,5,0.12373652034927794,0.536242083302125,0.32903861280034735
frozen_self,-0.014644581824541092,14,0.9993805289268494,32,raw residual-stream sample means and centered covariance,180.94833550841997,34.34027857671571,S_math,0.5032138228416443,5,0.14487155399036197,0.5288755884865943,0.3249929984525832
frozen_self,-0.01609334722161293,21,0.9977208971977234,32,raw residual-stream sample means and centered covariance,185.26450705201265,48.06702415119674,S_math,0.6645951867103577,5,0.10345970131117467,0.5260209144553897,0.3046063705596539
frozen_self,0.08482396602630615,7,0.9999991059303284,32,raw residual-stream sample means and centered covariance,1.0217516376174942,1.0032755146609287,E_math,0.9598242044448853,5,0.9983662436634587,0.999017181791544,0.9986616722548347
frozen_self,0.06678740680217743,14,0.9999991059303284,32,raw residual-stream sample means and centered covariance,1.0455675525913117,1.0072959952335896,E_math,0.9236818552017212,5,0.9963717807795004,0.9979002218885559,0.9970791199375166
frozen_self,0.033838238567113876,21,0.9999969005584717,32,raw residual-stream sample means and centered covariance,1.176097630704196,1.0309210337962453,E_math,0.8745411038398743,5,0.9848876506511944,0.9917871190707475,0.9883077328167328
frozen_self,-0.012128031812608242,7,0.9999994039535522,30,raw residual-stream sample means and centered covariance,1.0555876151215373,1.0087427629669463,E_math_hard_v2,0.816024661064148,5,0.9956570047134475,0.9972709771524678,0.9963913639142127
frozen_self,-0.011758383363485336,14,0.9999986886978149,30,raw residual-stream sample means and centered covariance,1.118411692199362,1.019649298202623,E_math_hard_v2,0.7905806303024292,5,0.9903173818013868,0.9941303862743839,0.9922045640672795
frozen_self,-0.01846514642238617,21,0.9999887943267822,30,raw residual-stream sample means and centered covariance,1.4781916253827734,1.0824423029790304,E_math_hard_v2,0.8094448447227478,5,0.9611560646772381,0.9775119568202997,0.9695307605764665
frozen_self,0.0014201430603861809,7,0.9999976754188538,128,raw residual-stream sample means and centered covariance,1.0868832114634963,1.0135066738004022,E_ood,0.8423471450805664,5,0.9933141301337098,0.9955431165830212,0.9945360573961587
frozen_self,-0.0027440579142421484,14,0.9999957084655762,128,raw residual-stream sample means and centered covariance,1.2066468473400875,1.033670598488087,E_ood,0.7891420125961304,5,0.9835770439394191,0.9893904373840531,0.9867483511011339
frozen_self,-0.0045548491179943085,21,0.9999533295631409,128,raw residual-stream sample means and centered covariance,1.9495386642430417,1.1473034284771206,E_ood,0.7780648469924927,5,0.9335817904370368,0.9566219367871257,0.9458815742777376
frozen_self,0.014364360831677914,7,0.9999974370002747,541,raw residual-stream sample means and centered covariance,1.0244745575472702,1.0035285135047924,E_if,0.9854297041893005,5,0.998240387454652,0.9988310510316948,0.9985441938811052
frozen_self,0.01226828619837761,14,0.9999973773956299,541,raw residual-stream sample means and centered covariance,1.0582109698615507,1.0089420938055884,E_if,0.965275228023529,5,0.9955586477137267,0.9970820599245255,0.9963184469091485
frozen_self,0.006384617183357477,21,0.9999868273735046,541,raw residual-stream sample means and centered covariance,1.2349159847497453,1.0385774234615175,E_if,0.9303680062294006,5,0.9812505747657231,0.9880769534822352,0.9848164448897871
frozen_self,0.0024274184834212065,7,0.9999979734420776,128,raw residual-stream sample means and centered covariance,1.0908515887311687,1.0137360166326852,E_general,0.8786705732345581,5,0.9932018598512179,0.9949394400454863,0.9939851344056807
frozen_self,-0.0024655540473759174,14,0.9999978542327881,128,raw residual-stream sample means and centered covariance,1.2180364705628994,1.0345270062398673,E_general,0.7967212200164795,5,0.9831704248334346,0.988023368140308,0.9853231460506536
frozen_self,-0.006768495310097933,21,0.9999911785125732,128,raw residual-stream sample means and centered covariance,2.108744137085791,1.1660546432821288,E_general,0.7412589192390442,5,0.9260448938427023,0.9498441338653539,0.9379976509460052
frozen_self,-0.010550495237112045,7,0.998079776763916,32,raw residual-stream sample means and centered covariance,185.87581041173306,42.42050979530739,S_math,0.4906694293022156,20,0.1189543475143205,0.5342421753151577,0.32290895086137666
frozen_self,-0.012560353614389896,14,0.9941831231117249,32,raw residual-stream sample means and centered covariance,177.5779364050616,32.82691281189116,S_math,0.5167310833930969,20,0.15021776454879532,0.5323716092945171,0.32640498553998226
frozen_self,-0.0145033597946167,21,0.9878630042076111,32,raw residual-stream sample means and centered covariance,174.65578314309937,43.87066486450969,S_math,0.6821995377540588,20,0.11209538013169128,0.5383495418064428,0.3149076708581228
frozen_self,0.0847165659070015,7,0.9999988675117493,32,raw residual-stream sample means and centered covariance,1.021857840440609,1.003293251483736,E_math,0.9596471786499023,20,0.9983574186141663,0.999013134408757,0.998655235868
frozen_self,0.06679168343544006,14,0.9999983310699463,32,raw residual-stream sample means and centered covariance,1.0453527079586127,1.0072667795988866,E_math,0.9236293435096741,20,0.9963862305726525,0.9979158086436589,0.9970939743089283
frozen_self,0.03324643149971962,21,0.9999783635139465,32,raw residual-stream sample means and centered covariance,1.1760338662726764,1.0310481396167608,E_math,0.8763955235481262,20,0.9848268589109572,0.9918910872543016,0.9883593787702034
frozen_self,-0.012197049334645271,7,0.9999998211860657,30,raw residual-stream sample means and centered covariance,1.0557892281885437,1.008776502599668,E_math_hard_v2,0.8161098957061768,20,0.9956403536518535,0.9972599421293985,0.9963770037155029
