arm,base_r_epsilon,epsilon,layer,module,n_samples,probe,r_epsilon,r_epsilon_delta,shared_base_compute,step,track
alpha05,649,0.01,18,self_attn.q_proj,32,S_math,649,0,True,0,per_checkpoint
alpha05,313,0.025,18,self_attn.q_proj,32,S_math,313,0,True,0,per_checkpoint
alpha05,134,0.05,18,self_attn.q_proj,32,S_math,134,0,True,0,per_checkpoint
alpha05,39,0.1,18,self_attn.q_proj,32,S_math,39,0,True,0,per_checkpoint
alpha05,371,0.01,18,self_attn.k_proj,32,S_math,371,0,True,0,per_checkpoint
alpha05,206,0.025,18,self_attn.k_proj,32,S_math,206,0,True,0,per_checkpoint
alpha05,105,0.05,18,self_attn.k_proj,32,S_math,105,0,True,0,per_checkpoint
alpha05,41,0.1,18,self_attn.k_proj,32,S_math,41,0,True,0,per_checkpoint
alpha05,719,0.01,18,self_attn.v_proj,32,S_math,719,0,True,0,per_checkpoint
alpha05,561,0.025,18,self_attn.v_proj,32,S_math,561,0,True,0,per_checkpoint
alpha05,420,0.05,18,self_attn.v_proj,32,S_math,420,0,True,0,per_checkpoint
alpha05,272,0.1,18,self_attn.v_proj,32,S_math,272,0,True,0,per_checkpoint
alpha05,1338,0.01,18,self_attn.o_proj,32,S_math,1338,0,True,0,per_checkpoint
alpha05,958,0.025,18,self_attn.o_proj,32,S_math,958,0,True,0,per_checkpoint
alpha05,663,0.05,18,self_attn.o_proj,32,S_math,663,0,True,0,per_checkpoint
alpha05,383,0.1,18,self_attn.o_proj,32,S_math,383,0,True,0,per_checkpoint
alpha05,1490,0.01,18,mlp.gate_proj,32,S_math,1490,0,True,0,per_checkpoint
alpha05,956,0.025,18,mlp.gate_proj,32,S_math,956,0,True,0,per_checkpoint
alpha05,542,0.05,18,mlp.gate_proj,32,S_math,542,0,True,0,per_checkpoint
alpha05,206,0.1,18,mlp.gate_proj,32,S_math,206,0,True,0,per_checkpoint
alpha05,1931,0.01,18,mlp.up_proj,32,S_math,1931,0,True,0,per_checkpoint
alpha05,1521,0.025,18,mlp.up_proj,32,S_math,1521,0,True,0,per_checkpoint
alpha05,1133,0.05,18,mlp.up_proj,32,S_math,1133,0,True,0,per_checkpoint
alpha05,711,0.1,18,mlp.up_proj,32,S_math,711,0,True,0,per_checkpoint
alpha05,2158,0.01,18,mlp.down_proj,32,S_math,2158,0,True,0,per_checkpoint
alpha05,1850,0.025,18,mlp.down_proj,32,S_math,1850,0,True,0,per_checkpoint
alpha05,1523,0.05,18,mlp.down_proj,32,S_math,1523,0,True,0,per_checkpoint
alpha05,1121,0.1,18,mlp.down_proj,32,S_math,1121,0,True,0,per_checkpoint
alpha05,649,0.01,18,self_attn.q_proj,32,S_math,659,10,False,5,per_checkpoint
alpha05,313,0.025,18,self_attn.q_proj,32,S_math,318,5,False,5,per_checkpoint
alpha05,134,0.05,18,self_attn.q_proj,32,S_math,137,3,False,5,per_checkpoint
alpha05,39,0.1,18,self_attn.q_proj,32,S_math,39,0,False,5,per_checkpoint
alpha05,371,0.01,18,self_attn.k_proj,32,S_math,375,4,False,5,per_checkpoint
alpha05,206,0.025,18,self_attn.k_proj,32,S_math,209,3,False,5,per_checkpoint
alpha05,105,0.05,18,self_attn.k_proj,32,S_math,107,2,False,5,per_checkpoint
alpha05,41,0.1,18,self_attn.k_proj,32,S_math,42,1,False,5,per_checkpoint
alpha05,719,0.01,18,self_attn.v_proj,32,S_math,724,5,False,5,per_checkpoint
alpha05,561,0.025,18,self_attn.v_proj,32,S_math,567,6,False,5,per_checkpoint
alpha05,420,0.05,18,self_attn.v_proj,32,S_math,427,7,False,5,per_checkpoint
alpha05,272,0.1,18,self_attn.v_proj,32,S_math,278,6,False,5,per_checkpoint
alpha05,1338,0.01,18,self_attn.o_proj,32,S_math,1354,16,False,5,per_checkpoint
alpha05,958,0.025,18,self_attn.o_proj,32,S_math,976,18,False,5,per_checkpoint
alpha05,663,0.05,18,self_attn.o_proj,32,S_math,679,16,False,5,per_checkpoint
alpha05,383,0.1,18,self_attn.o_proj,32,S_math,396,13,False,5,per_checkpoint
alpha05,1490,0.01,18,mlp.gate_proj,32,S_math,1509,19,False,5,per_checkpoint
alpha05,956,0.025,18,mlp.gate_proj,32,S_math,975,19,False,5,per_checkpoint
alpha05,542,0.05,18,mlp.gate_proj,32,S_math,557,15,False,5,per_checkpoint
alpha05,206,0.1,18,mlp.gate_proj,32,S_math,214,8,False,5,per_checkpoint
alpha05,1931,0.01,18,mlp.up_proj,32,S_math,1945,14,False,5,per_checkpoint
alpha05,1521,0.025,18,mlp.up_proj,32,S_math,1540,19,False,5,per_checkpoint
alpha05,1133,0.05,18,mlp.up_proj,32,S_math,1153,20,False,5,per_checkpoint
alpha05,711,0.1,18,mlp.up_proj,32,S_math,729,18,False,5,per_checkpoint
alpha05,2158,0.01,18,mlp.down_proj,32,S_math,2160,2,False,5,per_checkpoint
alpha05,1850,0.025,18,mlp.down_proj,32,S_math,1852,2,False,5,per_checkpoint
alpha05,1523,0.05,18,mlp.down_proj,32,S_math,1525,2,False,5,per_checkpoint
alpha05,1121,0.1,18,mlp.down_proj,32,S_math,1123,2,False,5,per_checkpoint
alpha05,649,0.01,18,self_attn.q_proj,32,S_math,655,6,False,20,per_checkpoint
alpha05,313,0.025,18,self_attn.q_proj,32,S_math,318,5,False,20,per_checkpoint
alpha05,134,0.05,18,self_attn.q_proj,32,S_math,138,4,False,20,per_checkpoint
alpha05,39,0.1,18,self_attn.q_proj,32,S_math,41,2,False,20,per_checkpoint
alpha05,371,0.01,18,self_attn.k_proj,32,S_math,374,3,False,20,per_checkpoint
alpha05,206,0.025,18,self_attn.k_proj,32,S_math,209,3,False,20,per_checkpoint
alpha05,105,0.05,18,self_attn.k_proj,32,S_math,108,3,False,20,per_checkpoint
alpha05,41,0.1,18,self_attn.k_proj,32,S_math,43,2,False,20,per_checkpoint
alpha05,719,0.01,18,self_attn.v_proj,32,S_math,718,-1,False,20,per_checkpoint
alpha05,561,0.025,18,self_attn.v_proj,32,S_math,560,-1,False,20,per_checkpoint
alpha05,420,0.05,18,self_attn.v_proj,32,S_math,420,0,False,20,per_checkpoint
alpha05,272,0.1,18,self_attn.v_proj,32,S_math,272,0,False,20,per_checkpoint
alpha05,1338,0.01,18,self_attn.o_proj,32,S_math,1329,-9,False,20,per_checkpoint
alpha05,958,0.025,18,self_attn.o_proj,32,S_math,948,-10,False,20,per_checkpoint
alpha05,663,0.05,18,self_attn.o_proj,32,S_math,653,-10,False,20,per_checkpoint
alpha05,383,0.1,18,self_attn.o_proj,32,S_math,373,-10,False,20,per_checkpoint
alpha05,1490,0.01,18,mlp.gate_proj,32,S_math,1478,-12,False,20,per_checkpoint
alpha05,956,0.025,18,mlp.gate_proj,32,S_math,944,-12,False,20,per_checkpoint
alpha05,542,0.05,18,mlp.gate_proj,32,S_math,531,-11,False,20,per_checkpoint
alpha05,206,0.1,18,mlp.gate_proj,32,S_math,200,-6,False,20,per_checkpoint
alpha05,1931,0.01,18,mlp.up_proj,32,S_math,1923,-8,False,20,per_checkpoint
alpha05,1521,0.025,18,mlp.up_proj,32,S_math,1513,-8,False,20,per_checkpoint
alpha05,1133,0.05,18,mlp.up_proj,32,S_math,1124,-9,False,20,per_checkpoint
alpha05,711,0.1,18,mlp.up_proj,32,S_math,703,-8,False,20,per_checkpoint
alpha05,2158,0.01,18,mlp.down_proj,32,S_math,2154,-4,False,20,per_checkpoint
alpha05,1850,0.025,18,mlp.down_proj,32,S_math,1843,-7,False,20,per_checkpoint
alpha05,1523,0.05,18,mlp.down_proj,32,S_math,1514,-9,False,20,per_checkpoint
alpha05,1121,0.1,18,mlp.down_proj,32,S_math,1111,-10,False,20,per_checkpoint
alpha05,649,0.01,18,self_attn.q_proj,32,S_math,646,-3,False,40,per_checkpoint
alpha05,313,0.025,18,self_attn.q_proj,32,S_math,313,0,False,40,per_checkpoint
alpha05,134,0.05,18,self_attn.q_proj,32,S_math,136,2,False,40,per_checkpoint
alpha05,39,0.1,18,self_attn.q_proj,32,S_math,40,1,False,40,per_checkpoint
alpha05,371,0.01,18,self_attn.k_proj,32,S_math,371,0,False,40,per_checkpoint
alpha05,206,0.025,18,self_attn.k_proj,32,S_math,208,2,False,40,per_checkpoint
alpha05,105,0.05,18,self_attn.k_proj,32,S_math,107,2,False,40,per_checkpoint
alpha05,41,0.1,18,self_attn.k_proj,32,S_math,43,2,False,40,per_checkpoint
alpha05,719,0.01,18,self_attn.v_proj,32,S_math,713,-6,False,40,per_checkpoint
alpha05,561,0.025,18,self_attn.v_proj,32,S_math,554,-7,False,40,per_checkpoint
alpha05,420,0.05,18,self_attn.v_proj,32,S_math,414,-6,False,40,per_checkpoint
alpha05,272,0.1,18,self_attn.v_proj,32,S_math,267,-5,False,40,per_checkpoint
alpha05,1338,0.01,18,self_attn.o_proj,32,S_math,1311,-27,False,40,per_checkpoint
alpha05,958,0.025,18,self_attn.o_proj,32,S_math,931,-27,False,40,per_checkpoint
alpha05,663,0.05,18,self_attn.o_proj,32,S_math,637,-26,False,40,per_checkpoint
alpha05,383,0.1,18,self_attn.o_proj,32,S_math,361,-22,False,40,per_checkpoint
alpha05,1490,0.01,18,mlp.gate_proj,32,S_math,1459,-31,False,40,per_checkpoint
alpha05,956,0.025,18,mlp.gate_proj,32,S_math,924,-32,False,40,per_checkpoint
alpha05,542,0.05,18,mlp.gate_proj,32,S_math,516,-26,False,40,per_checkpoint
alpha05,206,0.1,18,mlp.gate_proj,32,S_math,192,-14,False,40,per_checkpoint
alpha05,1931,0.01,18,mlp.up_proj,32,S_math,1908,-23,False,40,per_checkpoint
alpha05,1521,0.025,18,mlp.up_proj,32,S_math,1493,-28,False,40,per_checkpoint
alpha05,1133,0.05,18,mlp.up_proj,32,S_math,1104,-29,False,40,per_checkpoint
alpha05,711,0.1,18,mlp.up_proj,32,S_math,686,-25,False,40,per_checkpoint
alpha05,2158,0.01,18,mlp.down_proj,32,S_math,2150,-8,False,40,per_checkpoint
alpha05,1850,0.025,18,mlp.down_proj,32,S_math,1836,-14,False,40,per_checkpoint
alpha05,1523,0.05,18,mlp.down_proj,32,S_math,1506,-17,False,40,per_checkpoint
alpha05,1121,0.1,18,mlp.down_proj,32,S_math,1103,-18,False,40,per_checkpoint
alpha05,649,0.01,18,self_attn.q_proj,32,S_math,641,-8,False,80,per_checkpoint
alpha05,313,0.025,18,self_attn.q_proj,32,S_math,310,-3,False,80,per_checkpoint
alpha05,134,0.05,18,self_attn.q_proj,32,S_math,134,0,False,80,per_checkpoint
alpha05,39,0.1,18,self_attn.q_proj,32,S_math,39,0,False,80,per_checkpoint
alpha05,371,0.01,18,self_attn.k_proj,32,S_math,372,1,False,80,per_checkpoint
alpha05,206,0.025,18,self_attn.k_proj,32,S_math,209,3,False,80,per_checkpoint
alpha05,105,0.05,18,self_attn.k_proj,32,S_math,109,4,False,80,per_checkpoint
alpha05,41,0.1,18,self_attn.k_proj,32,S_math,43,2,False,80,per_checkpoint
alpha05,719,0.01,18,self_attn.v_proj,32,S_math,713,-6,False,80,per_checkpoint
alpha05,561,0.025,18,self_attn.v_proj,32,S_math,554,-7,False,80,per_checkpoint
alpha05,420,0.05,18,self_attn.v_proj,32,S_math,415,-5,False,80,per_checkpoint
alpha05,272,0.1,18,self_attn.v_proj,32,S_math,268,-4,False,80,per_checkpoint
alpha05,1338,0.01,18,self_attn.o_proj,32,S_math,1325,-13,False,80,per_checkpoint
alpha05,958,0.025,18,self_attn.o_proj,32,S_math,946,-12,False,80,per_checkpoint
alpha05,663,0.05,18,self_attn.o_proj,32,S_math,652,-11,False,80,per_checkpoint
alpha05,383,0.1,18,self_attn.o_proj,32,S_math,375,-8,False,80,per_checkpoint
alpha05,1490,0.01,18,mlp.gate_proj,32,S_math,1463,-27,False,80,per_checkpoint
alpha05,956,0.025,18,mlp.gate_proj,32,S_math,930,-26,False,80,per_checkpoint
alpha05,542,0.05,18,mlp.gate_proj,32,S_math,521,-21,False,80,per_checkpoint
alpha05,206,0.1,18,mlp.gate_proj,32,S_math,196,-10,False,80,per_checkpoint
alpha05,1931,0.01,18,mlp.up_proj,32,S_math,1907,-24,False,80,per_checkpoint
alpha05,1521,0.025,18,mlp.up_proj,32,S_math,1492,-29,False,80,per_checkpoint
alpha05,1133,0.05,18,mlp.up_proj,32,S_math,1103,-30,False,80,per_checkpoint
alpha05,711,0.1,18,mlp.up_proj,32,S_math,686,-25,False,80,per_checkpoint
alpha05,2158,0.01,18,mlp.down_proj,32,S_math,2151,-7,False,80,per_checkpoint
alpha05,1850,0.025,18,mlp.down_proj,32,S_math,1839,-11,False,80,per_checkpoint
alpha05,1523,0.05,18,mlp.down_proj,32,S_math,1510,-13,False,80,per_checkpoint
alpha05,1121,0.1,18,mlp.down_proj,32,S_math,1108,-13,False,80,per_checkpoint
alpha05,649,0.01,18,self_attn.q_proj,32,S_math,627,-22,False,160,per_checkpoint
alpha05,313,0.025,18,self_attn.q_proj,32,S_math,299,-14,False,160,per_checkpoint
alpha05,134,0.05,18,self_attn.q_proj,32,S_math,128,-6,False,160,per_checkpoint
alpha05,39,0.1,18,self_attn.q_proj,32,S_math,37,-2,False,160,per_checkpoint
alpha05,371,0.01,18,self_attn.k_proj,32,S_math,369,-2,False,160,per_checkpoint
alpha05,206,0.025,18,self_attn.k_proj,32,S_math,206,0,False,160,per_checkpoint
alpha05,105,0.05,18,self_attn.k_proj,32,S_math,107,2,False,160,per_checkpoint
alpha05,41,0.1,18,self_attn.k_proj,32,S_math,43,2,False,160,per_checkpoint
alpha05,719,0.01,18,self_attn.v_proj,32,S_math,713,-6,False,160,per_checkpoint
alpha05,561,0.025,18,self_attn.v_proj,32,S_math,553,-8,False,160,per_checkpoint
alpha05,420,0.05,18,self_attn.v_proj,32,S_math,414,-6,False,160,per_checkpoint
alpha05,272,0.1,18,self_attn.v_proj,32,S_math,267,-5,False,160,per_checkpoint
alpha05,1338,0.01,18,self_attn.o_proj,32,S_math,1318,-20,False,160,per_checkpoint
alpha05,958,0.025,18,self_attn.o_proj,32,S_math,940,-18,False,160,per_checkpoint
alpha05,663,0.05,18,self_attn.o_proj,32,S_math,647,-16,False,160,per_checkpoint
alpha05,383,0.1,18,self_attn.o_proj,32,S_math,371,-12,False,160,per_checkpoint
alpha05,1490,0.01,18,mlp.gate_proj,32,S_math,1452,-38,False,160,per_checkpoint
alpha05,956,0.025,18,mlp.gate_proj,32,S_math,918,-38,False,160,per_checkpoint
alpha05,542,0.05,18,mlp.gate_proj,32,S_math,511,-31,False,160,per_checkpoint
alpha05,206,0.1,18,mlp.gate_proj,32,S_math,190,-16,False,160,per_checkpoint
alpha05,1931,0.01,18,mlp.up_proj,32,S_math,1904,-27,False,160,per_checkpoint
alpha05,1521,0.025,18,mlp.up_proj,32,S_math,1488,-33,False,160,per_checkpoint
alpha05,1133,0.05,18,mlp.up_proj,32,S_math,1099,-34,False,160,per_checkpoint
alpha05,711,0.1,18,mlp.up_proj,32,S_math,682,-29,False,160,per_checkpoint
alpha05,2158,0.01,18,mlp.down_proj,32,S_math,2147,-11,False,160,per_checkpoint
alpha05,1850,0.025,18,mlp.down_proj,32,S_math,1832,-18,False,160,per_checkpoint
alpha05,1523,0.05,18,mlp.down_proj,32,S_math,1502,-21,False,160,per_checkpoint
alpha05,1121,0.1,18,mlp.down_proj,32,S_math,1099,-22,False,160,per_checkpoint
