model,arm,checkpoint,path,complete,error,config_bytes,index,weight_files,weight_bytes,source_type,source_path,state_loadable,adapter_complete
qwen,opd,5,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_005,True,,1536,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_005/model.safetensors.index.json,2,8044981992,direct_merged,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_005,True,False
qwen,opd,20,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_020,True,,1536,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_020/model.safetensors.index.json,2,8044981992,direct_merged,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_020,True,False
qwen,opd,40,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_040,True,,1536,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_040/model.safetensors.index.json,2,8044981992,direct_merged,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_040,True,False
qwen,opd,160,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_160,True,,1536,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_160/model.safetensors.index.json,2,8044981992,direct_merged,/root/autodl-tmp/cycle08_opd_trajectory/_merged_models/step_160,True,False
qwen,sft,5,/root/autodl-tmp/cycle09_r3/sft_merged/step_005,False,/root/autodl-tmp/cycle09_r3/sft_merged/step_005/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle07_base_sft_trajectory/checkpoints/step_005,True,True
qwen,sft,20,/root/autodl-tmp/cycle09_r3/sft_merged/step_020,False,/root/autodl-tmp/cycle09_r3/sft_merged/step_020/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle07_base_sft_trajectory/checkpoints/step_020,True,True
qwen,sft,40,/root/autodl-tmp/cycle09_r3/sft_merged/step_040,False,/root/autodl-tmp/cycle09_r3/sft_merged/step_040/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle07_base_sft_trajectory/checkpoints/step_040,True,True
qwen,sft,160,/root/autodl-tmp/cycle09_r3/sft_merged/step_160,False,/root/autodl-tmp/cycle09_r3/sft_merged/step_160/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle07_base_sft_trajectory/checkpoints/step_160,True,True
qwen,offkd,5,/root/autodl-tmp/cycle09_offkd/_merged_models/step_005,False,/root/autodl-tmp/cycle09_offkd/_merged_models/step_005/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_offkd/checkpoints/checkpoint-000005,True,True
qwen,offkd,20,/root/autodl-tmp/cycle09_offkd/_merged_models/step_020,False,/root/autodl-tmp/cycle09_offkd/_merged_models/step_020/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_offkd/checkpoints/checkpoint-000020,True,True
qwen,offkd,40,/root/autodl-tmp/cycle09_offkd/_merged_models/step_040,False,/root/autodl-tmp/cycle09_offkd/_merged_models/step_040/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_offkd/checkpoints/checkpoint-000040,True,True
qwen,offkd,160,/root/autodl-tmp/cycle09_offkd/_merged_models/step_160,False,/root/autodl-tmp/cycle09_offkd/_merged_models/step_160/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_offkd/checkpoints/checkpoint-000160,True,True
qwen,seqkd,5,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_005,False,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_005/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_seqkd/checkpoints/checkpoint-000005,True,True
qwen,seqkd,20,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_020,False,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_020/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_seqkd/checkpoints/checkpoint-000020,True,True
qwen,seqkd,40,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_040,False,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_040/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_seqkd/checkpoints/checkpoint-000040,True,True
qwen,seqkd,160,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_160,False,/root/autodl-tmp/cycle09_seqkd/_merged_models/step_160/config.json,0,,0,0,ephemeral_bf16_merge_from_adapter,/root/autodl-tmp/cycle09_seqkd/checkpoints/checkpoint-000160,True,True
