model,target,comparison,metric,left_value,right_value,left_minus_right
llama,absolute_delta_nll_cumulative,C5_vs_A,r2_oof,0.7384771293014928,0.1814103250232229,0.5570668042782698
llama,absolute_delta_nll_cumulative,C5_vs_Pk5,r2_oof,0.7384771293014928,0.4362474392962345,0.3022296900052583
llama,absolute_delta_nll_cumulative,A+C5_vs_C5,r2_oof,0.651459945334999,0.7384771293014928,-0.08701718396649383
llama,absolute_delta_nll_cumulative,Pk5+C5_vs_Pk5,r2_oof,0.7275701995965691,0.4362474392962345,0.2913227603003346
llama,cumulative_kl_base_to_current,C5_vs_A,r2_oof,0.7198469998650567,0.1043470881770638,0.6154999116879929
llama,cumulative_kl_base_to_current,C5_vs_Pk5,r2_oof,0.7198469998650567,-0.3489286355143952,1.068775635379452
llama,cumulative_kl_base_to_current,A+C5_vs_C5,r2_oof,0.7224694555463279,0.7198469998650567,0.002622455681271174
llama,cumulative_kl_base_to_current,Pk5+C5_vs_Pk5,r2_oof,0.4333655963557264,-0.3489286355143952,0.7822942318701216
llama,delta_nll_cumulative,C5_vs_A,r2_oof,0.5406740926072509,0.0216730456579165,0.5190010469493344
llama,delta_nll_cumulative,C5_vs_Pk5,r2_oof,0.5406740926072509,-0.3635498241585195,0.9042239167657704
llama,delta_nll_cumulative,A+C5_vs_C5,r2_oof,0.3730747976290685,0.5406740926072509,-0.16759929497818238
llama,delta_nll_cumulative,Pk5+C5_vs_Pk5,r2_oof,-0.0076567612700937,-0.3635498241585195,0.3558930628884258
llama,is_opd,C5_vs_A,auc_oof,0.7434895833333334,0.5559895833333334,0.1875
llama,is_opd,C5_vs_Pk5,auc_oof,0.7434895833333334,0.6875,0.05598958333333337
llama,is_opd,A+C5_vs_C5,auc_oof,0.7513020833333334,0.7434895833333334,0.0078125
llama,is_opd,Pk5+C5_vs_Pk5,auc_oof,0.7239583333333334,0.6875,0.03645833333333337
qwen,absolute_delta_nll_cumulative,C5_vs_A,r2_oof,0.2472780640677733,0.111649725252056,0.1356283388157173
qwen,absolute_delta_nll_cumulative,C5_vs_Pk5,r2_oof,0.2472780640677733,0.2606874894179501,-0.013409425350176807
qwen,absolute_delta_nll_cumulative,A+C5_vs_C5,r2_oof,0.0331011505738666,0.2472780640677733,-0.21417691349390672
qwen,absolute_delta_nll_cumulative,Pk5+C5_vs_Pk5,r2_oof,0.2988221432334714,0.2606874894179501,0.03813465381552128
qwen,cumulative_kl_base_to_current,C5_vs_A,r2_oof,0.3440327872463127,-0.5747402211472061,0.9187730083935188
qwen,cumulative_kl_base_to_current,C5_vs_Pk5,r2_oof,0.3440327872463127,0.0524967848211954,0.2915360024251173
qwen,cumulative_kl_base_to_current,A+C5_vs_C5,r2_oof,0.0752673789077501,0.3440327872463127,-0.2687654083385626
qwen,cumulative_kl_base_to_current,Pk5+C5_vs_Pk5,r2_oof,-0.0025572300598728,0.0524967848211954,-0.0550540148810682
qwen,delta_nll_cumulative,C5_vs_A,r2_oof,0.278142581004044,-0.2841870602527394,0.5623296412567833
qwen,delta_nll_cumulative,C5_vs_Pk5,r2_oof,0.278142581004044,-0.263814346244293,0.541956927248337
qwen,delta_nll_cumulative,A+C5_vs_C5,r2_oof,0.3283957104182431,0.278142581004044,0.05025312941419913
qwen,delta_nll_cumulative,Pk5+C5_vs_Pk5,r2_oof,0.1827860668718914,-0.263814346244293,0.44660041311618437
qwen,is_opd,C5_vs_A,auc_oof,0.7083333333333334,0.5950520833333334,0.11328125
qwen,is_opd,C5_vs_Pk5,auc_oof,0.7083333333333334,0.5208333333333334,0.1875
qwen,is_opd,A+C5_vs_C5,auc_oof,0.7122395833333334,0.7083333333333334,0.00390625
qwen,is_opd,Pk5+C5_vs_Pk5,auc_oof,0.6666666666666666,0.5208333333333334,0.14583333333333326
