model,arm,checkpoint,probe_name,status,n_samples,wall_seconds
qwen,opd,5,E_general,complete,32,0.913
qwen,opd,5,E_if,complete,32,0.761
qwen,opd,5,E_math,complete,32,0.738
qwen,opd,5,E_ood,complete,32,1.019
qwen,opd,20,E_general,complete,32,0.554
qwen,opd,20,E_if,complete,32,0.516
qwen,opd,20,E_math,complete,32,0.394
qwen,opd,20,E_ood,complete,32,0.642
qwen,opd,40,E_general,complete,32,0.806
qwen,opd,40,E_if,complete,32,0.38
qwen,opd,40,E_math,complete,32,0.376
qwen,opd,40,E_ood,complete,32,0.654
qwen,opd,160,E_general,complete,32,0.69
qwen,opd,160,E_if,complete,32,0.372
qwen,opd,160,E_math,complete,32,0.427
qwen,opd,160,E_ood,complete,32,0.632
qwen,sft,5,E_general,complete,32,0.787
qwen,sft,5,E_if,complete,32,0.393
qwen,sft,5,E_math,complete,32,0.376
qwen,sft,5,E_ood,complete,32,0.639
qwen,sft,20,E_general,complete,32,0.737
qwen,sft,20,E_if,complete,32,0.38
qwen,sft,20,E_math,complete,32,0.379
qwen,sft,20,E_ood,complete,32,0.634
qwen,sft,40,E_general,complete,32,0.715
qwen,sft,40,E_if,complete,32,0.363
qwen,sft,40,E_math,complete,32,0.374
qwen,sft,40,E_ood,complete,32,0.638
qwen,sft,160,E_general,complete,32,0.624
qwen,sft,160,E_if,complete,32,0.361
qwen,sft,160,E_math,complete,32,0.379
qwen,sft,160,E_ood,complete,32,0.643
qwen,offkd,5,E_general,complete,32,0.649
qwen,offkd,5,E_if,complete,32,0.403
qwen,offkd,5,E_math,complete,32,0.391
qwen,offkd,5,E_ood,complete,32,0.644
qwen,offkd,20,E_general,complete,32,0.625
qwen,offkd,20,E_if,complete,32,0.366
qwen,offkd,20,E_math,complete,32,0.373
qwen,offkd,20,E_ood,complete,32,0.658
qwen,offkd,40,E_general,complete,32,0.638
qwen,offkd,40,E_if,complete,32,0.376
qwen,offkd,40,E_math,complete,32,0.401
qwen,offkd,40,E_ood,complete,32,0.64
qwen,offkd,160,E_general,complete,32,0.548
qwen,offkd,160,E_if,complete,32,0.421
qwen,offkd,160,E_math,complete,32,0.384
qwen,offkd,160,E_ood,complete,32,0.642
qwen,seqkd,5,E_general,complete,32,0.731
qwen,seqkd,5,E_if,complete,32,0.386
qwen,seqkd,5,E_math,complete,32,0.373
qwen,seqkd,5,E_ood,complete,32,0.629
qwen,seqkd,20,E_general,complete,32,0.636
qwen,seqkd,20,E_if,complete,32,0.382
qwen,seqkd,20,E_math,complete,32,0.432
qwen,seqkd,20,E_ood,complete,32,0.675
qwen,seqkd,40,E_general,complete,32,0.53
qwen,seqkd,40,E_if,complete,32,0.383
qwen,seqkd,40,E_math,complete,32,0.394
qwen,seqkd,40,E_ood,complete,32,0.646
qwen,seqkd,160,E_general,complete,32,0.55
qwen,seqkd,160,E_if,complete,32,0.387
qwen,seqkd,160,E_math,complete,32,0.39
qwen,seqkd,160,E_ood,complete,32,0.648
