model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0
qwen,opd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854605223609055,1.0148837042792676,0.992638793686369,0.995149392204792,0.9963099523841397,0.93739914894104,-0.007432702928781509,0.9999796152114868
qwen,opd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.0180238475076269,1.0027608623338653,0.9986224076956741,0.998943235424836,0.9992483275862579,0.9903820753097534,-0.0054014381021261215,0.9999890923500061
qwen,opd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248331425442834,1.0037980375135362,0.9981063573975237,0.9984556529322294,0.9988763300074841,0.9571158289909363,0.09654633700847626,0.9999933838844299
qwen,opd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1251370446076645,1.025544921807844,0.9874515816406138,0.994272997444545,0.9956157251277861,0.920821487903595,-0.028794877231121063,0.9983099102973938
qwen,opd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0857016838385072,1.0149638980585023,0.9925995165997896,0.9951544338207527,0.9963202290027268,0.936863899230957,-0.007335997186601162,0.9999477863311768
qwen,opd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181405908660814,1.0027809673347774,0.9986123962430256,0.9989392151681886,0.9992444315728047,0.9902269840240479,-0.004189027938991785,0.999971866607666
qwen,opd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248353242017085,1.0037992304832457,0.9981057642498632,0.9984555461768925,0.9988773739700897,0.9566214680671692,0.09734836220741272,0.9999816417694092
qwen,opd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1285839106482585,1.0268763265799388,0.9868071699645643,0.9943080678136713,0.9956467530683949,0.9206600785255432,-0.028848251327872276,0.9969181418418884
qwen,opd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.0868252466377293,1.015195582764399,0.9924861744687116,0.9950966946396835,0.9962812020311202,0.9367428421974182,-0.007690458092838526,0.999923586845398
qwen,opd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0185377308478134,1.002848518084987,0.9985787621163021,0.9989159034339814,0.9992287821001917,0.9899600744247437,-0.004443589597940445,0.9999278783798218
