model,arm,checkpoint,probe_name,layer,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track
qwen,opd,5,E_general,18,0.0037873535749047794,5,E_general,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0032664775662851,0.0584555362584069,-0.0100906790878525,128,qwen_d4_merged_state
qwen,opd,5,E_if,18,0.00108470279118198,5,E_if,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0037016445405474,0.0656295853517192,-0.0119688676699458,541,qwen_d4_merged_state
qwen,opd,5,E_math,18,0.00244966634003376,5,E_math,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0070450359758688,0.064816016850993,-0.0109448691296274,500,qwen_d4_merged_state
qwen,opd,5,E_ood,18,0.00238092913695488,5,E_ood,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0029942079099782,0.043746232317062,-0.0033583746708245,128,qwen_d4_merged_state
qwen,opd,20,E_general,18,0.01168264509490728,5,E_general,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.0379191213432932,0.207255485584028,-0.0076255502026469,128,qwen_d4_merged_state
qwen,opd,20,E_if,18,0.0011051344072700198,5,E_if,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.0697719935575661,0.2912015336498536,-0.0028257798567042,541,qwen_d4_merged_state
qwen,opd,20,E_math,18,0.00508311563452798,5,E_math,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.087250089418143,0.2351134574785828,0.0189764987006783,500,qwen_d4_merged_state
qwen,opd,20,E_ood,18,0.0071530540831751,5,E_ood,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.0416981434536865,0.1655598390498198,0.0184399251738796,128,qwen_d4_merged_state
qwen,opd,40,E_general,18,0.01542862094330488,5,E_general,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.0625899313599802,0.2629050239920616,-0.0020565181075653,128,qwen_d4_merged_state
qwen,opd,40,E_if,18,0.013343431965804939,5,E_if,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.1110484846308138,0.3654051104391789,0.0083561509506787,541,qwen_d4_merged_state
qwen,opd,40,E_math,18,0.010023031036399021,5,E_math,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.1398351101875305,0.3029990454167127,0.0609191496372222,500,qwen_d4_merged_state
qwen,opd,40,E_ood,18,0.0156888368940591,5,E_ood,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.069908666977426,0.2138369340100325,0.0371477762018912,128,qwen_d4_merged_state
qwen,opd,160,E_general,18,0.014221391712144402,5,E_general,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.0902004607487469,0.3118330753641203,0.0182460033029201,128,qwen_d4_merged_state
qwen,opd,160,E_if,18,0.0207941766464058,5,E_if,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.1437102742286574,0.4186788823820526,0.0268021610353741,541,qwen_d4_merged_state
qwen,opd,160,E_math,18,0.017818904159256,5,E_math,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.1637319025844335,0.3316978882551193,0.0841860357681289,500,qwen_d4_merged_state
qwen,opd,160,E_ood,18,0.02072173106103786,5,E_ood,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.0972608048759866,0.2483304106863215,0.0517718021947075,128,qwen_d4_merged_state
qwen,sft,5,E_general,18,0.0,5,E_general,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.0013763620972895,0.0352754150226246,0.0005089625105938,128,qwen_d4_merged_state
qwen,sft,5,E_if,18,0.00034246575342463997,5,E_if,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.0013865178540028,0.03679275377731,-0.0022344957669063,541,qwen_d4_merged_state
qwen,sft,5,E_math,18,0.0,5,E_math,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.0021034081344841,0.0325148615548387,-0.0011719414605177,500,qwen_d4_merged_state
