model,arm,checkpoint,probe_name,layer,native_object,n_samples,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon,c5_module_count,c5_source_probe_names,p_k4,p_k8,p_k16,p_k32,pk_track,cumulative_kl_base_to_current,absolute_delta_nll_cumulative,delta_nll_cumulative,sample_count,track,is_opd,row_id
qwen,opd,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.0854605223609055,1.0148837042792676,0.992638793686369,0.995149392204792,0.9963099523841396,0.93739914894104,-0.0074327029287815,0.9999796152114868,0.0037873535749047794,5,E_general,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0032664775662851,0.0584555362584069,-0.0100906790878525,128,qwen_d4_merged_state,1,0
qwen,opd,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.0180238475076269,1.0027608623338653,0.998622407695674,0.998943235424836,0.999248327586258,0.9903820753097534,-0.0054014381021261,0.999989092350006,0.00108470279118198,5,E_if,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0037016445405474,0.0656295853517192,-0.0119688676699458,541,qwen_d4_merged_state,1,1
qwen,opd,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248331425442834,1.0037980375135362,0.9981063573975236,0.9984556529322294,0.998876330007484,0.9571158289909364,0.0965463370084762,0.99999338388443,0.00244966634003376,5,E_math,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0070450359758688,0.064816016850993,-0.0109448691296274,500,qwen_d4_merged_state,1,2
qwen,opd,5,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1251370446076645,1.025544921807844,0.9874515816406138,0.994272997444545,0.995615725127786,0.920821487903595,-0.028794877231121,0.9983099102973938,0.00238092913695488,5,E_ood,2.15924438050154e-06,9.777045956330507e-06,3.9045647099555936e-05,0.0001541744209784,qwen_existing_deployed_effective,0.0029942079099782,0.043746232317062,-0.0033583746708245,128,qwen_d4_merged_state,1,3
qwen,opd,20,E_general,18,raw residual-stream sample means and centered covariance,32,1.0857016838385072,1.0149638980585023,0.9925995165997896,0.9951544338207527,0.9963202290027268,0.936863899230957,-0.0073359971866011,0.9999477863311768,0.01168264509490728,5,E_general,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.0379191213432932,0.207255485584028,-0.0076255502026469,128,qwen_d4_merged_state,1,4
qwen,opd,20,E_if,18,raw residual-stream sample means and centered covariance,32,1.0181405908660814,1.0027809673347774,0.9986123962430256,0.9989392151681886,0.9992444315728048,0.990226984024048,-0.0041890279389917,0.999971866607666,0.0011051344072700198,5,E_if,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.0697719935575661,0.2912015336498536,-0.0028257798567042,541,qwen_d4_merged_state,1,5
qwen,opd,20,E_math,18,raw residual-stream sample means and centered covariance,32,1.0248353242017083,1.0037992304832457,0.9981057642498632,0.9984555461768924,0.9988773739700896,0.9566214680671692,0.0973483622074127,0.9999816417694092,0.00508311563452798,5,E_math,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.087250089418143,0.2351134574785828,0.0189764987006783,500,qwen_d4_merged_state,1,6
qwen,opd,20,E_ood,18,raw residual-stream sample means and centered covariance,32,1.1285839106482585,1.0268763265799388,0.9868071699645644,0.9943080678136712,0.9956467530683948,0.9206600785255432,-0.0288482513278722,0.9969181418418884,0.0071530540831751,5,E_ood,5.356277548734008e-06,1.891162193195279e-05,5.444743770307035e-05,0.0001824366907904,qwen_existing_deployed_effective,0.0416981434536865,0.1655598390498198,0.0184399251738796,128,qwen_d4_merged_state,1,7
qwen,opd,40,E_general,18,raw residual-stream sample means and centered covariance,32,1.0868252466377293,1.015195582764399,0.9924861744687116,0.9950966946396836,0.9962812020311202,0.9367428421974182,-0.0076904580928385,0.999923586845398,0.01542862094330488,5,E_general,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.0625899313599802,0.2629050239920616,-0.0020565181075653,128,qwen_d4_merged_state,1,8
qwen,opd,40,E_if,18,raw residual-stream sample means and centered covariance,32,1.0185377308478134,1.002848518084987,0.998578762116302,0.9989159034339814,0.9992287821001916,0.9899600744247437,-0.0044435895979404,0.9999278783798218,0.013343431965804939,5,E_if,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.1110484846308138,0.3654051104391789,0.0083561509506787,541,qwen_d4_merged_state,1,9
qwen,opd,40,E_math,18,raw residual-stream sample means and centered covariance,32,1.0252163235503289,1.0038627109320224,0.9980742049519704,0.998430358617522,0.9988600523905972,0.9563950896263124,0.0958184525370597,0.9999672174453736,0.010023031036399021,5,E_math,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.1398351101875305,0.3029990454167127,0.0609191496372222,500,qwen_d4_merged_state,1,10
qwen,opd,40,E_ood,18,raw residual-stream sample means and centered covariance,32,1.125888793688464,1.0253669458557806,0.9875388664838886,0.9941119884068526,0.9955000060920072,0.915513813495636,-0.0295240674167871,0.9893866777420044,0.0156888368940591,5,E_ood,7.410067390927517e-06,2.131726666578158e-05,6.445069707946332e-05,0.0002095122856968,qwen_existing_deployed_effective,0.069908666977426,0.2138369340100325,0.0371477762018912,128,qwen_d4_merged_state,1,11
qwen,opd,160,E_general,18,raw residual-stream sample means and centered covariance,32,1.088013363759586,1.01550933182476,0.9923326193893732,0.9950759106115136,0.9962670200981948,0.9372540712356568,-0.0075266570784151,0.999745547771454,0.014221391712144402,5,E_general,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.0902004607487469,0.3118330753641203,0.0182460033029201,128,qwen_d4_merged_state,1,12
qwen,opd,160,E_if,18,raw residual-stream sample means and centered covariance,32,1.0182839525007417,1.0028061502325645,0.9985998571528546,0.9989298270156792,0.9992392246536024,0.9900854229927064,-0.0029880076181143,0.9996589422225952,0.0207941766464058,5,E_if,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.1437102742286574,0.4186788823820526,0.0268021610353741,541,qwen_d4_merged_state,1,13
qwen,opd,160,E_math,18,raw residual-stream sample means and centered covariance,32,1.0253777598952416,1.003890788903272,0.9980602468652496,0.998420355353865,0.9988535445038698,0.9572868347167968,0.0976685956120491,0.9998973608016968,0.017818904159256,5,E_math,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.1637319025844335,0.3316978882551193,0.0841860357681289,500,qwen_d4_merged_state,1,14
qwen,opd,160,E_ood,18,raw residual-stream sample means and centered covariance,32,1.127341479221019,1.0261708906029745,0.9871491203437224,0.9942195533146896,0.995588665098412,0.9226142168045044,-0.0291797332465648,0.9970377683639526,0.02072173106103786,5,E_ood,5.159412540121723e-06,1.793748781762718e-05,7.137628823068903e-05,0.000248005017056,qwen_existing_deployed_effective,0.0972608048759866,0.2483304106863215,0.0517718021947075,128,qwen_d4_merged_state,1,15
qwen,sft,5,E_general,18,raw residual-stream sample means and centered covariance,32,1.085399595038116,1.0148648788785917,0.9926480125579956,0.9951494206475138,0.9963085080276498,0.937258005142212,-0.0072952890768647,0.9999983906745912,0.0,5,E_general,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.0013763620972895,0.0352754150226246,0.0005089625105938,128,qwen_d4_merged_state,0,16
qwen,sft,5,E_if,18,raw residual-stream sample means and centered covariance,32,1.0179929361631377,1.0027552729830815,0.9986251910066892,0.99894447268631,0.9992490318829962,0.9904348254203796,-0.0046616001054644,0.999991774559021,0.00034246575342463997,5,E_if,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.0013865178540028,0.03679275377731,-0.0022344957669063,541,qwen_d4_merged_state,0,17
qwen,sft,5,E_math,18,raw residual-stream sample means and centered covariance,32,1.024907038990995,1.003809664261841,0.9981005769268696,0.9984509905491292,0.9988722520349675,0.95705384016037,0.0968749597668647,0.9999977350234984,0.0,5,E_math,2.3744763666400104e-06,7.944224372684922e-06,3.138709884556842e-05,0.000126645263143,qwen_existing_deployed_effective,0.0021034081344841,0.0325148615548387,-0.0011719414605177,500,qwen_d4_merged_state,0,18
