model,target,task_type,feature_block,heldout_checkpoint,selected_regularization,selection_metric,inner_grid,test_n,test_r2,test_mae,test_spearman,target_mean,target_std,test_auc,test_log_loss,test_balanced_accuracy,n_positive,n_negative
qwen,cumulative_kl_base_to_current,regression,A,5,10.0,inner_mae,"[{""inner_loss"": 0.04566748946182094, ""regularization"": 0.0}, {""inner_loss"": 0.038964414951313496, ""regularization"": 0.0001}, {""inner_loss"": 0.039382629925371525, ""regularization"": 0.001}, {""inner_loss"": 0.037480967636929215, ""regularization"": 0.01}, {""inner_loss"": 0.03591025795347403, ""regularization"": 0.1}, {""inner_loss"": 0.035298056559870734, ""regularization"": 1.0}, {""inner_loss"": 0.035235809782042986, ""regularization"": 10.0}, {""inner_loss"": 0.03599391761360705, ""regularization"": 100.0}]",16,-553.8791546864018,0.036204826324400724,0.43529411764705883,0.0035608293040240374,0.0016072364842735997,,,,,
qwen,cumulative_kl_base_to_current,regression,A,20,0.0001,inner_mae,"[{""inner_loss"": 0.04230997019034383, ""regularization"": 0.0}, {""inner_loss"": 0.037946547758737924, ""regularization"": 0.0001}, {""inner_loss"": 0.03996461736241585, ""regularization"": 0.001}, {""inner_loss"": 0.039951250818281575, ""regularization"": 0.01}, {""inner_loss"": 0.0399180218577854, ""regularization"": 0.1}, {""inner_loss"": 0.0404142972486061, ""regularization"": 1.0}, {""inner_loss"": 0.04014682622815261, ""regularization"": 10.0}, {""inner_loss"": 0.040605480379265195, ""regularization"": 100.0}]",16,0.02179823424171734,0.020280652866113413,0.6264705882352941,0.021015023214663225,0.024644918116642288,,,,,
qwen,cumulative_kl_base_to_current,regression,A,40,0.0001,inner_mae,"[{""inner_loss"": 0.03648964524243344, ""regularization"": 0.0}, {""inner_loss"": 0.03605275998897645, ""regularization"": 0.0001}, {""inner_loss"": 0.03854189573900227, ""regularization"": 0.001}, {""inner_loss"": 0.03716859905274974, ""regularization"": 0.01}, {""inner_loss"": 0.037458884577996295, ""regularization"": 0.1}, {""inner_loss"": 0.039171680148906735, ""regularization"": 1.0}, {""inner_loss"": 0.039130620583519425, ""regularization"": 10.0}, {""inner_loss"": 0.03909793108863207, ""regularization"": 100.0}]",16,0.0998291831151471,0.027668192361238884,0.5441176470588236,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,A,160,0.0,inner_mae,"[{""inner_loss"": 0.019350954600092864, ""regularization"": 0.0}, {""inner_loss"": 0.01980802703026651, ""regularization"": 0.0001}, {""inner_loss"": 0.0218347445786346, ""regularization"": 0.001}, {""inner_loss"": 0.022034073176923352, ""regularization"": 0.01}, {""inner_loss"": 0.021986413221385618, ""regularization"": 0.1}, {""inner_loss"": 0.02193894433407442, ""regularization"": 1.0}, {""inner_loss"": 0.02191748798363324, ""regularization"": 10.0}, {""inner_loss"": 0.021926398266943967, ""regularization"": 100.0}]",16,-2.0526113533036,0.06564748104206183,0.25588235294117645,0.06445930347029369,0.045741215469358235,,,,,
qwen,cumulative_kl_base_to_current,regression,C5,5,1.0,inner_mae,"[{""inner_loss"": 0.02698571412257292, ""regularization"": 0.0}, {""inner_loss"": 0.026985713093057945, ""regularization"": 0.0001}, {""inner_loss"": 0.02698570382771259, ""regularization"": 0.001}, {""inner_loss"": 0.0269856112029148, ""regularization"": 0.01}, {""inner_loss"": 0.026984687811589494, ""regularization"": 0.1}, {""inner_loss"": 0.02697573091573406, ""regularization"": 1.0}, {""inner_loss"": 0.028037299144474618, ""regularization"": 10.0}, {""inner_loss"": 0.03271036303527829, ""regularization"": 100.0}]",16,-178.67205881256658,0.021033983865252313,-0.10301695209842054,0.0035608293040240374,0.0016072364842735997,,,,,
qwen,cumulative_kl_base_to_current,regression,C5,20,10.0,inner_mae,"[{""inner_loss"": 0.03038195537095033, ""regularization"": 0.0}, {""inner_loss"": 0.030381942675410983, ""regularization"": 0.0001}, {""inner_loss"": 0.030381828419127305, ""regularization"": 0.001}, {""inner_loss"": 0.030380686209660435, ""regularization"": 0.01}, {""inner_loss"": 0.030369299342012643, ""regularization"": 0.1}, {""inner_loss"": 0.030258846725829073, ""regularization"": 1.0}, {""inner_loss"": 0.030006509805848805, ""regularization"": 10.0}, {""inner_loss"": 0.03449663366112441, ""regularization"": 100.0}]",16,0.24340596948202398,0.01528870686411901,0.25,0.021015023214663225,0.024644918116642288,,,,,
qwen,cumulative_kl_base_to_current,regression,C5,40,0.0,inner_mae,"[{""inner_loss"": 0.02644255985614892, ""regularization"": 0.0}, {""inner_loss"": 0.026442561992865387, ""regularization"": 0.0001}, {""inner_loss"": 0.026442581222712636, ""regularization"": 0.001}, {""inner_loss"": 0.026442773461711377, ""regularization"": 0.01}, {""inner_loss"": 0.026444689922832453, ""regularization"": 0.1}, {""inner_loss"": 0.026463279595706917, ""regularization"": 1.0}, {""inner_loss"": 0.026674810184568895, ""regularization"": 10.0}, {""inner_loss"": 0.03337162542176313, ""regularization"": 100.0}]",16,0.4462226952957239,0.01667337285569142,0.45,0.034173240512516176,0.0392244187700837,,,,,
qwen,cumulative_kl_base_to_current,regression,C5,160,10.0,inner_mae,"[{""inner_loss"": 0.01944586908687512, ""regularization"": 0.0}, {""inner_loss"": 0.01944586545552146, ""regularization"": 0.0001}, {""inner_loss"": 0.01944583277435979, ""regularization"": 0.001}, {""inner_loss"": 0.019445506063818823, ""regularization"": 0.01}, {""inner_loss"": 0.01944224903452866, ""regularization"": 0.1}, {""inner_loss"": 0.019410655850414064, ""regularization"": 1.0}, {""inner_loss"": 0.01927975022900218, ""regularization"": 10.0}, {""inner_loss"": 0.02034192606517787, ""regularization"": 100.0}]",16,-0.10229241906541442,0.04317419329555738,0.2911764705882353,0.06445930347029369,0.045741215469358235,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5,5,1.0,inner_mae,"[{""inner_loss"": 0.03935700562642233, ""regularization"": 0.0}, {""inner_loss"": 0.039348262714978315, ""regularization"": 0.0001}, {""inner_loss"": 0.039269889052477185, ""regularization"": 0.001}, {""inner_loss"": 0.038546070934315384, ""regularization"": 0.01}, {""inner_loss"": 0.03398835182597711, ""regularization"": 0.1}, {""inner_loss"": 0.03158305589574392, ""regularization"": 1.0}, {""inner_loss"": 0.0325784442233967, ""regularization"": 10.0}, {""inner_loss"": 0.035416158867575015, ""regularization"": 100.0}]",16,-60.700331721492574,0.011962997412501751,0.48507125007266594,0.0035608293040240374,0.0016072364842735997,,,,,
qwen,cumulative_kl_base_to_current,regression,Pk5,20,0.01,inner_mae,"[{""inner_loss"": 0.03056414631600537, ""regularization"": 0.0}, {""inner_loss"": 0.03045297225472755, ""regularization"": 0.0001}, {""inner_loss"": 0.029806990445890174, ""regularization"": 0.001}, {""inner_loss"": 0.029729661739855542, ""regularization"": 0.01}, {""inner_loss"": 0.045563479322816826, ""regularization"": 0.1}, {""inner_loss"": 0.03902109944512307, ""regularization"": 1.0}, {""inner_loss"": 0.0327942490162702, ""regularization"": 10.0}, {""inner_loss"": 0.03679333476158043, ""regularization"": 100.0}]",16,-1.236448411383281,0.03114436240476004,-0.36380343755449945,0.021015023214663225,0.024644918116642288,,,,,
