model,target,task_type,feature_block,features,n_common,n_checkpoint_groups,n_oof,r2_oof,mae_oof,spearman_oof,auc_oof,log_loss_oof,balanced_accuracy_oof
qwen,cumulative_kl_base_to_current,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,-0.5747402211472061,0.03745028814845371,-0.01955128205128205,,,
qwen,cumulative_kl_base_to_current,regression,C5,c_epsilon,64,4,64,0.3440327872463127,0.02404256422015503,0.470541100547089,,,
qwen,cumulative_kl_base_to_current,regression,Pk5,"p_k4,p_k8,p_k16,p_k32",64,4,64,0.052496784821195464,0.02941307253858677,0.48825770264811647,,,
qwen,cumulative_kl_base_to_current,regression,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,0.07526737890775015,0.026948247490628144,0.5581043956043955,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,-0.017725170035890025,0.03207645972694963,0.4719322344322344,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+C5,"p_k4,p_k8,p_k16,p_k32,c_epsilon",64,4,64,-0.0025572300598728503,0.029189246435518665,0.4688927300299191,,,
qwen,cumulative_kl_base_to_current,regression,Pk5+A+C5,"p_k4,p_k8,p_k16,p_k32,normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,-0.172666497027268,0.033653133990958525,0.4521520146520146,,,
qwen,absolute_delta_nll_cumulative,regression,A,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0",64,4,64,0.11164972525205608,0.06330649026324195,0.4402014652014652,,,
qwen,absolute_delta_nll_cumulative,regression,C5,c_epsilon,64,4,64,0.2472780640677733,0.06453873040281176,0.4276834671006748,,,
qwen,absolute_delta_nll_cumulative,regression,Pk5,"p_k4,p_k8,p_k16,p_k32",64,4,64,0.26068748941795017,0.06343895578184044,0.7337627030777217,,,
qwen,absolute_delta_nll_cumulative,regression,A+C5,"normalized_entropy_effective_rank,participation_ratio,top1_explained_share,top8_explained_share,top32_explained_share,raw_anisotropy,centered_anisotropy,linear_cka_vs_step0,c_epsilon",64,4,64,0.033101150573866644,0.0684771051877642,0.5537545787545787,,,
