category,label,path,exists,bytes,sha256,notes
formal_state,qwen_d4_state_equal7,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_all_cells.csv,True,109603,63c753a6f3d266dd36dbecce8d941d6a1fbeb45e74408906c3a0122dc591bcdd,
formal_output,qwen_d4_outputs,/root/autodl-tmp/cycle09_relative_functional_contraction/final/qwen_d4_merged_state_outputs.csv,True,24350,08b524d395a566a1fff3108443dc592e60ab3e26001868d980e3c0af98c6154b,
formal_state,llama_d10_5_state_equal7,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/final/d10_5_integrated_state_equal7.csv,True,209088,c82a418f73aa7d5575b9195ec12e6e7f551e12439d58c70dc0b6d15d9806517e,
formal_state,llama_d10_5_state_module,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/final/d10_5_integrated_state_module.csv,True,1135410,41aa5440f1743a56b8bfc55a27b1c4b47f8262249b3985fbe484ce3b5589c115,
formal_output,llama_d10_5_outputs,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/final/d10_5_integrated_outputs.csv,True,45096,9f0d75b037fe443a3c0a18185320ac679d01c5d718f6c511246a71222a9c471e,
d11_features,d11_same_cell_feature_matrix,/root/autodl-tmp/cycle09_relative_functional_contraction/d11_pk_tpnt/formal/final/d11_same_cell_feature_matrix.csv,True,129766,55ddfbb12391db842f91c604999b1fb5dc33f884b6c81538e0e9f0bb561481ea,
centered_partial,d10_5_a5_centered,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/final/d10_5_a5_centered_state_cells.csv,True,291422,3cd13ca30b4d31024047f3c791e5d694d8f9c688e34a48259ad9fe45727f3757,
sample_inventory,state_displacement_sample_count_bootstrap,/root/autodl-tmp/cycle09_stage4_state_displacement/cpu/state_displacement_sample_count_bootstrap.csv,True,1405799,0b7a2831ea3437530aae2949b99fcc669dbc5030b8b8a26055ee1e39e40ad5e9,
direction_spectrum,E_general.L14.main.direction.pt,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/base/step_000/E_general.L14.main.direction.pt,True,27798235,50ac50c0fd511900c2f05a4475d5a39ed4c1434f6cc5dc9eb3592d8d34778c74,Stage4 direction.pt
direction_spectrum,E_if.L14.main.direction.pt,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/base/step_000/E_if.L14.main.direction.pt,True,27798100,bf62be7ce96152e63f291faa86ff5fcf483b64deab6a8e0862bdab2b2c40cb6a,Stage4 direction.pt
direction_spectrum,E_math.L14.main.direction.pt,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/base/step_000/E_math.L14.main.direction.pt,True,27798154,09f105a3a252cc9c8c2959edac487a743bde896b4f9cecfb9e1c42e0dcec9356,Stage4 direction.pt
