model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,offkd,20,E_general,14,0.01,7,28.0,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.008735460169904714,0.0009293961667617143
llama,offkd,20,E_general,14,0.025,7,23.714285714285715,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.0228101640960175,0.0013478956530218144
llama,offkd,20,E_general,14,0.05,7,18.285714285714285,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.04864811845683677,0.0011357726084129855
llama,offkd,20,E_general,14,0.1,7,12.0,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.09459225884099251,0.0025048018936713002
llama,offkd,20,E_if,14,0.01,7,26.571428571428573,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.008652464679409043,0.0006149600441406287
llama,offkd,20,E_if,14,0.025,7,21.142857142857142,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.023176532004126973,0.0005533169695618188
llama,offkd,20,E_if,14,0.05,7,15.285714285714286,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.04644156524275441,0.0010765355304656083
llama,offkd,20,E_if,14,0.1,7,8.142857142857142,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.0973505117705652,0.002649488229434729
llama,offkd,20,E_math,14,0.01,7,23.714285714285715,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.009166711386003144,0.00046029614083242364
llama,offkd,20,E_math,14,0.025,7,17.0,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.023845357709121027,0.0010066287948567857
llama,offkd,20,E_math,14,0.05,7,11.0,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.04694920503968284,0.0011718457192951522
llama,offkd,20,E_math,14,0.1,7,5.285714285714286,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.09271643244135315,0.003008904997808843
llama,offkd,20,E_ood,14,0.01,7,25.857142857142858,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.008980066039570014,0.0005068522844738286
llama,offkd,20,E_ood,14,0.025,7,19.857142857142858,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.024029124342311543,0.0006388799890832037
llama,offkd,20,E_ood,14,0.05,7,14.142857142857142,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.046909891261286495,0.0011837578744470537
