model,arm,checkpoint,probe_name,layer,module,epsilon,rank_at_epsilon,rank_source,spectrum_source,spectrum_quantity,singular_values_stored,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,zero_probability_count,rank_spectrum_consistency
llama,opd,20,E_general,14,self_attn.q_proj,0.01,17,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.008930177656852703,0.010060115871988183,0.0010698223431472968,6.011587198818252e-05,6.011587198818252e-05,1.0721339774176286,1.5561513898231614,0.9327192506375254,0.9802728527206955,0,PASS
llama,opd,20,E_general,14,self_attn.q_proj,0.025,8,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.024624803611741096,0.02780066192360822,0.00037519638825890544,0.002800661923608217,0.00037519638825890544,1.0721339774176286,1.5561513898231614,0.9327192506375254,0.9802728527206955,0,PASS
llama,opd,20,E_general,14,self_attn.q_proj,0.05,3,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.045925307953921544,0.054531295349535464,0.004074692046078458,0.004531295349535461,0.004074692046078458,1.0721339774176286,1.5561513898231614,0.9327192506375254,0.9802728527206955,0,PASS
llama,opd,20,E_general,14,self_attn.q_proj,0.1,1,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.06728074936247454,0.9999999999999999,0.03271925063752547,0.8999999999999999,0.03271925063752547,1.0721339774176286,1.5561513898231614,0.9327192506375254,0.9802728527206955,0,PASS
llama,opd,20,E_general,14,self_attn.k_proj,0.01,21,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.00990762977354001,0.011352495474525322,9.237022645999099e-05,0.0013524954745253222,9.237022645999099e-05,1.1752735788022752,2.320920647206756,0.8508657201492634,0.9607168482445064,0,PASS
llama,opd,20,E_general,14,self_attn.k_proj,0.025,14,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.023705935033545737,0.026805055445946843,0.0012940649664542649,0.0018050554459468418,0.0012940649664542649,1.1752735788022752,2.320920647206756,0.8508657201492634,0.9607168482445064,0,PASS
llama,opd,20,E_general,14,self_attn.k_proj,0.05,8,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.049802686331740016,0.05613004942305936,0.00019731366825998659,0.006130049423059357,0.00019731366825998659,1.1752735788022752,2.320920647206756,0.8508657201492634,0.9607168482445064,0,PASS
llama,opd,20,E_general,14,self_attn.k_proj,0.1,3,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.09678062438331561,0.11975798881414099,0.0032193756166843945,0.01975798881414098,0.0032193756166843945,1.1752735788022752,2.320920647206756,0.8508657201492634,0.9607168482445064,0,PASS
llama,opd,20,E_general,14,self_attn.v_proj,0.01,13,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.009770681430005913,0.01098428777858156,0.00022931856999408758,0.000984287778581559,0.00022931856999408758,1.0850510309707304,1.5967715004727765,0.9216156396859599,0.9860946523603571,0,PASS
llama,opd,20,E_general,14,self_attn.v_proj,0.025,6,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/llama/opd/step_020/E_general.L14.main.direction.pt,activation_conditioned_update_displacement_singular_values,128,0.022686173425458565,0.026427936487930473,0.0023138265745414367,0.0014279364879304715,0.0014279364879304715,1.0850510309707304,1.5967715004727765,0.9216156396859599,0.9860946523603571,0,PASS
