model,checkpoint,probe_name,epsilon,metric,opd_deepest,deepest_arm,opd_value,nearest_offline_value,opd_minus_nearest_offline_margin,arm_values_json
llama,20,E_general,0.01,absolute_contraction,True,opd,9.571428571428571,2.7142857142857144,6.857142857142857,"{""offkd"": 1.1428571428571428, ""opd"": 9.571428571428571, ""seqkd"": -0.2857142857142857, ""sft"": 2.7142857142857144}"
llama,20,E_general,0.01,stable_rank_contraction,True,opd,0.5002475293931747,0.14665406635594044,0.35359346303723427,"{""offkd"": 0.043315018039799265, ""opd"": 0.5002475293931747, ""seqkd"": -0.001484718717614226, ""sft"": 0.14665406635594044}"
llama,20,E_general,0.01,entropy_effective_rank_contraction,True,opd,11.30931078277323,3.3674075545521895,7.94190322822104,"{""offkd"": 0.25196058623098977, ""opd"": 11.30931078277323, ""seqkd"": -0.7636735651308787, ""sft"": 3.3674075545521895}"
llama,20,E_if,0.01,absolute_contraction,True,opd,17.714285714285715,7.714285714285714,10.0,"{""offkd"": 7.714285714285714, ""opd"": 17.714285714285715, ""seqkd"": 7.285714285714286, ""sft"": 6.714285714285714}"
llama,20,E_if,0.01,stable_rank_contraction,True,opd,0.3017816450859101,0.07825181560983786,0.22352982947607225,"{""offkd"": 0.040539353557817064, ""opd"": 0.3017816450859101, ""seqkd"": 0.029346395085712525, ""sft"": 0.07825181560983786}"
llama,20,E_if,0.01,entropy_effective_rank_contraction,True,opd,13.148919313652783,4.448850851819117,8.700068461833666,"{""offkd"": 4.119632978173855, ""opd"": 13.148919313652783, ""seqkd"": 3.9679016530018587, ""sft"": 4.448850851819117}"
llama,20,E_math,0.01,absolute_contraction,True,opd,15.0,5.857142857142857,9.142857142857142,"{""offkd"": 2.0, ""opd"": 15.0, ""seqkd"": 0.8571428571428571, ""sft"": 5.857142857142857}"
llama,20,E_math,0.01,stable_rank_contraction,True,opd,0.42825580110971956,0.12107451631708407,0.3071812847926355,"{""offkd"": 0.01862384420478978, ""opd"": 0.42825580110971956, ""seqkd"": -0.0028707477652032093, ""sft"": 0.12107451631708407}"
llama,20,E_math,0.01,entropy_effective_rank_contraction,True,opd,8.991928488069558,2.925331839912488,6.06659664815707,"{""offkd"": 0.37730483269796344, ""opd"": 8.991928488069558, ""seqkd"": -0.1578089698459524, ""sft"": 2.925331839912488}"
llama,20,E_ood,0.01,absolute_contraction,True,opd,16.428571428571427,5.571428571428571,10.857142857142856,"{""offkd"": 2.857142857142857, ""opd"": 16.428571428571427, ""seqkd"": 1.7142857142857142, ""sft"": 5.571428571428571}"
llama,20,E_ood,0.01,stable_rank_contraction,True,opd,0.38702886176700874,0.07915533587519873,0.30787352589181,"{""offkd"": 0.039294127319798235, ""opd"": 0.38702886176700874, ""seqkd"": 0.02989902424233648, ""sft"": 0.07915533587519873}"
llama,20,E_ood,0.01,entropy_effective_rank_contraction,True,opd,12.076215422350087,2.9718943582186874,9.1043210641314,"{""offkd"": 1.3437435425605564, ""opd"": 12.076215422350087, ""seqkd"": 1.0365885644707538, ""sft"": 2.9718943582186874}"
llama,40,E_general,0.01,absolute_contraction,True,opd,12.285714285714286,3.5714285714285716,8.714285714285715,"{""offkd"": 1.8571428571428572, ""opd"": 12.285714285714286, ""seqkd"": 0.14285714285714285, ""sft"": 3.5714285714285716}"
llama,40,E_general,0.01,stable_rank_contraction,True,opd,0.47285444433758367,0.22693373637993813,0.24592070795764553,"{""offkd"": 0.05121036623427914, ""opd"": 0.47285444433758367, ""seqkd"": -0.027694231732443755, ""sft"": 0.22693373637993813}"
llama,40,E_general,0.01,entropy_effective_rank_contraction,True,opd,11.457922756671596,4.485202188695384,6.9727205679762125,"{""offkd"": 0.1047218660908398, ""opd"": 11.457922756671596, ""seqkd"": -1.5868075348326038, ""sft"": 4.485202188695384}"
llama,40,E_if,0.01,absolute_contraction,True,opd,23.571428571428573,8.0,15.571428571428573,"{""offkd"": 8.0, ""opd"": 23.571428571428573, ""seqkd"": 6.857142857142857, ""sft"": 7.857142857142857}"
llama,40,E_if,0.01,stable_rank_contraction,True,opd,0.29875853876846964,0.11884858496837133,0.1799099538000983,"{""offkd"": 0.021438559435157982, ""opd"": 0.29875853876846964, ""seqkd"": -0.004380197397657826, ""sft"": 0.11884858496837133}"
llama,40,E_if,0.01,entropy_effective_rank_contraction,True,opd,14.669989618729058,6.276977934284907,8.39301168444415,"{""offkd"": 3.458551272764398, ""opd"": 14.669989618729058, ""seqkd"": 3.0093432671215936, ""sft"": 6.276977934284907}"
llama,40,E_math,0.01,absolute_contraction,True,opd,18.142857142857142,7.0,11.142857142857142,"{""offkd"": 2.5714285714285716, ""opd"": 18.142857142857142, ""seqkd"": 0.5714285714285714, ""sft"": 7.0}"
