model,arm,epsilon,metric,target,n_cells,spearman,pearson
llama,offkd,0.05,absolute_contraction,cumulative_kl_base_to_current,12,0.6725054096048123,0.5625388313515303
llama,offkd,0.05,absolute_contraction,absolute_delta_nll_cumulative,12,0.5183895865703763,0.5325669297479432
llama,offkd,0.05,absolute_contraction,delta_nll_cumulative,12,0.04203158810030077,0.06395711377303027
llama,offkd,0.05,stable_rank_contraction,cumulative_kl_base_to_current,12,0.22377622377622378,0.30493535676060485
llama,offkd,0.05,stable_rank_contraction,absolute_delta_nll_cumulative,12,0.10489510489510491,0.10560499093812549
llama,offkd,0.05,stable_rank_contraction,delta_nll_cumulative,12,0.14685314685314685,0.031138736177007832
llama,offkd,0.05,entropy_effective_rank_contraction,cumulative_kl_base_to_current,12,0.6783216783216784,0.5339985328294926
llama,offkd,0.05,entropy_effective_rank_contraction,absolute_delta_nll_cumulative,12,0.5174825174825175,0.4680176890906299
llama,offkd,0.05,entropy_effective_rank_contraction,delta_nll_cumulative,12,-0.0979020979020979,0.010715334248253381
llama,opd,0.05,absolute_contraction,cumulative_kl_base_to_current,12,0.41331061631962435,0.37829730708077586
llama,opd,0.05,absolute_contraction,absolute_delta_nll_cumulative,12,0.40280271929454914,0.3974574055555223
llama,opd,0.05,absolute_contraction,delta_nll_cumulative,12,0.38528955758609046,0.38508722867213513
llama,opd,0.05,stable_rank_contraction,cumulative_kl_base_to_current,12,-0.3916083916083916,-0.4953280712794642
llama,opd,0.05,stable_rank_contraction,absolute_delta_nll_cumulative,12,-0.4825174825174825,-0.5756031156453816
llama,opd,0.05,stable_rank_contraction,delta_nll_cumulative,12,-0.1398601398601399,-0.2772535854181002
llama,opd,0.05,entropy_effective_rank_contraction,cumulative_kl_base_to_current,12,-0.1258741258741259,-0.24118497765646071
llama,opd,0.05,entropy_effective_rank_contraction,absolute_delta_nll_cumulative,12,-0.06993006993006995,-0.18709406675367574
llama,opd,0.05,entropy_effective_rank_contraction,delta_nll_cumulative,12,-0.1258741258741259,-0.16632524941241358
llama,seqkd,0.05,absolute_contraction,cumulative_kl_base_to_current,12,0.5499132776456018,0.4379574152101678
llama,seqkd,0.05,absolute_contraction,absolute_delta_nll_cumulative,12,0.4238185133446995,0.4905415940659039
llama,seqkd,0.05,absolute_contraction,delta_nll_cumulative,12,-0.056042117467067706,0.12228908586244251
llama,seqkd,0.05,stable_rank_contraction,cumulative_kl_base_to_current,12,0.22377622377622378,0.3483522139280247
llama,seqkd,0.05,stable_rank_contraction,absolute_delta_nll_cumulative,12,0.013986013986013986,0.13213472648215124
llama,seqkd,0.05,stable_rank_contraction,delta_nll_cumulative,12,-0.31468531468531474,-0.38234391044243615
llama,seqkd,0.05,entropy_effective_rank_contraction,cumulative_kl_base_to_current,12,0.5454545454545455,0.4859611488759945
llama,seqkd,0.05,entropy_effective_rank_contraction,absolute_delta_nll_cumulative,12,0.39860139860139865,0.4557181659736241
llama,seqkd,0.05,entropy_effective_rank_contraction,delta_nll_cumulative,12,-0.1188811188811189,-0.07484302758008105
llama,sft,0.05,absolute_contraction,cumulative_kl_base_to_current,12,0.7832167832167832,0.7521194411369592
llama,sft,0.05,absolute_contraction,absolute_delta_nll_cumulative,12,0.6293706293706295,0.68575627988226
llama,sft,0.05,absolute_contraction,delta_nll_cumulative,12,0.17482517482517487,0.3206667541713842
llama,sft,0.05,stable_rank_contraction,cumulative_kl_base_to_current,12,0.2447552447552448,0.3291265362768066
llama,sft,0.05,stable_rank_contraction,absolute_delta_nll_cumulative,12,0.32867132867132864,0.32151808168139023
llama,sft,0.05,stable_rank_contraction,delta_nll_cumulative,12,0.11188811188811189,0.20026540426529604
llama,sft,0.05,entropy_effective_rank_contraction,cumulative_kl_base_to_current,12,0.6153846153846154,0.6838328567104069
llama,sft,0.05,entropy_effective_rank_contraction,absolute_delta_nll_cumulative,12,0.6363636363636365,0.673794667775218
llama,sft,0.05,entropy_effective_rank_contraction,delta_nll_cumulative,12,0.5944055944055945,0.5988330145918356
