arm,checkpoint,probe_name,layer,module,epsilon,rr2s_rank,d10_rank,rank_diff,status
base,0,E_general,14,mlp.down_proj,0.01,2529,2529.0,0.0,PASS
base,0,E_general,14,mlp.down_proj,0.025,2167,2167.0,0.0,PASS
base,0,E_general,14,mlp.down_proj,0.05,1802,1802.0,0.0,PASS
base,0,E_general,14,mlp.down_proj,0.1,1362,1362.0,0.0,PASS
base,0,E_general,14,mlp.gate_proj,0.01,1399,1399.0,0.0,PASS
base,0,E_general,14,mlp.gate_proj,0.025,784,784.0,0.0,PASS
base,0,E_general,14,mlp.gate_proj,0.05,368,368.0,0.0,PASS
base,0,E_general,14,mlp.gate_proj,0.1,100,100.0,0.0,PASS
base,0,E_general,14,mlp.up_proj,0.01,2314,2314.0,0.0,PASS
base,0,E_general,14,mlp.up_proj,0.025,1852,1852.0,0.0,PASS
base,0,E_general,14,mlp.up_proj,0.05,1412,1412.0,0.0,PASS
base,0,E_general,14,mlp.up_proj,0.1,923,923.0,0.0,PASS
base,0,E_general,14,self_attn.k_proj,0.01,375,375.0,0.0,PASS
base,0,E_general,14,self_attn.k_proj,0.025,212,212.0,0.0,PASS
base,0,E_general,14,self_attn.k_proj,0.05,111,111.0,0.0,PASS
base,0,E_general,14,self_attn.k_proj,0.1,48,48.0,0.0,PASS
base,0,E_general,14,self_attn.o_proj,0.01,1584,1584.0,0.0,PASS
base,0,E_general,14,self_attn.o_proj,0.025,1238,1238.0,0.0,PASS
base,0,E_general,14,self_attn.o_proj,0.05,954,954.0,0.0,PASS
base,0,E_general,14,self_attn.o_proj,0.1,659,659.0,0.0,PASS
base,0,E_general,14,self_attn.q_proj,0.01,692,692.0,0.0,PASS
base,0,E_general,14,self_attn.q_proj,0.025,351,351.0,0.0,PASS
base,0,E_general,14,self_attn.q_proj,0.05,156,156.0,0.0,PASS
base,0,E_general,14,self_attn.q_proj,0.1,50,50.0,0.0,PASS
base,0,E_general,14,self_attn.v_proj,0.01,863,863.0,0.0,PASS
base,0,E_general,14,self_attn.v_proj,0.025,751,751.0,0.0,PASS
base,0,E_general,14,self_attn.v_proj,0.05,631,631.0,0.0,PASS
base,0,E_general,14,self_attn.v_proj,0.1,479,479.0,0.0,PASS
base,0,E_math,14,mlp.down_proj,0.01,1162,1162.0,0.0,PASS
base,0,E_math,14,mlp.down_proj,0.025,912,912.0,0.0,PASS
base,0,E_math,14,mlp.down_proj,0.05,701,701.0,0.0,PASS
base,0,E_math,14,mlp.down_proj,0.1,483,483.0,0.0,PASS
base,0,E_math,14,mlp.gate_proj,0.01,587,587.0,0.0,PASS
base,0,E_math,14,mlp.gate_proj,0.025,322,322.0,0.0,PASS
base,0,E_math,14,mlp.gate_proj,0.05,158,158.0,0.0,PASS
base,0,E_math,14,mlp.gate_proj,0.1,49,49.0,0.0,PASS
base,0,E_math,14,mlp.up_proj,0.01,1022,1022.0,0.0,PASS
base,0,E_math,14,mlp.up_proj,0.025,751,751.0,0.0,PASS
base,0,E_math,14,mlp.up_proj,0.05,534,534.0,0.0,PASS
base,0,E_math,14,mlp.up_proj,0.1,325,325.0,0.0,PASS
base,0,E_math,14,self_attn.k_proj,0.01,263,263.0,0.0,PASS
base,0,E_math,14,self_attn.k_proj,0.025,150,150.0,0.0,PASS
base,0,E_math,14,self_attn.k_proj,0.05,84,84.0,0.0,PASS
base,0,E_math,14,self_attn.k_proj,0.1,38,38.0,0.0,PASS
base,0,E_math,14,self_attn.o_proj,0.01,828,828.0,0.0,PASS
base,0,E_math,14,self_attn.o_proj,0.025,607,607.0,0.0,PASS
base,0,E_math,14,self_attn.o_proj,0.05,441,441.0,0.0,PASS
base,0,E_math,14,self_attn.o_proj,0.1,286,286.0,0.0,PASS
base,0,E_math,14,self_attn.q_proj,0.01,391,391.0,0.0,PASS
base,0,E_math,14,self_attn.q_proj,0.025,208,208.0,0.0,PASS
base,0,E_math,14,self_attn.q_proj,0.05,103,103.0,0.0,PASS
base,0,E_math,14,self_attn.q_proj,0.1,38,38.0,0.0,PASS
base,0,E_math,14,self_attn.v_proj,0.01,659,659.0,0.0,PASS
base,0,E_math,14,self_attn.v_proj,0.025,516,516.0,0.0,PASS
base,0,E_math,14,self_attn.v_proj,0.05,397,397.0,0.0,PASS
base,0,E_math,14,self_attn.v_proj,0.1,273,273.0,0.0,PASS
base,0,E_ood,14,mlp.down_proj,0.01,2452,2452.0,0.0,PASS
base,0,E_ood,14,mlp.down_proj,0.025,2058,2058.0,0.0,PASS
base,0,E_ood,14,mlp.down_proj,0.05,1669,1669.0,0.0,PASS
base,0,E_ood,14,mlp.down_proj,0.1,1213,1213.0,0.0,PASS
base,0,E_ood,14,mlp.gate_proj,0.01,1352,1352.0,0.0,PASS
base,0,E_ood,14,mlp.gate_proj,0.025,731,731.0,0.0,PASS
base,0,E_ood,14,mlp.gate_proj,0.05,327,327.0,0.0,PASS
base,0,E_ood,14,mlp.gate_proj,0.1,83,83.0,0.0,PASS
base,0,E_ood,14,mlp.up_proj,0.01,2263,2263.0,0.0,PASS
base,0,E_ood,14,mlp.up_proj,0.025,1775,1775.0,0.0,PASS
base,0,E_ood,14,mlp.up_proj,0.05,1319,1319.0,0.0,PASS
base,0,E_ood,14,mlp.up_proj,0.1,825,825.0,0.0,PASS
base,0,E_ood,14,self_attn.k_proj,0.01,331,331.0,0.0,PASS
base,0,E_ood,14,self_attn.k_proj,0.025,178,178.0,0.0,PASS
base,0,E_ood,14,self_attn.k_proj,0.05,91,91.0,0.0,PASS
base,0,E_ood,14,self_attn.k_proj,0.1,39,39.0,0.0,PASS
base,0,E_ood,14,self_attn.o_proj,0.01,1556,1556.0,0.0,PASS
base,0,E_ood,14,self_attn.o_proj,0.025,1191,1191.0,0.0,PASS
base,0,E_ood,14,self_attn.o_proj,0.05,891,891.0,0.0,PASS
base,0,E_ood,14,self_attn.o_proj,0.1,586,586.0,0.0,PASS
base,0,E_ood,14,self_attn.q_proj,0.01,603,603.0,0.0,PASS
base,0,E_ood,14,self_attn.q_proj,0.025,288,288.0,0.0,PASS
base,0,E_ood,14,self_attn.q_proj,0.05,123,123.0,0.0,PASS
base,0,E_ood,14,self_attn.q_proj,0.1,41,41.0,0.0,PASS
base,0,E_ood,14,self_attn.v_proj,0.01,848,848.0,0.0,PASS
base,0,E_ood,14,self_attn.v_proj,0.025,728,728.0,0.0,PASS
base,0,E_ood,14,self_attn.v_proj,0.05,602,602.0,0.0,PASS
base,0,E_ood,14,self_attn.v_proj,0.1,446,446.0,0.0,PASS
base,0,E_if,14,mlp.down_proj,0.01,2435,2435.0,0.0,PASS
base,0,E_if,14,mlp.down_proj,0.025,2031,2031.0,0.0,PASS
base,0,E_if,14,mlp.down_proj,0.05,1632,1632.0,0.0,PASS
base,0,E_if,14,mlp.down_proj,0.1,1166,1166.0,0.0,PASS
base,0,E_if,14,mlp.gate_proj,0.01,1309,1309.0,0.0,PASS
base,0,E_if,14,mlp.gate_proj,0.025,709,709.0,0.0,PASS
base,0,E_if,14,mlp.gate_proj,0.05,328,328.0,0.0,PASS
base,0,E_if,14,mlp.gate_proj,0.1,96,96.0,0.0,PASS
base,0,E_if,14,mlp.up_proj,0.01,2178,2178.0,0.0,PASS
base,0,E_if,14,mlp.up_proj,0.025,1670,1670.0,0.0,PASS
base,0,E_if,14,mlp.up_proj,0.05,1207,1207.0,0.0,PASS
base,0,E_if,14,mlp.up_proj,0.1,722,722.0,0.0,PASS
base,0,E_if,14,self_attn.k_proj,0.01,345,345.0,0.0,PASS
base,0,E_if,14,self_attn.k_proj,0.025,188,188.0,0.0,PASS
base,0,E_if,14,self_attn.k_proj,0.05,98,98.0,0.0,PASS
base,0,E_if,14,self_attn.k_proj,0.1,42,42.0,0.0,PASS
base,0,E_if,14,self_attn.o_proj,0.01,1511,1511.0,0.0,PASS
base,0,E_if,14,self_attn.o_proj,0.025,1157,1157.0,0.0,PASS
base,0,E_if,14,self_attn.o_proj,0.05,868,868.0,0.0,PASS
base,0,E_if,14,self_attn.o_proj,0.1,572,572.0,0.0,PASS
base,0,E_if,14,self_attn.q_proj,0.01,630,630.0,0.0,PASS
base,0,E_if,14,self_attn.q_proj,0.025,309,309.0,0.0,PASS
base,0,E_if,14,self_attn.q_proj,0.05,135,135.0,0.0,PASS
