model,arm,checkpoint,probe_name,layer,module,epsilon,state_rank,spectrum_source,spectrum_quantity,singular_values_stored,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,top32_energy_share,zero_probability_count,rank_spectrum_consistency,state_rank_current,state_rank_base,stable_rank_base,entropy_effective_rank_base,top1_energy_share_base,top10_energy_share_base,top32_energy_share_base,absolute_contraction,relative_functional_contraction_module,stable_rank_contraction,entropy_effective_rank_contraction
llama,base,0,E_general,14,mlp.down_proj,0.01,2529.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.00998680435305478,0.010017704839023964,1.3195646945220185e-05,1.7704839023963484e-05,1.3195646945220185e-05,15.64203497815816,989.2051275140961,0.06393030071831161,0.14015903769552746,0.22162718600527004,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.025,2167.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.02497031208720976,0.025023558210979128,2.968791279023969e-05,2.3558210979126443e-05,2.3558210979126443e-05,15.64203497815816,989.2051275140961,0.06393030071831161,0.14015903769552746,0.22162718600527004,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.05,1802.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.049932703104208415,0.05001840648220954,6.729689579158815e-05,1.840648220953478e-05,1.840648220953478e-05,15.64203497815816,989.2051275140961,0.06393030071831161,0.14015903769552746,0.22162718600527004,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.down_proj,0.1,1362.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.09992848366490407,0.10007556246609686,7.15163350959308e-05,7.55624660968568e-05,7.15163350959308e-05,15.64203497815816,989.2051275140961,0.06393030071831161,0.14015903769552746,0.22162718600527004,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.01,1399.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.009995629477558192,0.010010916642663856,4.370522441808633e-06,1.0916642663855863e-05,4.370522441808633e-06,1.3778571775445227,8.785636707560531,0.7257646266226944,0.8058061799710637,0.8549958904606159,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.025,784.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.024993572719714603,0.02503158646383328,6.427280285398879e-06,3.1586463833277456e-05,6.427280285398879e-06,1.3778571775445227,8.785636707560531,0.7257646266226944,0.8058061799710637,0.8549958904606159,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.05,368.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.04994235927664904,0.050039111414405694,5.7640723350960155e-05,3.9111414405691713e-05,3.9111414405691713e-05,1.3778571775445227,8.785636707560531,0.7257646266226944,0.8058061799710637,0.8549958904606159,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.gate_proj,0.1,100.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.09979756795239736,0.10019824896574395,0.00020243204760264644,0.00019824896574394124,0.00019824896574394124,1.3778571775445227,8.785636707560531,0.7257646266226944,0.8058061799710637,0.8549958904606159,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.up_proj,0.01,2314.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.009989883981620014,0.010013431390043213,1.011601837998602e-05,1.3431390043212518e-05,1.011601837998602e-05,6.777730094308784,338.8260480671273,0.1475420216039133,0.3158441554050563,0.45225396623924313,0,PASS,,,,,,,,,,,
llama,base,0,E_general,14,mlp.up_proj,0.025,1852.0,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/state/base/step_000/E_general.json,formal_D10_W_t_S_D_t_state_singular_values,3072,0.024982593078365863,0.025025500434159575,1.7406921634138123e-05,2.5500434159574092e-05,1.7406921634138123e-05,6.777730094308784,338.8260480671273,0.1475420216039133,0.3158441554050563,0.45225396623924313,0,PASS,,,,,,,,,,,
