model,arm,checkpoint,probe_name,layer,formal_state_cell_available,formal_source,formal_protocol,state_spectrum_path,candidate_paths_checked,status,blocker_reason
qwen,opd,20,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,20,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_math.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,20,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_ood.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,20,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_if.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,40,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_general.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,40,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_math.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,40,E_ood,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_ood.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,40,E_if,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_040/E_if.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,80,E_general,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_general.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
qwen,opd,80,E_math,18,True,qwen_d4_merged_state,D4.1_current_merged_state,,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.state_singular.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.state_spectrum.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.state_singular_values.pt;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.state_singular.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.state_spectrum.npy;/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_080/E_math.L18.main.state_singular_values.npy,READY_RECOMPUTE_FROM_FORMAL_CHECKPOINT,"missing complete W_t S_{D,t} singular values or equivalent energy statistics"
