model,arm,metric,target,n,spearman
llama,offkd,stable_rank,cumulative_kl_base_to_current,12,-0.3216783216783217
llama,opd,stable_rank,cumulative_kl_base_to_current,12,-0.6013986013986015
llama,seqkd,stable_rank,cumulative_kl_base_to_current,12,-0.3846153846153847
llama,sft,stable_rank,cumulative_kl_base_to_current,12,0.055944055944055944
qwen,opd,stable_rank,cumulative_kl_base_to_current,24,0.1818181818181818
llama,offkd,stable_rank,absolute_delta_nll_cumulative,12,-0.18881118881118883
llama,opd,stable_rank,absolute_delta_nll_cumulative,12,-0.4825174825174825
llama,seqkd,stable_rank,absolute_delta_nll_cumulative,12,-0.2377622377622378
llama,sft,stable_rank,absolute_delta_nll_cumulative,12,0.2867132867132868
qwen,opd,stable_rank,absolute_delta_nll_cumulative,24,-0.11188811188811189
llama,offkd,entropy_effective_rank,cumulative_kl_base_to_current,12,-0.3356643356643357
llama,opd,entropy_effective_rank,cumulative_kl_base_to_current,12,-0.6573426573426573
llama,seqkd,entropy_effective_rank,cumulative_kl_base_to_current,12,-0.5104895104895105
llama,sft,entropy_effective_rank,cumulative_kl_base_to_current,12,-0.3636363636363637
qwen,opd,entropy_effective_rank,cumulative_kl_base_to_current,24,-0.11188811188811189
llama,offkd,entropy_effective_rank,absolute_delta_nll_cumulative,12,-0.1958041958041958
llama,opd,entropy_effective_rank,absolute_delta_nll_cumulative,12,-0.5454545454545455
llama,seqkd,entropy_effective_rank,absolute_delta_nll_cumulative,12,-0.37762237762237766
llama,sft,entropy_effective_rank,absolute_delta_nll_cumulative,12,-0.11188811188811189
qwen,opd,entropy_effective_rank,absolute_delta_nll_cumulative,24,-0.3776223776223776
