model,arm,checkpoint,probe_name,layer,epsilon,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,zero_probability_count,module_count
llama,offkd,20,E_general,14,0.01,0.00873546016990476,0.01159400471401085,0.041264539830095245,-0.038405995285989154,-0.038405995285989154,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.0,7
llama,offkd,20,E_general,14,0.025,0.02281016409601754,0.026963095267997138,0.027189835903982464,-0.02303690473200287,-0.02303690473200287,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.0,7
llama,offkd,20,E_general,14,0.05,0.04864811845683682,0.0545365552134361,0.0013518815431631792,0.004536555213436104,0.0011357726084130374,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.0,7
llama,offkd,20,E_general,14,0.1,0.09459225884099254,0.10484072470923278,-0.044592258840992535,0.05484072470923278,-0.044592258840992535,1.6291603388148366,5.953293529753971,0.6243984377684546,0.8816352213778106,0.0,7
llama,offkd,20,E_if,14,0.01,0.008652464679409092,0.010945026993195396,0.04134753532059091,-0.039054973006804605,-0.039054973006804605,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.0,7
llama,offkd,20,E_if,14,0.025,0.02317653200412704,0.02652502395954946,0.026823467995872964,-0.023474976040450544,-0.023474976040450544,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.0,7
llama,offkd,20,E_if,14,0.05,0.046441565242754446,0.051694936845552424,0.003558434757245555,0.0016949368455524219,0.001076535530465642,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.0,7
llama,offkd,20,E_if,14,0.1,0.09735051177056522,0.10972064441727472,-0.04735051177056523,0.059720644417274725,-0.04735051177056523,1.4953243703320054,4.367838561695218,0.7016184997211007,0.9169013747491989,0.0,7
llama,offkd,20,E_math,14,0.01,0.00916671138600318,0.010947779313829602,0.04083328861399682,-0.039052220686170404,-0.039052220686170404,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.0,7
llama,offkd,20,E_math,14,0.025,0.023845357709121075,0.02680518600366544,0.02615464229087893,-0.023194813996334558,-0.023194813996334558,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.0,7
llama,offkd,20,E_math,14,0.05,0.046949205039682876,0.05276892283429987,0.003050794960317123,0.0027689228342998714,0.0011718457192951826,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.0,7
llama,offkd,20,E_math,14,0.1,0.0927164324413532,0.23553253889231968,-0.04271643244135321,0.1855325388923197,-0.04271643244135321,1.2698106210209408,3.0504021904058627,0.7924220256187924,0.9444099826053322,0.0,7
llama,offkd,20,E_ood,14,0.01,0.00898006603957007,0.011069902313300687,0.04101993396042993,-0.03893009768669931,-0.03893009768669931,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.0,7
llama,offkd,20,E_ood,14,0.025,0.02402912434231158,0.02727945564577542,0.025970875657688425,-0.022720544354224582,-0.022720544354224582,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.0,7
llama,offkd,20,E_ood,14,0.05,0.046909891261286564,0.05222243491247973,0.003090108738713441,0.002222434912479723,0.0011837578744470897,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.0,7
llama,offkd,20,E_ood,14,0.1,0.09351295693873653,0.10577751862924308,-0.04351295693873653,0.055777518629243066,-0.04351295693873653,1.3615054742240766,3.7800430947018078,0.7383176511784367,0.9263803450825371,0.0,7
llama,offkd,40,E_general,14,0.01,0.008517196214655957,0.011319438168145733,0.041482803785344045,-0.03868056183185427,-0.03868056183185427,1.613866955299309,5.791287682993095,0.6364937873896773,0.8837938180235376,0.0,7
llama,offkd,40,E_general,14,0.025,0.022463351052905495,0.026546831742699707,0.027536648947094507,-0.023453168257300292,-0.023453168257300292,1.613866955299309,5.791287682993095,0.6364937873896773,0.8837938180235376,0.0,7
llama,offkd,40,E_general,14,0.05,0.04654834766513942,0.052253142934097316,0.0034516523348605823,0.002253142934097315,0.0009666164557569565,1.613866955299309,5.791287682993095,0.6364937873896773,0.8837938180235376,0.0,7
llama,offkd,40,E_general,14,0.1,0.0950795437654478,0.1049542924133308,-0.04507954376544781,0.054954292413330816,-0.04507954376544781,1.613866955299309,5.791287682993095,0.6364937873896773,0.8837938180235376,0.0,7
llama,offkd,40,E_if,14,0.01,0.008666939483410492,0.010827761916792704,0.04133306051658951,-0.0391722380832073,-0.0391722380832073,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.0,7
llama,offkd,40,E_if,14,0.025,0.023160258962294615,0.026468354243415614,0.026839741037705388,-0.023531645756584393,-0.023531645756584393,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.0,7
llama,offkd,40,E_if,14,0.05,0.0470026143169992,0.05215148885261966,0.002997385683000798,0.0021514888526196533,0.0013974842709251012,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.0,7
llama,offkd,40,E_if,14,0.1,0.09411625923719016,0.10573271215603808,-0.04411625923719016,0.05573271215603807,-0.04411625923719016,1.492114248593095,4.1145394302608445,0.7196902827071109,0.9218579291974499,0.0,7
llama,offkd,40,E_math,14,0.01,0.00890439480869013,0.01058710632845189,0.04109560519130987,-0.03941289367154811,-0.03941289367154811,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.0,7
llama,offkd,40,E_math,14,0.025,0.023688284337733758,0.026667816680971235,0.026311715662266245,-0.02333218331902877,-0.02333218331902877,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.0,7
llama,offkd,40,E_math,14,0.05,0.04802282657369518,0.05397443116162472,0.0019771734263048235,0.003974431161624719,0.0015429235337862707,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.0,7
llama,offkd,40,E_math,14,0.1,0.09190307988570046,0.10770506555381855,-0.04190307988570046,0.057705065553818546,-0.04190307988570046,1.266806019886722,3.015395216214849,0.7945934590561493,0.9446304514351987,0.0,7
llama,offkd,40,E_ood,14,0.01,0.00914899202507369,0.011158393087351169,0.040851007974926315,-0.03884160691264883,-0.03884160691264883,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454028,0.0,7
llama,offkd,40,E_ood,14,0.025,0.023677762004942128,0.026924675962722692,0.02632223799505787,-0.023075324037277307,-0.023075324037277307,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454028,0.0,7
llama,offkd,40,E_ood,14,0.05,0.047392058216663625,0.052763318414387465,0.0026079417833363774,0.0027633184143874595,0.0010587677445377769,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454028,0.0,7
llama,offkd,40,E_ood,14,0.1,0.09340835997681039,0.10539547438199133,-0.0434083599768104,0.05539547438199132,-0.0434083599768104,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454028,0.0,7
llama,offkd,80,E_general,14,0.01,0.008628774137119788,0.011393539402441288,0.041371225862880216,-0.03860646059755871,-0.03860646059755871,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.0,7
llama,offkd,80,E_general,14,0.025,0.023087868342413134,0.027093214361990414,0.02691213165758687,-0.022906785638009592,-0.022906785638009592,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.0,7
llama,offkd,80,E_general,14,0.05,0.04718163564696457,0.053046438456986277,0.00281836435303543,0.003046438456986273,0.0013313125378579221,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.0,7
llama,offkd,80,E_general,14,0.1,0.09499091774982145,0.10629254278524254,-0.044990917749821446,0.05629254278524253,-0.044990917749821446,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.0,7
llama,offkd,80,E_if,14,0.01,0.009176152080514208,0.011311084846950991,0.040823847919485796,-0.03868891515304901,-0.03868891515304901,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.0,7
llama,offkd,80,E_if,14,0.025,0.02317545741472508,0.02652292761435141,0.026824542585274922,-0.023477072385648588,-0.023477072385648588,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.0,7
llama,offkd,80,E_if,14,0.05,0.04696512239889666,0.05273604086498295,0.0030348776011033507,0.0027360408649829454,0.0009893477449343965,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.0,7
llama,offkd,80,E_if,14,0.1,0.09114912496110963,0.23470037286188322,-0.04114912496110963,0.1847003728618832,-0.04114912496110963,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.0,7
llama,offkd,80,E_math,14,0.01,0.0092983247129793,0.011074738859439123,0.0407016752870207,-0.03892526114056088,-0.03892526114056088,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.0,7
llama,offkd,80,E_math,14,0.025,0.023616602996627684,0.026864888716226193,0.026383397003372316,-0.023135111283773806,-0.023135111283773806,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.0,7
llama,offkd,80,E_math,14,0.05,0.04757954772327555,0.18856355590473792,0.0024204522767244485,0.13856355590473793,0.0019677328564758722,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.0,7
llama,offkd,80,E_math,14,0.1,0.08763372884856659,0.23483557555648757,-0.03763372884856659,0.18483557555648758,-0.03763372884856659,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.0,7
llama,offkd,80,E_ood,14,0.01,0.009061370657559964,0.011006902267794145,0.04093862934244004,-0.03899309773220586,-0.03899309773220586,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.0,7
llama,offkd,80,E_ood,14,0.025,0.02269003654916128,0.025776011972053054,0.02730996345083872,-0.02422398802794695,-0.02422398802794695,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.0,7
llama,offkd,80,E_ood,14,0.05,0.046956064887376976,0.053164079153031805,0.0030439351126230274,0.0031640791530318075,0.0017000653175366196,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.0,7
llama,offkd,80,E_ood,14,0.1,0.09205664118889866,0.2350690602068434,-0.042056641188898646,0.18506906020684338,-0.042056641188898646,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.0,7
llama,opd,20,E_general,14,0.01,0.00927224025347882,0.010686759218695425,0.04072775974652119,-0.03931324078130457,-0.03931324078130457,1.199140761031307,2.468707946818281,0.8456489685639393,0.9626349873209207,0.0,7
llama,opd,20,E_general,14,0.025,0.023666839484190228,0.026823252271675542,0.026333160515809778,-0.02317674772832446,-0.02317674772832446,1.199140761031307,2.468707946818281,0.8456489685639393,0.9626349873209207,0.0,7
llama,opd,20,E_general,14,0.05,0.04652763774744292,0.05599326200716491,0.00347236225255708,0.0059932620071649,0.002251113649125077,1.199140761031307,2.468707946818281,0.8456489685639393,0.9626349873209207,0.0,7
llama,opd,20,E_general,14,0.1,0.08450314092885357,0.49217321310264556,-0.03450314092885355,0.44217321310264557,-0.03450314092885355,1.199140761031307,2.468707946818281,0.8456489685639393,0.9626349873209207,0.0,7
llama,opd,20,E_if,14,0.01,0.009312370269398754,0.010630492584298932,0.04068762973060125,-0.03936950741570107,-0.03936950741570107,1.1328866701474138,1.956597068295126,0.8895321637918848,0.9752857534279821,0.0,7
llama,opd,20,E_if,14,0.025,0.022821168014953038,0.02712616027451776,0.027178831985046968,-0.022873839725482244,-0.022873839725482244,1.1328866701474138,1.956597068295126,0.8895321637918848,0.9752857534279821,0.0,7
llama,opd,20,E_if,14,0.05,0.04215941125140417,0.45845307646846595,0.00784058874859583,0.40845307646846596,0.006359904583556924,1.1328866701474138,1.956597068295126,0.8895321637918848,0.9752857534279821,0.0,7
llama,opd,20,E_if,14,0.1,0.06243828087033764,0.6157877681830584,-0.01243828087033764,0.5657877681830583,-0.01243828087033764,1.1328866701474138,1.956597068295126,0.8895321637918848,0.9752857534279821,0.0,7
llama,opd,20,E_math,14,0.01,0.009023684612325172,0.01081083037591098,0.04097631538767483,-0.03918916962408902,-0.03918916962408902,1.0588308431836242,1.4296060146826632,0.9458114610489815,0.9887904694875136,0.0,7
llama,opd,20,E_math,14,0.025,0.0210869189139288,0.16793210798335576,0.028913081086071202,0.11793210798335575,-0.012193514321810815,1.0588308431836242,1.4296060146826632,0.9458114610489815,0.9887904694875136,0.0,7
llama,opd,20,E_math,14,0.05,0.033900295849887165,0.5946644668014375,0.016099704150112838,0.5446644668014374,0.01402214275014972,1.0588308431836242,1.4296060146826632,0.9458114610489815,0.9887904694875136,0.0,7
llama,opd,20,E_math,14,0.1,0.049331342954156976,0.8733703065254136,0.0006686570458430288,0.8233703065254135,0.0006686570458430288,1.0588308431836242,1.4296060146826632,0.9458114610489815,0.9887904694875136,0.0,7
llama,opd,20,E_ood,14,0.01,0.009375399531816684,0.010809996137024122,0.04062460046818332,-0.03919000386297588,-0.03919000386297588,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.0,7
llama,opd,20,E_ood,14,0.025,0.02325531230516761,0.16862187524724406,0.026744687694832396,0.11862187524724403,-0.012962032766526368,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.0,7
llama,opd,20,E_ood,14,0.05,0.0394084746888957,0.594340868638818,0.010591525311104301,0.544340868638818,0.009629664257688629,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.0,7
llama,opd,20,E_ood,14,0.1,0.058047961336014545,0.6218243727891597,-0.008047961336014542,0.5718243727891598,-0.008047961336014542,1.0852664257319247,1.6187784420054732,0.9241420405144062,0.9840883425758629,0.0,7
llama,opd,40,E_general,14,0.01,0.009274633896351952,0.010759552309162155,0.040725366103648054,-0.03924044769083785,-0.03924044769083785,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.0,7
llama,opd,40,E_general,14,0.025,0.023647454615774423,0.02667270490722473,0.026352545384225576,-0.023327295092775275,-0.023327295092775275,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.0,7
llama,opd,40,E_general,14,0.05,0.04570858703168701,0.05495908116702928,0.004291412968312996,0.004959081167029274,0.002667496500287509,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.0,7
llama,opd,40,E_general,14,0.1,0.08208312782504604,0.3608771754944066,-0.03208312782504604,0.31087717549440663,-0.03208312782504604,1.208421429619801,2.5235465498637,0.8411907134187067,0.9614186442560936,0.0,7
llama,opd,40,E_if,14,0.01,0.009212305995980658,0.010495494650051989,0.04078769400401934,-0.03950450534994802,-0.03950450534994802,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742366,0.0,7
llama,opd,40,E_if,14,0.025,0.023754255015501883,0.027976790794205095,0.02624574498449812,-0.022023209205794907,-0.022023209205794907,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742366,0.0,7
llama,opd,40,E_if,14,0.05,0.04343077399264814,0.45875032821402556,0.006569226007351861,0.4087503282140255,0.005733023228222222,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742366,0.0,7
llama,opd,40,E_if,14,0.1,0.0682570750546327,0.627923645448597,-0.018257075054632702,0.577923645448597,-0.018257075054632702,1.126931684314521,1.9179139784588857,0.8933787606328536,0.9756534262742366,0.0,7
llama,opd,40,E_math,14,0.01,0.009140432728524423,0.010860250895611356,0.040859567271475584,-0.03913974910438865,-0.03913974910438865,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.0,7
llama,opd,40,E_math,14,0.025,0.02075290233462771,0.16547003880581707,0.029247097665372288,0.11547003880581708,-0.014898157701741738,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.0,7
llama,opd,40,E_math,14,0.05,0.03701442878044865,0.4619755783154408,0.01298557121955135,0.41197557831544074,0.010755063090217187,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.0,7
llama,opd,40,E_math,14,0.1,0.05347531695010994,0.7454519191559777,-0.003475316950109939,0.6954519191559776,-0.003475316950109939,1.0674065666338766,1.4893346469248638,0.9381813174328852,0.9872577503250313,0.0,7
