model,arm,checkpoint,probe_name,layer,module,epsilon,rank_at_epsilon,rank_source,spectrum_source,spectrum_quantity,singular_values_stored,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,zero_probability_count
qwen,opd,20,E_general,18,self_attn.q_proj,0.01,252,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.0,4.7644654667637775e-05,0.05,-0.049952355345332364,-0.049952355345332364,1.151442472128315,2.04853627326715,0.8684758676233385,0.9736929055607005,0
qwen,opd,20,E_general,18,self_attn.q_proj,0.025,31,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.010683540888443267,0.011047636426414728,0.039316459111556734,-0.03895236357358527,-0.03895236357358527,1.151442472128315,2.04853627326715,0.8684758676233385,0.9736929055607005,0
qwen,opd,20,E_general,18,self_attn.q_proj,0.05,6,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.03499899881505187,0.03779984112204105,0.015001001184948133,-0.012200158877958951,-0.012200158877958951,1.151442472128315,2.04853627326715,0.8684758676233385,0.9736929055607005,0
qwen,opd,20,E_general,18,self_attn.q_proj,0.1,2,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.07674057352616649,0.1315241323766613,-0.02674057352616649,0.0815241323766613,-0.02674057352616649,1.151442472128315,2.04853627326715,0.8684758676233385,0.9736929055607005,0
qwen,opd,20,E_general,18,self_attn.k_proj,0.01,109,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.0009159089183782109,0.0009682923175684857,0.04908409108162179,-0.049031707682431515,-0.049031707682431515,1.1052342004351519,1.7781406472438182,0.9047856097886592,0.9789833794580596,0
qwen,opd,20,E_general,18,self_attn.k_proj,0.025,16,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.01556174438850469,0.016280049595520225,0.034438255611495314,-0.03371995040447978,-0.03371995040447978,1.1052342004351519,1.7781406472438182,0.9047856097886592,0.9789833794580596,0
qwen,opd,20,E_general,18,self_attn.k_proj,0.05,4,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.03629808255986862,0.0443369334252885,0.013701917440131384,-0.005663066574711502,-0.005663066574711502,1.1052342004351519,1.7781406472438182,0.9047856097886592,0.9789833794580596,0
qwen,opd,20,E_general,18,self_attn.k_proj,0.1,2,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.06479317639521442,0.09521439021134095,-0.014793176395214422,0.04521439021134095,-0.014793176395214422,1.1052342004351519,1.7781406472438182,0.9047856097886592,0.9789833794580596,0
qwen,opd,20,E_general,18,self_attn.v_proj,0.01,28,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.0043568210778175175,0.00446058016478668,0.04564317892218248,-0.04553941983521332,-0.04553941983521332,1.0363003471376544,1.2756540291960528,0.9649712100956842,0.9923156397743486,0
qwen,opd,20,E_general,18,self_attn.v_proj,0.025,3,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.014537101458032192,0.020167960823538555,0.03546289854196781,-0.029832039176461447,-0.029832039176461447,1.0363003471376544,1.2756540291960528,0.9649712100956842,0.9923156397743486,0
qwen,opd,20,E_general,18,self_attn.v_proj,0.05,1,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.03502878990431589,1.0000000000000002,0.014971210095684112,0.9500000000000002,0.014971210095684112,1.0363003471376544,1.2756540291960528,0.9649712100956842,0.9923156397743486,0
qwen,opd,20,E_general,18,self_attn.v_proj,0.1,1,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.03502878990431589,1.0000000000000002,0.014971210095684112,0.9500000000000002,0.014971210095684112,1.0363003471376544,1.2756540291960528,0.9649712100956842,0.9923156397743486,0
qwen,opd,20,E_general,18,self_attn.o_proj,0.01,612,displacement_rank,/root/autodl-tmp/cycle09_stage4_state_displacement/cells/qwen/opd/step_020/E_general.L18.main.direction.pt,stage4_direction_singular_values,128,0.0,0.00018776551886481738,0.05,-0.049812234481135184,-0.049812234481135184,1.3967614373156843,4.157928596876182,0.7159418733107452,0.918951867638678,0
