checkpoint,probe_name,epsilon,centered_absolute_contraction,uncentered_absolute_contraction,centering_changed_deepest_arm_identity
20,E_general,0.01,opd,opd,False
20,E_general,0.025,opd,opd,False
20,E_general,0.05,opd,opd,False
20,E_general,0.1,opd,opd,False
20,E_if,0.01,opd,opd,False
20,E_if,0.025,opd,opd,False
20,E_if,0.05,opd,opd,False
20,E_if,0.1,opd,opd,False
20,E_math,0.01,opd,opd,False
20,E_math,0.025,opd,opd,False
20,E_math,0.05,opd,opd,False
20,E_math,0.1,opd,opd,False
20,E_ood,0.01,opd,opd,False
20,E_ood,0.025,opd,opd,False
20,E_ood,0.05,opd,opd,False
20,E_ood,0.1,opd,opd,False
40,E_general,0.01,opd,opd,False
40,E_general,0.025,opd,opd,False
40,E_general,0.05,opd,opd,False
40,E_general,0.1,opd,opd,False
40,E_if,0.01,opd,opd,False
40,E_if,0.025,opd,opd,False
40,E_if,0.05,opd,opd,False
40,E_if,0.1,opd,opd,False
40,E_math,0.01,opd,opd,False
40,E_math,0.025,opd,opd,False
40,E_math,0.05,opd,opd,False
40,E_math,0.1,opd,opd,False
40,E_ood,0.01,opd,opd,False
40,E_ood,0.025,opd,opd,False
40,E_ood,0.05,opd,opd,False
40,E_ood,0.1,opd,opd,False
80,E_general,0.01,opd,opd,False
80,E_general,0.025,opd,opd,False
80,E_general,0.05,opd,opd,False
80,E_general,0.1,opd,opd,False
80,E_if,0.01,opd,opd,False
80,E_if,0.025,opd,opd,False
80,E_if,0.05,opd,opd,False
80,E_if,0.1,opd,opd,False
80,E_math,0.01,opd,opd,False
80,E_math,0.025,opd,opd,False
80,E_math,0.05,opd,opd,False
80,E_math,0.1,opd,opd,False
80,E_ood,0.01,opd,opd,False
80,E_ood,0.025,opd,opd,False
80,E_ood,0.05,opd,opd,False
80,E_ood,0.1,opd,opd,False
