model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,offkd,20,E_general,14,0.01,7,1609.0,1609.7142857142858,0.7142857142857143,0.0008021464417323784,1392.5714285714287,1393.7142857142858,1.1428571428571428,0.0016419427459800045
llama,offkd,20,E_general,14,0.025,7,1281.0,1281.4285714285713,0.42857142857142855,0.0009526367410417951,1049.7142857142858,1050.7142857142858,1.0,0.0025538083139528293
llama,offkd,20,E_general,14,0.05,7,989.7142857142857,990.2857142857143,0.5714285714285714,0.0015105476811245323,775.7142857142857,776.2857142857143,0.5714285714285714,0.0017228536062524492
llama,offkd,20,E_general,14,0.1,7,678.2857142857143,679.1428571428571,0.8571428571428571,0.003104118058692697,516.7142857142857,517.2857142857143,0.5714285714285714,0.00454537685846242
llama,offkd,20,E_if,14,0.01,7,1538.2857142857142,1543.7142857142858,5.428571428571429,0.004003181337717267,1312.142857142857,1319.857142857143,7.714285714285714,0.00723391010654554
llama,offkd,20,E_if,14,0.025,7,1193.857142857143,1200.5714285714287,6.714285714285714,0.006260878465865802,959.0,966.7142857142857,7.714285714285714,0.009857039441593357
llama,offkd,20,E_if,14,0.05,7,895.2857142857143,902.2857142857143,7.0,0.008834146478547253,684.2857142857143,691.2857142857143,7.0,0.01285405960953539
llama,offkd,20,E_if,14,0.1,7,587.0,593.1428571428571,6.142857142857143,0.011087039089756402,429.7142857142857,435.7142857142857,6.0,0.015903598227485813
llama,offkd,20,E_math,14,0.01,7,833.5714285714286,835.1428571428571,1.5714285714285714,0.0023841611171291402,699.7142857142857,701.7142857142857,2.0,0.0035344049427995052
llama,offkd,20,E_math,14,0.025,7,622.8571428571429,624.0,1.1428571428571428,0.0024407605110002965,493.57142857142856,495.14285714285717,1.5714285714285714,0.004668172502387214
llama,offkd,20,E_math,14,0.05,7,458.14285714285717,459.2857142857143,1.1428571428571428,0.003539308244838074,344.2857142857143,345.42857142857144,1.1428571428571428,0.006817365000416271
llama,offkd,20,E_math,14,0.1,7,299.85714285714283,300.42857142857144,0.5714285714285714,0.0025972495971290127,212.71428571428572,213.14285714285714,0.42857142857142855,0.003470838537386896
llama,offkd,20,E_ood,14,0.01,7,1563.5714285714287,1565.7142857142858,2.142857142857143,0.0019608823226432677,1340.7142857142858,1343.5714285714287,2.857142857142857,0.003511595841744928
llama,offkd,20,E_ood,14,0.025,7,1223.0,1225.2857142857142,2.2857142857142856,0.002723615580029294,989.8571428571429,992.7142857142857,2.857142857142857,0.004946675626008157
llama,offkd,20,E_ood,14,0.05,7,925.5714285714286,928.0,2.4285714285714284,0.00420594981540278,715.1428571428571,717.4285714285714,2.2857142857142856,0.006249833867153305
llama,offkd,20,E_ood,14,0.1,7,614.8571428571429,616.8571428571429,2.0,0.005274431579757091,460.0,461.85714285714283,1.8571428571428572,0.008604992303688866
llama,offkd,40,E_general,14,0.01,7,1608.5714285714287,1609.7142857142858,1.1428571428571428,0.0014914542517986942,1391.857142857143,1393.7142857142858,1.8571428571428572,0.00250722577559132
llama,offkd,40,E_general,14,0.025,7,1280.142857142857,1281.4285714285713,1.2857142857142858,0.0021328650439876736,1048.7142857142858,1050.7142857142858,2.0,0.004615977923906539
llama,offkd,40,E_general,14,0.05,7,989.2857142857143,990.2857142857143,1.0,0.002517993478928783,774.8571428571429,776.2857142857143,1.4285714285714286,0.00512090725727016
llama,offkd,40,E_general,14,0.1,7,678.1428571428571,679.1428571428571,1.0,0.004170413408459433,516.4285714285714,517.2857142857143,0.8571428571428571,0.006016832190803011
