model,arm,checkpoint,probe_name,layer,module,epsilon,centered_state_rank,uncentered_state_rank,centered_minus_uncentered,spectrum_quantity,profile_source,checkpoint_weight_source,tail_at_r,tail_at_r_minus_1,margin_below,margin_above,two_sided_tail_margin,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,top32_energy_share,zero_probability_count,rank_spectrum_consistency,centered_state_rank_base,uncentered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_module,uncentered_absolute_contraction,uncentered_relative_contraction_module
llama,base,0,E_general,14,self_attn.q_proj,0.01,1180,692,488,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00999224028376128,0.010017048456517923,7.759716238720654e-06,1.7048456517922833e-05,7.759716238720654e-06,14.266771129941564,166.31504494565024,0.0700929447099146,0.3502487799413656,0.5830670963171383,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.q_proj,0.025,805,351,454,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02498168804346655,0.025042809343324705,1.831195653344969e-05,4.280934332470329e-05,1.831195653344969e-05,14.266771129941564,166.31504494565024,0.0700929447099146,0.3502487799413656,0.5830670963171383,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.q_proj,0.05,530,156,374,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04995714631481856,0.050089119868681975,4.285368518144178e-05,8.911986868197219e-05,4.285368518144178e-05,14.266771129941564,166.31504494565024,0.0700929447099146,0.3502487799413656,0.5830670963171383,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.q_proj,0.1,290,50,240,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09986518962698761,0.10019155541104899,0.00013481037301239784,0.00019155541104898255,0.00013481037301239784,14.266771129941564,166.31504494565024,0.0700929447099146,0.3502487799413656,0.5830670963171383,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.k_proj,0.01,567,375,192,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00994515453654728,0.010003502731738483,5.484546345272019e-05,3.5027317384830198e-06,3.5027317384830198e-06,10.589652653940265,114.86661828232398,0.09443180363691284,0.38449925791118567,0.6283405948887147,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.k_proj,0.025,402,212,190,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.02492630233228162,0.025061136368092277,7.369766771838163e-05,6.113636809227524e-05,6.113636809227524e-05,10.589652653940265,114.86661828232398,0.09443180363691284,0.38449925791118567,0.6283405948887147,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.k_proj,0.05,275,111,164,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04988524013453262,0.05016643366426275,0.00011475986546738426,0.00016643366426274953,0.00011475986546738426,10.589652653940265,114.86661828232398,0.09443180363691284,0.38449925791118567,0.6283405948887147,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.k_proj,0.1,161,48,113,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09971787158263552,0.10040228330881935,0.0002821284173644828,0.0004022833088193484,0.0002821284173644828,10.589652653940265,114.86661828232398,0.09443180363691284,0.38449925791118567,0.6283405948887147,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.v_proj,0.01,869,863,6,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.00991447462083413,0.010020656870687912,8.552537916587007e-05,2.06568706879115e-05,2.06568706879115e-05,29.711746970978428,412.22733997445584,0.033656721732881305,0.165359541123932,0.3117438632256272,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.v_proj,0.025,759,751,8,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.024980974701759744,0.02515137909572708,1.9025298240257782e-05,0.00015137909572707914,1.9025298240257782e-05,29.711746970978428,412.22733997445584,0.033656721732881305,0.165359541123932,0.3117438632256272,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.v_proj,0.05,642,631,11,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.04994829014121648,0.05020829033356385,5.170985878352047e-05,0.00020829033356385002,5.170985878352047e-05,29.711746970978428,412.22733997445584,0.033656721732881305,0.165359541123932,0.3117438632256272,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.v_proj,0.1,493,479,14,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.09978908675838644,0.10020933037849958,0.0002109132416135695,0.0002093303784995726,0.0002093303784995726,29.711746970978428,412.22733997445584,0.033656721732881305,0.165359541123932,0.3117438632256272,0,PASS,,,,,,
llama,base,0,E_general,14,self_attn.o_proj,0.01,1607,1584,23,formal_D10_W_t_centered_Sigma_D_t_state_singular_values,/root/autodl-tmp/cycle09_relative_functional_contraction/d10_llama_numeric_parity/formal/profiles/base/step_000/E_general.pt,/root/autodl-tmp/model/Meta/modelscope/Llama-3.2-3B,0.009974883245049257,0.010003428306667011,2.511675495074292e-05,3.428306667010994e-06,3.428306667010994e-06,22.27584545050253,483.747246956086,0.04489167435741213,0.19938512631136612,0.3357587415210037,0,PASS,,,,,,
