model,checkpoint,probe_name,epsilon,metric,deepest_arm,opd_deepest,opd_value,arm_values_json
llama,20,E_general,0.01,centered_absolute_contraction,opd,True,6.857142857142857,"{""offkd"": 0.7142857142857143, ""opd"": 6.857142857142857, ""seqkd"": -0.2857142857142857, ""sft"": 3.142857142857143}"
llama,20,E_general,0.01,uncentered_absolute_contraction,opd,True,9.571428571428571,"{""offkd"": 1.1428571428571428, ""opd"": 9.571428571428571, ""seqkd"": -0.2857142857142857, ""sft"": 2.7142857142857144}"
llama,20,E_if,0.01,centered_absolute_contraction,opd,True,11.0,"{""offkd"": 5.428571428571429, ""opd"": 11.0, ""seqkd"": 5.0, ""sft"": 5.428571428571429}"
llama,20,E_if,0.01,uncentered_absolute_contraction,opd,True,17.714285714285715,"{""offkd"": 7.714285714285714, ""opd"": 17.714285714285715, ""seqkd"": 7.285714285714286, ""sft"": 6.714285714285714}"
llama,20,E_math,0.01,centered_absolute_contraction,opd,True,11.285714285714286,"{""offkd"": 1.5714285714285714, ""opd"": 11.285714285714286, ""seqkd"": 0.2857142857142857, ""sft"": 5.857142857142857}"
llama,20,E_math,0.01,uncentered_absolute_contraction,opd,True,15.0,"{""offkd"": 2.0, ""opd"": 15.0, ""seqkd"": 0.8571428571428571, ""sft"": 5.857142857142857}"
llama,20,E_ood,0.01,centered_absolute_contraction,opd,True,10.714285714285714,"{""offkd"": 2.142857142857143, ""opd"": 10.714285714285714, ""seqkd"": 1.1428571428571428, ""sft"": 6.0}"
llama,20,E_ood,0.01,uncentered_absolute_contraction,opd,True,16.428571428571427,"{""offkd"": 2.857142857142857, ""opd"": 16.428571428571427, ""seqkd"": 1.7142857142857142, ""sft"": 5.571428571428571}"
llama,40,E_general,0.01,centered_absolute_contraction,opd,True,9.428571428571429,"{""offkd"": 1.1428571428571428, ""opd"": 9.428571428571429, ""seqkd"": -0.2857142857142857, ""sft"": 3.7142857142857144}"
llama,40,E_general,0.01,uncentered_absolute_contraction,opd,True,12.285714285714286,"{""offkd"": 1.8571428571428572, ""opd"": 12.285714285714286, ""seqkd"": 0.14285714285714285, ""sft"": 3.5714285714285716}"
llama,40,E_if,0.01,centered_absolute_contraction,opd,True,16.571428571428573,"{""offkd"": 5.714285714285714, ""opd"": 16.571428571428573, ""seqkd"": 5.428571428571429, ""sft"": 6.714285714285714}"
llama,40,E_if,0.01,uncentered_absolute_contraction,opd,True,23.571428571428573,"{""offkd"": 8.0, ""opd"": 23.571428571428573, ""seqkd"": 6.857142857142857, ""sft"": 7.857142857142857}"
llama,40,E_math,0.01,centered_absolute_contraction,opd,True,15.571428571428571,"{""offkd"": 2.142857142857143, ""opd"": 15.571428571428571, ""seqkd"": 0.5714285714285714, ""sft"": 6.571428571428571}"
llama,40,E_math,0.01,uncentered_absolute_contraction,opd,True,18.142857142857142,"{""offkd"": 2.5714285714285716, ""opd"": 18.142857142857142, ""seqkd"": 0.5714285714285714, ""sft"": 7.0}"
llama,40,E_ood,0.01,centered_absolute_contraction,opd,True,16.857142857142858,"{""offkd"": 4.714285714285714, ""opd"": 16.857142857142858, ""seqkd"": 3.142857142857143, ""sft"": 6.142857142857143}"
llama,40,E_ood,0.01,uncentered_absolute_contraction,opd,True,22.0,"{""offkd"": 5.428571428571429, ""opd"": 22.0, ""seqkd"": 3.5714285714285716, ""sft"": 5.857142857142857}"
llama,80,E_general,0.01,centered_absolute_contraction,opd,True,11.142857142857142,"{""offkd"": 1.7142857142857142, ""opd"": 11.142857142857142, ""seqkd"": -0.5714285714285714, ""sft"": 5.0}"
llama,80,E_general,0.01,uncentered_absolute_contraction,opd,True,14.0,"{""offkd"": 2.7142857142857144, ""opd"": 14.0, ""seqkd"": 0.0, ""sft"": 5.285714285714286}"
llama,80,E_if,0.01,centered_absolute_contraction,opd,True,20.0,"{""offkd"": 7.285714285714286, ""opd"": 20.0, ""seqkd"": 4.571428571428571, ""sft"": 10.857142857142858}"
llama,80,E_if,0.01,uncentered_absolute_contraction,opd,True,26.571428571428573,"{""offkd"": 10.0, ""opd"": 26.571428571428573, ""seqkd"": 6.571428571428571, ""sft"": 13.857142857142858}"
llama,80,E_math,0.01,centered_absolute_contraction,opd,True,17.428571428571427,"{""offkd"": 3.7142857142857144, ""opd"": 17.428571428571427, ""seqkd"": 1.1428571428571428, ""sft"": 9.428571428571429}"
llama,80,E_math,0.01,uncentered_absolute_contraction,opd,True,19.285714285714285,"{""offkd"": 4.857142857142857, ""opd"": 19.285714285714285, ""seqkd"": 2.0, ""sft"": 10.857142857142858}"
llama,80,E_ood,0.01,centered_absolute_contraction,opd,True,21.857142857142858,"{""offkd"": 7.0, ""opd"": 21.857142857142858, ""seqkd"": 4.571428571428571, ""sft"": 9.285714285714286}"
llama,80,E_ood,0.01,uncentered_absolute_contraction,opd,True,26.714285714285715,"{""offkd"": 8.285714285714286, ""opd"": 26.714285714285715, ""seqkd"": 4.857142857142857, ""sft"": 10.0}"
llama,20,E_general,0.025,centered_absolute_contraction,opd,True,7.285714285714286,"{""offkd"": 0.42857142857142855, ""opd"": 7.285714285714286, ""seqkd"": -0.5714285714285714, ""sft"": 3.5714285714285716}"
llama,20,E_general,0.025,uncentered_absolute_contraction,opd,True,10.0,"{""offkd"": 1.0, ""opd"": 10.0, ""seqkd"": 0.0, ""sft"": 3.142857142857143}"
llama,20,E_if,0.025,centered_absolute_contraction,opd,True,12.0,"{""offkd"": 6.714285714285714, ""opd"": 12.0, ""seqkd"": 6.428571428571429, ""sft"": 6.714285714285714}"
llama,20,E_if,0.025,uncentered_absolute_contraction,opd,True,17.571428571428573,"{""offkd"": 7.714285714285714, ""opd"": 17.571428571428573, ""seqkd"": 7.428571428571429, ""sft"": 6.857142857142857}"
llama,20,E_math,0.025,centered_absolute_contraction,opd,True,10.714285714285714,"{""offkd"": 1.1428571428571428, ""opd"": 10.714285714285714, ""seqkd"": 0.0, ""sft"": 5.285714285714286}"
llama,20,E_math,0.025,uncentered_absolute_contraction,opd,True,13.714285714285714,"{""offkd"": 1.5714285714285714, ""opd"": 13.714285714285714, ""seqkd"": 0.2857142857142857, ""sft"": 5.142857142857143}"
