model,feature,target,n_cells,checkpoint_groups,association,pearson,spearman
llama,c_epsilon,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.8578862506200947,0.7967490842490843
llama,c_epsilon,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.8992212355324894,0.8334706959706959
llama,c_epsilon,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.751657669502517,0.5977106227106226
llama,p_k4,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.4373930843235352,0.5576156175676911
llama,p_k4,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.5066954024964471,0.5721110548127873
llama,p_k4,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.5219158583753134,0.6330285885516729
llama,p_k8,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7174662943722139,0.7056892613245607
llama,p_k8,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7752930230941829,0.6816525236143377
llama,p_k8,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7517784026526169,0.755414115671663
llama,p_k16,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7274300084778637,0.6847717949202444
llama,p_k16,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7855619921632687,0.6691754383907106
llama,p_k16,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7569498795628675,0.7343131627199406
llama,p_k32,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7584501782899725,0.7152305617896874
llama,p_k32,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.8113548758140369,0.6926617164587147
llama,p_k32,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.7856188576457137,0.7684416605375091
llama,normalized_entropy_effective_rank,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,-0.25286253378640516,-0.37133699633699635
llama,normalized_entropy_effective_rank,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,-0.38199969500603703,-0.43250915750915747
llama,normalized_entropy_effective_rank,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.0842847623901137,0.115521978021978
llama,participation_ratio,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,-0.24709439011873527,-0.40091575091575093
llama,participation_ratio,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,-0.380542203017001,-0.4712912087912087
llama,participation_ratio,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.08591514427095377,0.07976190476190474
llama,linear_cka_vs_step0,cumulative_kl_base_to_current,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,-0.06324836206379694,-0.13945075960922987
llama,linear_cka_vs_step0,absolute_delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,0.089895574513855,0.052108016560598776
llama,linear_cka_vs_step0,delta_nll_cumulative,64,"5,20,40,160",checkpoint_demeaned_descriptive_not_oof_prediction,-0.238903278421352,-0.15254644742674414
