model,target,task_type,feature_block,fold,train_checkpoints,test_checkpoints,train_n,test_n,test_row_ids
llama,cumulative_kl_base_to_current,regression,A,checkpoint_5,"20,40,160",5,48,16,"0,1,2,3,16,17,18,19,32,33,34,35,48,49,50,51"
llama,cumulative_kl_base_to_current,regression,A,checkpoint_20,"5,40,160",20,48,16,"4,5,6,7,20,21,22,23,36,37,38,39,52,53,54,55"
llama,cumulative_kl_base_to_current,regression,A,checkpoint_40,"5,20,160",40,48,16,"8,9,10,11,24,25,26,27,40,41,42,43,56,57,58,59"
llama,cumulative_kl_base_to_current,regression,A,checkpoint_160,"5,20,40",160,48,16,"12,13,14,15,28,29,30,31,44,45,46,47,60,61,62,63"
llama,cumulative_kl_base_to_current,regression,C,checkpoint_5,"20,40,160",5,48,16,"0,1,2,3,16,17,18,19,32,33,34,35,48,49,50,51"
llama,cumulative_kl_base_to_current,regression,C,checkpoint_20,"5,40,160",20,48,16,"4,5,6,7,20,21,22,23,36,37,38,39,52,53,54,55"
llama,cumulative_kl_base_to_current,regression,C,checkpoint_40,"5,20,160",40,48,16,"8,9,10,11,24,25,26,27,40,41,42,43,56,57,58,59"
llama,cumulative_kl_base_to_current,regression,C,checkpoint_160,"5,20,40",160,48,16,"12,13,14,15,28,29,30,31,44,45,46,47,60,61,62,63"
llama,cumulative_kl_base_to_current,regression,Pk,checkpoint_5,"20,40,160",5,48,16,"0,1,2,3,16,17,18,19,32,33,34,35,48,49,50,51"
llama,cumulative_kl_base_to_current,regression,Pk,checkpoint_20,"5,40,160",20,48,16,"4,5,6,7,20,21,22,23,36,37,38,39,52,53,54,55"
llama,cumulative_kl_base_to_current,regression,Pk,checkpoint_40,"5,20,160",40,48,16,"8,9,10,11,24,25,26,27,40,41,42,43,56,57,58,59"
llama,cumulative_kl_base_to_current,regression,Pk,checkpoint_160,"5,20,40",160,48,16,"12,13,14,15,28,29,30,31,44,45,46,47,60,61,62,63"
llama,cumulative_kl_base_to_current,regression,A+C,checkpoint_5,"20,40,160",5,48,16,"0,1,2,3,16,17,18,19,32,33,34,35,48,49,50,51"
llama,cumulative_kl_base_to_current,regression,A+C,checkpoint_20,"5,40,160",20,48,16,"4,5,6,7,20,21,22,23,36,37,38,39,52,53,54,55"
llama,cumulative_kl_base_to_current,regression,A+C,checkpoint_40,"5,20,160",40,48,16,"8,9,10,11,24,25,26,27,40,41,42,43,56,57,58,59"
llama,cumulative_kl_base_to_current,regression,A+C,checkpoint_160,"5,20,40",160,48,16,"12,13,14,15,28,29,30,31,44,45,46,47,60,61,62,63"
llama,cumulative_kl_base_to_current,regression,Pk+A,checkpoint_5,"20,40,160",5,48,16,"0,1,2,3,16,17,18,19,32,33,34,35,48,49,50,51"
llama,cumulative_kl_base_to_current,regression,Pk+A,checkpoint_20,"5,40,160",20,48,16,"4,5,6,7,20,21,22,23,36,37,38,39,52,53,54,55"
llama,cumulative_kl_base_to_current,regression,Pk+A,checkpoint_40,"5,20,160",40,48,16,"8,9,10,11,24,25,26,27,40,41,42,43,56,57,58,59"
